"Name","Gender","Career","CosineSimilarity","STEM"
"James","M","Software.Developer",0.59942925,"Yes"
"James","M","Nurse.Practitioner",0.5648886,"Yes"
"James","M","Health.Services.Manager",0.5419158,"Yes"
"James","M","Physicians.Assistant",0.63186437,"Yes"
"James","M","Security.Analyst",0.564852,"Yes"
"James","M","IT.Manager",0.65169305,"Yes"
"James","M","Web.Developer",0.5790721,"Yes"
"James","M","Dentist",0.6439926,"Yes"
"James","M","Orthodontist",0.3063947,"Yes"
"James","M","Computer.Systems.Analyst",0.5660037,"Yes"
"John","M","Software.Developer",0.5917508,"Yes"
"John","M","Nurse.Practitioner",0.5823381,"Yes"
"John","M","Health.Services.Manager",0.5511448,"Yes"
"John","M","Physicians.Assistant",0.62843156,"Yes"
"John","M","Security.Analyst",0.5595612,"Yes"
"John","M","IT.Manager",0.6408205,"Yes"
"John","M","Web.Developer",0.5692301,"Yes"
"John","M","Dentist",0.6502789,"Yes"
"John","M","Orthodontist",0.32794267,"Yes"
"John","M","Computer.Systems.Analyst",0.5658727,"Yes"
"Robert","M","Software.Developer",0.61332387,"Yes"
"Robert","M","Nurse.Practitioner",0.5692873,"Yes"
"Robert","M","Health.Services.Manager",0.53566647,"Yes"
"Robert","M","Physicians.Assistant",0.63441044,"Yes"
"Robert","M","Security.Analyst",0.5865808,"Yes"
"Robert","M","IT.Manager",0.66610897,"Yes"
"Robert","M","Web.Developer",0.5915101,"Yes"
"Robert","M","Dentist",0.6619664,"Yes"
"Robert","M","Orthodontist",0.32396144,"Yes"
"Robert","M","Computer.Systems.Analyst",0.59379995,"Yes"
"Michael","M","Software.Developer",0.61915463,"Yes"
"Michael","M","Nurse.Practitioner",0.58591175,"Yes"
"Michael","M","Health.Services.Manager",0.545181,"Yes"
"Michael","M","Physicians.Assistant",0.6559981,"Yes"
"Michael","M","Security.Analyst",0.5916687,"Yes"
"Michael","M","IT.Manager",0.6934098,"Yes"
"Michael","M","Web.Developer",0.6094104,"Yes"
"Michael","M","Dentist",0.68234676,"Yes"
"Michael","M","Orthodontist",0.32156846,"Yes"
"Michael","M","Computer.Systems.Analyst",0.5880232,"Yes"
"William","M","Software.Developer",0.5886626,"Yes"
"William","M","Nurse.Practitioner",0.56945074,"Yes"
"William","M","Health.Services.Manager",0.5268341,"Yes"
"William","M","Physicians.Assistant",0.62972873,"Yes"
"William","M","Security.Analyst",0.5609402,"Yes"
"William","M","IT.Manager",0.65483874,"Yes"
"William","M","Web.Developer",0.56716657,"Yes"
"William","M","Dentist",0.6621847,"Yes"
"William","M","Orthodontist",0.29502186,"Yes"
"William","M","Computer.Systems.Analyst",0.5651028,"Yes"
"David","M","Software.Developer",0.57688665,"Yes"
"David","M","Nurse.Practitioner",0.54021287,"Yes"
"David","M","Health.Services.Manager",0.5486379,"Yes"
"David","M","Physicians.Assistant",0.62017435,"Yes"
"David","M","Security.Analyst",0.54660565,"Yes"
"David","M","IT.Manager",0.6483569,"Yes"
"David","M","Web.Developer",0.55987775,"Yes"
"David","M","Dentist",0.62289226,"Yes"
"David","M","Orthodontist",0.3267389,"Yes"
"David","M","Computer.Systems.Analyst",0.54307425,"Yes"
"Joseph","M","Software.Developer",0.63713014,"Yes"
"Joseph","M","Nurse.Practitioner",0.59304285,"Yes"
"Joseph","M","Health.Services.Manager",0.58299375,"Yes"
"Joseph","M","Physicians.Assistant",0.667482,"Yes"
"Joseph","M","Security.Analyst",0.5848478,"Yes"
"Joseph","M","IT.Manager",0.6780791,"Yes"
"Joseph","M","Web.Developer",0.59731346,"Yes"
"Joseph","M","Dentist",0.65689373,"Yes"
"Joseph","M","Orthodontist",0.3407086,"Yes"
"Joseph","M","Computer.Systems.Analyst",0.6067584,"Yes"
"Richard","M","Software.Developer",0.5829949,"Yes"
"Richard","M","Nurse.Practitioner",0.54871035,"Yes"
"Richard","M","Health.Services.Manager",0.5451924,"Yes"
"Richard","M","Physicians.Assistant",0.6189965,"Yes"
"Richard","M","Security.Analyst",0.55384564,"Yes"
"Richard","M","IT.Manager",0.638867,"Yes"
"Richard","M","Web.Developer",0.55699414,"Yes"
"Richard","M","Dentist",0.6452041,"Yes"
"Richard","M","Orthodontist",0.3353061,"Yes"
"Richard","M","Computer.Systems.Analyst",0.5555134,"Yes"
"Charles","M","Software.Developer",0.624249,"Yes"
"Charles","M","Nurse.Practitioner",0.60642684,"Yes"
"Charles","M","Health.Services.Manager",0.54163337,"Yes"
"Charles","M","Physicians.Assistant",0.6460645,"Yes"
"Charles","M","Security.Analyst",0.6054977,"Yes"
"Charles","M","IT.Manager",0.6508132,"Yes"
"Charles","M","Web.Developer",0.59363747,"Yes"
"Charles","M","Dentist",0.67104864,"Yes"
"Charles","M","Orthodontist",0.35661978,"Yes"
"Charles","M","Computer.Systems.Analyst",0.60815406,"Yes"
"Thomas","M","Software.Developer",0.6109494,"Yes"
"Thomas","M","Nurse.Practitioner",0.58189124,"Yes"
"Thomas","M","Health.Services.Manager",0.54668814,"Yes"
"Thomas","M","Physicians.Assistant",0.6482908,"Yes"
"Thomas","M","Security.Analyst",0.57031703,"Yes"
"Thomas","M","IT.Manager",0.6799632,"Yes"
"Thomas","M","Web.Developer",0.5948984,"Yes"
"Thomas","M","Dentist",0.67343223,"Yes"
"Thomas","M","Orthodontist",0.3181545,"Yes"
"Thomas","M","Computer.Systems.Analyst",0.5754341,"Yes"
"Christopher","M","Software.Developer",0.6178204,"Yes"
"Christopher","M","Nurse.Practitioner",0.571468,"Yes"
"Christopher","M","Health.Services.Manager",0.5676021,"Yes"
"Christopher","M","Physicians.Assistant",0.6554208,"Yes"
"Christopher","M","Security.Analyst",0.5778922,"Yes"
"Christopher","M","IT.Manager",0.66459686,"Yes"
"Christopher","M","Web.Developer",0.5938351,"Yes"
"Christopher","M","Dentist",0.635712,"Yes"
"Christopher","M","Orthodontist",0.3480905,"Yes"
"Christopher","M","Computer.Systems.Analyst",0.5758661,"Yes"
"Daniel","M","Software.Developer",0.58751595,"Yes"
"Daniel","M","Nurse.Practitioner",0.5430623,"Yes"
"Daniel","M","Health.Services.Manager",0.54240894,"Yes"
"Daniel","M","Physicians.Assistant",0.6293731,"Yes"
"Daniel","M","Security.Analyst",0.54133916,"Yes"
"Daniel","M","IT.Manager",0.65099204,"Yes"
"Daniel","M","Web.Developer",0.56045866,"Yes"
"Daniel","M","Dentist",0.6106019,"Yes"
"Daniel","M","Orthodontist",0.32101005,"Yes"
"Daniel","M","Computer.Systems.Analyst",0.5558124,"Yes"
"Matthew","M","Software.Developer",0.5487304,"Yes"
"Matthew","M","Nurse.Practitioner",0.528699,"Yes"
"Matthew","M","Health.Services.Manager",0.52210176,"Yes"
"Matthew","M","Physicians.Assistant",0.6179395,"Yes"
"Matthew","M","Security.Analyst",0.5074743,"Yes"
"Matthew","M","IT.Manager",0.6251968,"Yes"
"Matthew","M","Web.Developer",0.54580015,"Yes"
"Matthew","M","Dentist",0.61462116,"Yes"
"Matthew","M","Orthodontist",0.31697327,"Yes"
"Matthew","M","Computer.Systems.Analyst",0.49824566,"Yes"
"George","M","Software.Developer",0.6024713,"Yes"
"George","M","Nurse.Practitioner",0.5885676,"Yes"
"George","M","Health.Services.Manager",0.56503457,"Yes"
"George","M","Physicians.Assistant",0.62724936,"Yes"
"George","M","Security.Analyst",0.57188416,"Yes"
"George","M","IT.Manager",0.64194477,"Yes"
"George","M","Web.Developer",0.57693434,"Yes"
"George","M","Dentist",0.64487475,"Yes"
"George","M","Orthodontist",0.3645205,"Yes"
"George","M","Computer.Systems.Analyst",0.5805378,"Yes"
"Anthony","M","Software.Developer",0.6367265,"Yes"
"Anthony","M","Nurse.Practitioner",0.6015739,"Yes"
"Anthony","M","Health.Services.Manager",0.5532399,"Yes"
"Anthony","M","Physicians.Assistant",0.656411,"Yes"
"Anthony","M","Security.Analyst",0.624254,"Yes"
"Anthony","M","IT.Manager",0.6885243,"Yes"
"Anthony","M","Web.Developer",0.63456076,"Yes"
"Anthony","M","Dentist",0.6922499,"Yes"
