,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
Mary,0.7310176,0.58656263,0.59057677,0.73490834,0.672235,0.7337288,0.7498659,0.53878975,0.62241757,0.77391696
Elizabeth,0.71368486,0.59942925,0.61400396,0.73315054,0.6714069,0.7333026,0.74114233,0.55040497,0.63496876,0.7590184
Patricia,0.7484617,0.64069414,0.65122616,0.76974726,0.7092147,0.77168655,0.7724402,0.5936724,0.67205155,0.79077816
Jennifer,0.7524428,0.62463576,0.602759,0.7402803,0.7097684,0.7444582,0.76848215,0.5824951,0.6558349,0.7764895
Linda,0.7294761,0.6385187,0.6261172,0.7695534,0.6939921,0.76866126,0.7507818,0.57842195,0.65030205,0.7729656
Barbara,0.7204943,0.64788556,0.64632237,0.7550287,0.6916243,0.7512876,0.745384,0.5992802,0.6665257,0.7519224
Margaret,0.66670835,0.5998828,0.6308025,0.7193502,0.6462089,0.7105883,0.68671787,0.5476879,0.6288984,0.7061393
Susan,0.7327656,0.6048664,0.60543156,0.74980134,0.68481237,0.7360512,0.74982727,0.55107313,0.6359576,0.76830816
Dorothy,0.7151154,0.62233573,0.62811685,0.74835074,0.6824435,0.7493589,0.7506063,0.57135355,0.63791513,0.7771817
Sarah,0.73763514,0.610217,0.5994549,0.742506,0.6927283,0.7470114,0.75220406,0.57002044,0.646888,0.76843035
Jessica,0.7288008,0.59322226,0.58916867,0.7309118,0.68818146,0.71291876,0.7482654,0.5539397,0.62936556,0.76514566
Helen,0.72832704,0.59662807,0.5941497,0.72592413,0.67454815,0.7292484,0.736522,0.5522107,0.6269022,0.74930704
Nancy,0.7622533,0.63684696,0.6227418,0.77103233,0.71762943,0.77439487,0.7803432,0.582464,0.6624875,0.79961956
Betty,0.72526014,0.63444984,0.62142813,0.74881244,0.67836815,0.7432184,0.74445134,0.5675234,0.6389504,0.77683794
Karen,0.7262002,0.5943638,0.61067915,0.7303988,0.6787264,0.7216582,0.7380655,0.5467578,0.6241695,0.76971596
Lisa,0.74536026,0.6250888,0.5995554,0.7543168,0.69365025,0.7442498,0.7617651,0.5715846,0.6339386,0.7898935
Anna,0.7184981,0.5986551,0.58837163,0.6917912,0.65758014,0.7235038,0.7105192,0.5497096,0.6332922,0.7374253
Sandra,0.6995205,0.5619347,0.5865227,0.70919985,0.65036285,0.71108377,0.7076539,0.53275347,0.60684276,0.75745964
Emily,0.6274259,0.5507954,0.5750171,0.65238905,0.63630944,0.6348648,0.6987858,0.5388448,0.6104418,0.66752934
Ashley,0.7213471,0.598613,0.5813165,0.7352481,0.6640471,0.7258369,0.7271421,0.55364275,0.62121683,0.75481534
