,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Mary,0.7614287,0.65481484,0.7485459,0.5978867,0.8185439,0.63829136,0.8257448,0.7245882,0.73378265,0.7650913
Elizabeth,0.70366883,0.6498134,0.7146908,0.6291242,0.75018305,0.5841105,0.756728,0.71326447,0.67092454,0.69976836
Patricia,0.74557704,0.6875371,0.76333904,0.6406418,0.8002698,0.60319656,0.7906362,0.74387944,0.6914885,0.7555088
Jennifer,0.7815652,0.6408837,0.7475347,0.5784642,0.8315696,0.59144473,0.81413877,0.7086358,0.73216426,0.76533616
Linda,0.7567066,0.6884959,0.74646705,0.63881534,0.80432916,0.58398366,0.8037608,0.7301064,0.6930585,0.77203137
Barbara,0.7137082,0.65761435,0.71379447,0.63416326,0.7505009,0.57501817,0.75892884,0.7047142,0.66941583,0.7237598
Margaret,0.6498726,0.65214896,0.67963356,0.643849,0.6775583,0.56529164,0.7007655,0.67306894,0.6380273,0.65132153
Susan,0.7744173,0.6617323,0.7549901,0.60286295,0.81701076,0.58784616,0.80547357,0.7173873,0.7377645,0.761575
Dorothy,0.72747874,0.654933,0.71749264,0.6466151,0.7594212,0.5697817,0.765748,0.7104857,0.692493,0.7131419
Sarah,0.7910569,0.65233535,0.7470573,0.5966704,0.8343946,0.62011623,0.81433344,0.7156479,0.7347177,0.79025793
Jessica,0.7885701,0.63351846,0.735988,0.5653565,0.8427069,0.5856027,0.80930984,0.7039131,0.73609996,0.7834687
Helen,0.77852255,0.65364856,0.74075526,0.5877067,0.82001185,0.5929769,0.80705976,0.7064861,0.7285999,0.7834244
Nancy,0.7884004,0.6646682,0.75976956,0.60896397,0.829182,0.5867679,0.81320584,0.745968,0.7131946,0.7804303
Betty,0.79252565,0.6816816,0.76857126,0.6176361,0.8315289,0.5932963,0.8328488,0.74216,0.7340305,0.80441254
Karen,0.77082473,0.61832654,0.71616995,0.5654461,0.8130157,0.58194023,0.7994207,0.69048214,0.70272213,0.7603227
Lisa,0.7863691,0.6583586,0.7587911,0.57846737,0.8598288,0.5983581,0.8284233,0.71530306,0.7283827,0.7809174
Anna,0.7282691,0.59623975,0.6537069,0.57824814,0.7474182,0.584318,0.7425194,0.65199244,0.699152,0.72210634
Sandra,0.7147873,0.6136452,0.7015615,0.57483745,0.7601901,0.58528113,0.74654806,0.6721558,0.6592419,0.7105082
Emily,0.67268664,0.54171544,0.6227027,0.49952582,0.70007265,0.5122936,0.6698319,0.5985746,0.65948516,0.66590303
Ashley,0.78418595,0.6511128,0.72498953,0.5738882,0.83205855,0.58626366,0.8046129,0.6823478,0.7587782,0.75403166
