,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
Mary,0.5687543,0.5632052,0.5277553,0.6265735,0.5396215,0.65340567,0.56013995,0.64687395,0.28949058,0.5382247
Elizabeth,0.5779153,0.5946368,0.5331037,0.6286562,0.5662621,0.6196699,0.5626484,0.63650525,0.3450579,0.5620878
Patricia,0.6236322,0.6292224,0.56450033,0.65105754,0.60521054,0.6695456,0.620904,0.6720136,0.3678279,0.59278905
Jennifer,0.5957081,0.54893494,0.55328,0.6275259,0.5549524,0.65914106,0.57598215,0.6237037,0.30826992,0.5489621
Linda,0.6237196,0.62922204,0.55326945,0.6638618,0.61956084,0.6770388,0.60795915,0.6864457,0.35599393,0.61173236
Barbara,0.60983104,0.6262046,0.55868673,0.6441394,0.6106314,0.659641,0.60426885,0.657905,0.37318796,0.60106736
Margaret,0.57210314,0.61707604,0.52237797,0.6100669,0.57019573,0.6081711,0.5579047,0.61580515,0.36522424,0.5836196
Susan,0.59804785,0.5641458,0.5312394,0.63207066,0.56138945,0.6591219,0.58480644,0.6319491,0.3435758,0.55843467
Dorothy,0.59292877,0.6105448,0.55529124,0.64277995,0.58401394,0.6519758,0.58409,0.66473395,0.3521024,0.5777581
Sarah,0.58702743,0.56125164,0.5252936,0.6281129,0.5475029,0.6641887,0.582383,0.6413387,0.33580366,0.53790325
Jessica,0.5660911,0.5187396,0.53571975,0.6211724,0.5229715,0.63307905,0.5504127,0.5992334,0.30533218,0.52296865
Helen,0.57745135,0.5632178,0.5139506,0.6250738,0.55447245,0.66102445,0.5708909,0.6266495,0.3194809,0.5488936
Nancy,0.62157214,0.60541594,0.57368785,0.66600424,0.60400295,0.6899018,0.6135937,0.6734813,0.3176997,0.5938543
Betty,0.6111425,0.60293055,0.54855055,0.65591365,0.5848744,0.681401,0.61078316,0.67143315,0.3052257,0.58118784
Karen,0.57627434,0.55265796,0.5321635,0.61393726,0.53693706,0.63070434,0.5565329,0.61245596,0.32910442,0.542589
Lisa,0.60972357,0.5660309,0.53909695,0.6379999,0.5665293,0.6692784,0.5923587,0.6501136,0.30619693,0.56217855
Anna,0.555144,0.5278086,0.5098127,0.59426653,0.52964383,0.6279199,0.5322115,0.5843959,0.34716856,0.54459244
Sandra,0.52716124,0.52570236,0.53909355,0.60143435,0.5037964,0.59945256,0.5198458,0.6019133,0.34277105,0.50650597
Emily,0.51740366,0.4596315,0.4667229,0.5210484,0.4618224,0.5386661,0.5060205,0.4740819,0.35781294,0.48025593
Ashley,0.56289697,0.5318048,0.52529967,0.6146515,0.5277361,0.62714875,0.5539178,0.588928,0.29883468,0.51507694
