,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Mary,0.7825093,0.8362778,0.6844213,0.66627246,0.8122289,0.8151694,0.8348582,0.82656515,0.8640005,0.7284194
Elizabeth,0.72213227,0.7536094,0.6727474,0.5988486,0.74849415,0.71759427,0.7693217,0.797853,0.76546705,0.6813546
Patricia,0.78617406,0.7849232,0.7109448,0.6411536,0.78171885,0.7626575,0.81113327,0.8177938,0.80663574,0.73276126
Jennifer,0.7781385,0.7977619,0.6765512,0.6357386,0.82715636,0.77246237,0.7866367,0.8266119,0.82495254,0.7359638
Linda,0.77788687,0.78481734,0.7035674,0.6400415,0.786232,0.7709615,0.820053,0.80933446,0.8022178,0.7400029
Barbara,0.7371666,0.7393547,0.6737827,0.6099378,0.7508279,0.7268089,0.76592994,0.7832105,0.7559349,0.7059313
Margaret,0.671028,0.6803664,0.64582384,0.574997,0.69151455,0.6753619,0.71484184,0.7320012,0.6932857,0.65600836
Susan,0.770548,0.80996406,0.6813344,0.630268,0.8140159,0.77970564,0.7886062,0.82076716,0.81775963,0.72008353
Dorothy,0.7434583,0.76301277,0.6662638,0.6171233,0.76324314,0.74467146,0.7762418,0.7982096,0.7771398,0.69475216
Sarah,0.799567,0.8263415,0.6898163,0.664469,0.81800234,0.80341303,0.81677055,0.8122964,0.8444156,0.74887526
Jessica,0.78443,0.82118976,0.67702085,0.64843345,0.822716,0.79828537,0.7930614,0.8034876,0.84797025,0.7327963
Helen,0.78067553,0.81630886,0.675996,0.63001776,0.81098497,0.79381657,0.8137027,0.80959356,0.8381878,0.7378032
Nancy,0.7986739,0.8172999,0.69066185,0.63981223,0.8197026,0.79131293,0.8253752,0.8374983,0.8373302,0.7391166
Betty,0.8323889,0.83371854,0.71209395,0.6826265,0.81541955,0.825222,0.853829,0.8110672,0.856264,0.7667572
Karen,0.75901043,0.7778808,0.6517155,0.65531385,0.80088544,0.7754078,0.76780534,0.79005945,0.820848,0.7182088
Lisa,0.80958307,0.82319856,0.68780476,0.6531979,0.8178765,0.8031521,0.8194177,0.8148799,0.85674703,0.74044967
Anna,0.741531,0.7476251,0.6506829,0.616716,0.76816046,0.74570775,0.7397138,0.75494385,0.76624787,0.70702016
Sandra,0.72884417,0.74261093,0.6436882,0.62645197,0.75101763,0.7170338,0.72615623,0.7518583,0.7611061,0.6732199
Emily,0.67553884,0.63831604,0.61338294,0.59945655,0.7017903,0.6679028,0.6260246,0.6724598,0.6873127,0.6681813
Ashley,0.7757727,0.79253674,0.6916658,0.626871,0.81447697,0.7805543,0.7821996,0.7846075,0.8128278,0.74154663
