"Name","Gender","Word","CosineSimilarity","Good_or_Bad"
"James","M","happy",0.7458012,"Good"
"James","M","agreeable",0.66099846,"Good"
"James","M","polite",0.7445649,"Good"
"James","M","civil",0.61566067,"Good"
"James","M","charming",0.80576974,"Good"
"James","M","gracious",0.59671533,"Good"
"James","M","gentle",0.7959501,"Good"
"James","M","approachable",0.73821807,"Good"
"James","M","love",0.71117514,"Good"
"James","M","cool",0.7506868,"Good"
"John","M","happy",0.7013825,"Good"
"John","M","agreeable",0.66022855,"Good"
"John","M","polite",0.71524036,"Good"
"John","M","civil",0.656073,"Good"
"John","M","charming",0.75462484,"Good"
"John","M","gracious",0.5786078,"Good"
"John","M","gentle",0.75631416,"Good"
"John","M","approachable",0.725424,"Good"
"John","M","love",0.67282075,"Good"
"John","M","cool",0.7206057,"Good"
"Robert","M","happy",0.736228,"Good"
"Robert","M","agreeable",0.6616839,"Good"
"Robert","M","polite",0.73306084,"Good"
"Robert","M","civil",0.62393486,"Good"
"Robert","M","charming",0.7922348,"Good"
"Robert","M","gracious",0.5771167,"Good"
"Robert","M","gentle",0.7937008,"Good"
"Robert","M","approachable",0.76594174,"Good"
"Robert","M","love",0.6899502,"Good"
"Robert","M","cool",0.7411617,"Good"
"Michael","M","happy",0.7780458,"Good"
"Michael","M","agreeable",0.6651221,"Good"
"Michael","M","polite",0.757903,"Good"
"Michael","M","civil",0.6219343,"Good"
"Michael","M","charming",0.8303863,"Good"
"Michael","M","gracious",0.5914757,"Good"
"Michael","M","gentle",0.816797,"Good"
"Michael","M","approachable",0.7539433,"Good"
"Michael","M","love",0.72646487,"Good"
"Michael","M","cool",0.7821064,"Good"
"William","M","happy",0.7158682,"Good"
"William","M","agreeable",0.6706772,"Good"
"William","M","polite",0.7363744,"Good"
"William","M","civil",0.61885905,"Good"
"William","M","charming",0.7888043,"Good"
"William","M","gracious",0.5843815,"Good"
"William","M","gentle",0.79076415,"Good"
"William","M","approachable",0.74883413,"Good"
"William","M","love",0.6670238,"Good"
"William","M","cool",0.7483485,"Good"
"David","M","happy",0.7484342,"Good"
"David","M","agreeable",0.6409106,"Good"
"David","M","polite",0.721791,"Good"
"David","M","civil",0.59656405,"Good"
"David","M","charming",0.7889304,"Good"
"David","M","gracious",0.57649755,"Good"
"David","M","gentle",0.78284764,"Good"
"David","M","approachable",0.7275063,"Good"
"David","M","love",0.69865245,"Good"
"David","M","cool",0.7405313,"Good"
"Joseph","M","happy",0.73958105,"Good"
"Joseph","M","agreeable",0.67184746,"Good"
"Joseph","M","polite",0.7193622,"Good"
"Joseph","M","civil",0.59293586,"Good"
"Joseph","M","charming",0.7863188,"Good"
"Joseph","M","gracious",0.58224475,"Good"
"Joseph","M","gentle",0.78697574,"Good"
"Joseph","M","approachable",0.7497709,"Good"
"Joseph","M","love",0.6961036,"Good"
"Joseph","M","cool",0.73008126,"Good"
"Richard","M","happy",0.73050237,"Good"
"Richard","M","agreeable",0.6643365,"Good"
"Richard","M","polite",0.7256199,"Good"
"Richard","M","civil",0.6302408,"Good"
"Richard","M","charming",0.77977824,"Good"
"Richard","M","gracious",0.58798873,"Good"
"Richard","M","gentle",0.7740593,"Good"
"Richard","M","approachable",0.7413185,"Good"
"Richard","M","love",0.68346703,"Good"
"Richard","M","cool",0.72389936,"Good"
"Charles","M","happy",0.7178494,"Good"
"Charles","M","agreeable",0.69163215,"Good"
"Charles","M","polite",0.7295072,"Good"
"Charles","M","civil",0.64872134,"Good"
"Charles","M","charming",0.7757965,"Good"
"Charles","M","gracious",0.58186436,"Good"
"Charles","M","gentle",0.7817856,"Good"
"Charles","M","approachable",0.73351324,"Good"
"Charles","M","love",0.691434,"Good"
"Charles","M","cool",0.73021036,"Good"
"Thomas","M","happy",0.7419317,"Good"
"Thomas","M","agreeable",0.6638537,"Good"
"Thomas","M","polite",0.7413605,"Good"
"Thomas","M","civil",0.62555194,"Good"
"Thomas","M","charming",0.8044013,"Good"
"Thomas","M","gracious",0.57636905,"Good"
"Thomas","M","gentle",0.7992962,"Good"
"Thomas","M","approachable",0.7520985,"Good"
"Thomas","M","love",0.6959473,"Good"
"Thomas","M","cool",0.7539036,"Good"
