,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
James,0.7369816,0.59757155,0.5921206,0.7415079,0.6772834,0.75487494,0.7335303,0.5568373,0.62617683,0.77463627
John,0.7228573,0.5862355,0.59397024,0.7326318,0.66229475,0.7484321,0.7139654,0.54279286,0.61424077,0.76511216
Robert,0.7519706,0.60486805,0.58382446,0.7449324,0.68406683,0.7571111,0.7403742,0.54459655,0.6386186,0.78788173
Michael,0.753858,0.6246321,0.6016265,0.7539489,0.6882123,0.76830894,0.7527755,0.5776311,0.6356715,0.7959795
William,0.7263767,0.5756134,0.5725684,0.74382335,0.66127825,0.73404634,0.7045182,0.52332747,0.59790313,0.7743871
David,0.7420939,0.5953499,0.58406705,0.7361132,0.68018687,0.75137204,0.7530041,0.5675125,0.63378036,0.7833079
Joseph,0.7433771,0.65432334,0.63487244,0.7673857,0.7161066,0.7575085,0.7592561,0.5936024,0.6772238,0.7760291
Richard,0.74741936,0.58530927,0.5766702,0.744014,0.6784206,0.7457366,0.7321136,0.53968906,0.6283313,0.7853812
Charles,0.7149163,0.624404,0.60771143,0.7558345,0.67908204,0.7453227,0.7264776,0.5676652,0.6397537,0.76687205
Thomas,0.7580576,0.6058463,0.59731334,0.7578876,0.6928159,0.7760714,0.75763494,0.56390905,0.6327001,0.7932761
Christopher,0.7687962,0.6303109,0.6138632,0.7487068,0.7115103,0.77886784,0.76325727,0.60428065,0.6801539,0.7689936
Daniel,0.74279785,0.61140263,0.6002155,0.7425597,0.6908469,0.7343145,0.7583406,0.5777947,0.65221083,0.7640537
Matthew,0.7187322,0.5718385,0.5725857,0.7254392,0.6702558,0.7245275,0.72167695,0.5609502,0.6122128,0.7611158
George,0.6876428,0.60795593,0.5939332,0.7338524,0.65790784,0.728703,0.7011772,0.56369257,0.61310935,0.74257576
Anthony,0.7455659,0.64304733,0.6136191,0.7506753,0.6882621,0.7733029,0.7562165,0.57843935,0.64830214,0.7817023
Donald,0.73236763,0.60017675,0.58602786,0.73199904,0.66506803,0.7551483,0.72361183,0.5437877,0.6312847,0.7696544
Paul,0.7522774,0.6442616,0.6023797,0.75998884,0.6887495,0.7723096,0.75371826,0.58151233,0.65606725,0.789497
Mark,0.71221596,0.5706413,0.5712904,0.70469224,0.6453656,0.71053493,0.7024869,0.5468444,0.62606704,0.7486111
Andrew,0.7499245,0.63767636,0.61158776,0.76541424,0.6974942,0.7732041,0.76529765,0.5971918,0.65173346,0.78555816
Edward,0.73797774,0.6108787,0.61209524,0.7576511,0.6952759,0.7469959,0.75049925,0.5693644,0.6429653,0.77257663
