,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.74580085,0.6609976,0.74456453,0.6156603,0.8057695,0.5967151,0.7959496,0.73821795,0.7111749,0.750686
John,0.70138204,0.6602277,0.7152402,0.6560726,0.7546242,0.5786077,0.7563137,0.72542334,0.6728202,0.7206048
Robert,0.7362276,0.6616829,0.73306036,0.6239346,0.7922344,0.5771165,0.7937003,0.7659415,0.68994963,0.7411611
Michael,0.7780455,0.66512096,0.7579025,0.6219342,0.83038586,0.5914754,0.81679666,0.7539427,0.7264643,0.7821056
William,0.71586764,0.6706762,0.7363739,0.6188588,0.78880394,0.5843812,0.7907635,0.7488339,0.66702306,0.74834764
David,0.7484337,0.64090985,0.7217906,0.5965635,0.78893006,0.5764973,0.7828473,0.727506,0.6986522,0.7405306
Joseph,0.7395806,0.67184633,0.71936154,0.5929353,0.78631806,0.5822444,0.7869751,0.7497704,0.69610286,0.7300803
Richard,0.7305021,0.6643358,0.7256195,0.6302404,0.7797779,0.58798885,0.77405906,0.7413183,0.68346655,0.72389865
Charles,0.71784854,0.6916313,0.72950697,0.64872074,0.77579623,0.58186436,0.78178513,0.733513,0.6914333,0.7302096
Thomas,0.7419313,0.66385275,0.7413602,0.62555134,0.80440116,0.5763686,0.7992959,0.7520984,0.6959467,0.7539031
Christopher,0.7569678,0.6516882,0.73353463,0.58920103,0.806338,0.59105074,0.7924572,0.7436204,0.6957544,0.7624948
Daniel,0.7762902,0.6500304,0.72432244,0.57425404,0.8261395,0.5763736,0.7980802,0.70580465,0.7426152,0.7654121
Matthew,0.79034936,0.6439496,0.7435924,0.577574,0.81385666,0.5819622,0.801046,0.7045597,0.7363429,0.76611674
George,0.695737,0.66674465,0.7162608,0.65130186,0.7554053,0.58052623,0.7534025,0.7175261,0.6752866,0.7175724
Anthony,0.7537263,0.67065394,0.75028366,0.63095665,0.80894005,0.5713755,0.80476665,0.7515774,0.7065045,0.7576472
Donald,0.7195916,0.6642519,0.715122,0.6124152,0.7687874,0.57334846,0.7671863,0.74097484,0.6592113,0.74554694
Paul,0.74855554,0.67013717,0.7437303,0.61428493,0.8084895,0.5795258,0.79746354,0.7440177,0.7015193,0.7578967
Mark,0.7130059,0.6237669,0.6614949,0.54603416,0.7400127,0.5769111,0.7327098,0.67896205,0.6921569,0.70428836
Andrew,0.77486795,0.67636395,0.74896944,0.6095919,0.81051445,0.577865,0.80166686,0.74667317,0.72889763,0.77229965
Edward,0.7438375,0.68851006,0.749858,0.63967264,0.79522467,0.5912945,0.7852322,0.74710417,0.7057693,0.7396858
