,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.7811587,0.82022446,0.6891743,0.6346326,0.7727644,0.7785991,0.82715285,0.8226081,0.8319086,0.7105169
John,0.74641657,0.779565,0.6705111,0.62189466,0.73080444,0.7349398,0.7935239,0.79016787,0.7805688,0.6819881
Robert,0.7773789,0.8127296,0.6802095,0.6247958,0.76980174,0.7771138,0.8427409,0.82676876,0.82789797,0.7073918
Michael,0.805151,0.8484063,0.68493134,0.6473949,0.79326147,0.8095065,0.85692084,0.8326628,0.85541356,0.7376725
William,0.77959865,0.8140404,0.6883998,0.6299553,0.76253355,0.77414656,0.844556,0.8159995,0.83020365,0.7006655
David,0.7607223,0.80665123,0.65764767,0.62021327,0.774788,0.75912946,0.7865592,0.81350017,0.8163575,0.6912114
Joseph,0.7476014,0.76990694,0.6925732,0.6629559,0.7689088,0.75514907,0.79301256,0.80211747,0.80301094,0.70087683
Richard,0.76372457,0.7972978,0.6798454,0.61739814,0.757302,0.7437035,0.80504954,0.8196981,0.80053884,0.6956815
Charles,0.74750066,0.7692369,0.69787526,0.6253065,0.74216974,0.7401192,0.80424654,0.7840743,0.7729217,0.71079004
Thomas,0.78274477,0.8214038,0.68927664,0.63398916,0.7708174,0.7784122,0.8349632,0.82490295,0.836387,0.7061294
Christopher,0.7770839,0.7835865,0.6849382,0.6386249,0.778484,0.74731344,0.7950564,0.8108293,0.8076924,0.71312964
Daniel,0.77947235,0.7979726,0.6862812,0.62892455,0.8063268,0.7784847,0.78724957,0.7972861,0.8293524,0.72817373
Matthew,0.7734213,0.82088864,0.6720693,0.6315676,0.80860263,0.7913588,0.7985941,0.8166125,0.8323704,0.7255584
George,0.7421149,0.76374495,0.67783177,0.6242176,0.7232367,0.7287103,0.7829247,0.7809851,0.7681282,0.6852069
Anthony,0.78751636,0.8030697,0.68831086,0.63848805,0.78454196,0.7763801,0.83250695,0.83014977,0.81554264,0.7374358
Donald,0.7638758,0.7851611,0.6837,0.61798537,0.746547,0.7520779,0.8093934,0.81936544,0.78698075,0.69609237
Paul,0.78024966,0.8060285,0.6809486,0.6273503,0.78130466,0.7740178,0.82904077,0.8200122,0.82014596,0.7208962
Mark,0.7144723,0.76043105,0.6484486,0.6166854,0.73642814,0.7553419,0.746295,0.75622284,0.7795379,0.67374337
Andrew,0.7949447,0.81839377,0.69098437,0.64131516,0.80136895,0.7983199,0.8279127,0.8280648,0.82542187,0.7491159
Edward,0.7618098,0.7888588,0.70090395,0.64008975,0.7788348,0.74429643,0.79910296,0.8157972,0.8004252,0.7114891
