,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Lian,0.63730246,0.59303457,0.62599194,0.48381102,0.67023504,0.4745021,0.6632047,0.6464705,0.6142045,0.6324553
Shan,0.7320738,0.61709994,0.75304973,0.5638634,0.80033123,0.4920426,0.78440523,0.7026716,0.65014434,0.7474785
Lew,0.6926081,0.6081791,0.7311555,0.61859107,0.74415493,0.48346907,0.7505288,0.7013825,0.6329364,0.70928395
Long,0.67784715,0.619128,0.7320585,0.5316712,0.73436105,0.46922275,0.7602868,0.6502008,0.65116763,0.7001198
Quan,0.6758142,0.6030268,0.69805163,0.58394414,0.7068685,0.43450782,0.704077,0.6831083,0.5921909,0.6683919
Jun,0.60220265,0.52301776,0.6220131,0.5090275,0.6099469,0.3865416,0.62150604,0.59886295,0.5181628,0.59255135
Tou,0.67575693,0.61060965,0.6448303,0.48201755,0.6792854,0.50792396,0.6894268,0.6529125,0.62272453,0.6739407
Jin,0.7026877,0.6219653,0.6887702,0.526754,0.7423396,0.47162944,0.72342587,0.6837932,0.6042087,0.7027267
Cai,0.66720045,0.60812026,0.7033718,0.6006572,0.70486176,0.46139157,0.70181936,0.6746022,0.60862267,0.66518545
Chan,0.7302715,0.60790443,0.72939014,0.54292184,0.7952868,0.4779883,0.7774942,0.7049641,0.6540434,0.74786615
Lue,0.6243812,0.6022272,0.60655165,0.45776963,0.6240505,0.47774673,0.6404307,0.6262543,0.5952387,0.60279626
China,0.66616994,0.53326374,0.65007603,0.6027446,0.6825914,0.44561654,0.6705959,0.6284767,0.6254834,0.6465589
Lu,0.72603804,0.5995358,0.70989394,0.54904807,0.74764514,0.4825213,0.75313294,0.68330365,0.6744031,0.71728754
Maylee,0.6547946,0.55970645,0.6395782,0.44758424,0.704798,0.5207399,0.6902009,0.6160773,0.62151873,0.63060725
Tennie,0.5640894,0.50160587,0.5573234,0.4616747,0.5762965,0.4735774,0.5670012,0.5073459,0.51013136,0.57533014
Maylin,0.70337415,0.61055684,0.70883435,0.5574306,0.7387023,0.5313285,0.7455727,0.68973553,0.6504066,0.6965822
Chynna,0.52984977,0.5089889,0.5114774,0.42802718,0.5362948,0.4604993,0.56872845,0.49534473,0.53697747,0.5315653
Jia,0.722005,0.6069293,0.72548455,0.5563801,0.7537626,0.4745471,0.751364,0.6760396,0.6199856,0.72395694
Mei,0.73453057,0.5878142,0.7219281,0.53275913,0.74673736,0.47389615,0.7253422,0.63931215,0.6494734,0.728758
Tylee,0.7052909,0.60331845,0.7091911,0.47081766,0.7703715,0.5291198,0.7462941,0.6517393,0.599272,0.74396384
