,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.7811591,0.8202247,0.6891748,0.63463306,0.77276504,0.77859926,0.82715315,0.82260853,0.8319089,0.7105173
John,0.7464169,0.7795657,0.6705117,0.62189513,0.7308051,0.73493993,0.7935243,0.79016876,0.7805692,0.6819885
Robert,0.7773793,0.81272984,0.68021005,0.6247963,0.76980245,0.77711385,0.8427411,0.8267694,0.8278984,0.7073921
Michael,0.8051513,0.84840655,0.684932,0.64739496,0.7932621,0.80950665,0.8569212,0.83266354,0.855414,0.73767287
William,0.77959883,0.81404066,0.68840045,0.6299557,0.762534,0.77414685,0.84455603,0.8160001,0.8302041,0.70066583
David,0.76072264,0.8066514,0.657648,0.62021357,0.77478856,0.7591295,0.786559,0.81350064,0.8163578,0.6912117
Joseph,0.747602,0.7699071,0.6925739,0.66295624,0.7689094,0.7551495,0.793013,0.80211794,0.8030111,0.7008775
Richard,0.7637249,0.79729795,0.67984563,0.6173982,0.7573026,0.7437036,0.80504966,0.8196988,0.8005389,0.6956817
Charles,0.747501,0.76923716,0.697876,0.6253067,0.74217033,0.7401197,0.80424714,0.7840753,0.7729219,0.7107905
Thomas,0.7827451,0.8214039,0.6892771,0.6339897,0.7708182,0.7784122,0.8349633,0.8249038,0.836387,0.7061298
Mary,0.7825098,0.836278,0.6844222,0.6662728,0.8122297,0.8151696,0.8348583,0.8265654,0.8640009,0.72841996
Elizabeth,0.7221326,0.7536096,0.67274773,0.59884906,0.7484945,0.7175946,0.76932216,0.7978536,0.7654675,0.6813552
Patricia,0.7861744,0.7849232,0.7109454,0.6411538,0.7817193,0.76265764,0.8111335,0.8177942,0.8066359,0.73276174
Jennifer,0.77813876,0.79776204,0.676552,0.6357391,0.8271568,0.7724623,0.7866371,0.82661206,0.8249528,0.73596406
Linda,0.77788705,0.78481746,0.703568,0.64004195,0.7862324,0.77096176,0.8200527,0.8093352,0.80221766,0.7400031
Barbara,0.7371669,0.7393548,0.67378336,0.60993814,0.75082827,0.72680897,0.76593006,0.7832112,0.7559353,0.70593154
Margaret,0.6710284,0.6803671,0.645824,0.5749975,0.69151485,0.6753621,0.7148421,0.7320019,0.6932862,0.6560087
Susan,0.77054846,0.80996406,0.681335,0.6302683,0.8140163,0.7797058,0.78860635,0.8207674,0.8177599,0.7200839
Sarah,0.7995677,0.8263418,0.689817,0.66446936,0.818003,0.8034135,0.81677043,0.8122973,0.8444159,0.748876
Jessica,0.78443015,0.82118976,0.6770216,0.6484338,0.82271636,0.79828537,0.7930616,0.8034878,0.8479706,0.73279655
