,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Mary,0.76142925,0.65481585,0.74854624,0.59788686,0.81854445,0.63829154,0.8257452,0.72458863,0.7337834,0.76509196
Elizabeth,0.70366925,0.6498141,0.7146913,0.62912446,0.7501836,0.58411074,0.7567283,0.7132647,0.67092466,0.6997692
Patricia,0.7455773,0.6875378,0.76333934,0.64064217,0.8002701,0.6031967,0.7906364,0.7438798,0.69148874,0.75550956
Jennifer,0.7815657,0.6408846,0.747535,0.5784646,0.83156997,0.591445,0.814139,0.7086364,0.7321647,0.76533675
Linda,0.7567071,0.6884967,0.7464671,0.63881576,0.8043293,0.5839839,0.80376124,0.73010683,0.6930587,0.77203214
Barbara,0.7137083,0.65761536,0.71379465,0.63416374,0.7505011,0.5750184,0.75892913,0.7047143,0.66941625,0.72376037
Margaret,0.64987314,0.6521498,0.67963386,0.6438497,0.67755854,0.56529176,0.70076585,0.6730692,0.63802767,0.65132225
Susan,0.77441776,0.6617334,0.7549906,0.60286325,0.8170108,0.5878464,0.8054738,0.7173876,0.73776484,0.7615755
Dorothy,0.72747916,0.65493405,0.717493,0.6466156,0.75942177,0.5697821,0.7657485,0.71048635,0.6924933,0.7131428
Sarah,0.79105735,0.6523365,0.74705803,0.596671,0.8343951,0.62011635,0.81433386,0.71564853,0.7347183,0.7902589
Jessica,0.78857064,0.63351965,0.7359887,0.56535697,0.8427073,0.5856029,0.8093103,0.70391357,0.73610044,0.78346926
Helen,0.77852273,0.65364957,0.74075544,0.58770686,0.8200123,0.5929769,0.8070602,0.70648646,0.72860026,0.783425
Nancy,0.7884008,0.6646693,0.7597697,0.60896456,0.82918227,0.58676803,0.81320596,0.7459682,0.713195,0.7804311
Betty,0.7925259,0.68168247,0.7685715,0.6176363,0.8315289,0.59329647,0.8328489,0.74216044,0.7340309,0.80441296
Karen,0.77082515,0.61832774,0.71617043,0.56544644,0.8130163,0.5819404,0.7994213,0.6904826,0.70272255,0.76032364
Lisa,0.78636926,0.6583595,0.75879127,0.5784677,0.85982907,0.5983584,0.8284238,0.71530336,0.728383,0.78091776
Anna,0.72826934,0.59624064,0.65370744,0.5782485,0.74741864,0.58431804,0.74251986,0.65199304,0.6991526,0.722107
Sandra,0.7147877,0.6136464,0.7015618,0.5748378,0.76019067,0.5852812,0.74654806,0.67215616,0.6592422,0.7105088
Emily,0.67268705,0.54171646,0.62270325,0.49952635,0.70007294,0.512294,0.66983235,0.5985751,0.6594854,0.6659035
Ashley,0.78418636,0.65111387,0.7249899,0.5738886,0.83205885,0.586264,0.80461335,0.6823483,0.7587787,0.7540324
