,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Paul,0.748556,0.6701381,0.74373055,0.6142856,0.8084899,0.5795262,0.7974635,0.74401796,0.70151997,0.75789714
Vincent,0.763479,0.6785184,0.7412704,0.6148209,0.79980654,0.5799123,0.7941118,0.75457877,0.7003764,0.74887925
Victor,0.772577,0.669798,0.73305064,0.614408,0.8213945,0.6044142,0.80541795,0.73590934,0.7234899,0.77316785
Adrian,0.75461876,0.66147643,0.74455094,0.5867663,0.82679695,0.5824579,0.7794372,0.713226,0.71700454,0.76241314
Marcus,0.75325775,0.6423935,0.71977645,0.56766325,0.80579984,0.5836745,0.7714845,0.67203814,0.7172686,0.7711271
Leo,0.76458836,0.68026507,0.73848754,0.61596966,0.8067281,0.5921118,0.80499005,0.72346044,0.71194535,0.7907965
Miles,0.7526109,0.64518833,0.7199201,0.5524702,0.8114474,0.58094704,0.80153745,0.68979657,0.7418747,0.73186314
Roman,0.69463235,0.6365205,0.7262118,0.67619777,0.7088344,0.57699704,0.7336253,0.70087165,0.66549623,0.7121492
Sergio,0.75784254,0.664255,0.71961534,0.58899784,0.78253126,0.5709429,0.76474,0.7198342,0.6958965,0.7637035
Felix,0.7850834,0.66435575,0.7504776,0.5926339,0.8461666,0.6039418,0.8146943,0.7170174,0.720845,0.78337204
Patricia,0.7455773,0.6875378,0.76333934,0.64064217,0.8002701,0.6031967,0.7906364,0.7438798,0.69148874,0.75550956
Laura,0.7886966,0.6590563,0.7580212,0.5953096,0.83144486,0.5961666,0.8203311,0.7126294,0.7424028,0.78084815
Amanda,0.7828817,0.66504586,0.74304044,0.58460546,0.83174276,0.5872648,0.80625784,0.69399655,0.72886086,0.77656496
Victoria,0.7595923,0.6431482,0.73933434,0.58963716,0.8285084,0.5937776,0.813124,0.7356706,0.7018009,0.7735913
Julia,0.76892924,0.66037655,0.747787,0.59966135,0.82449234,0.59004885,0.8170904,0.7089169,0.72941685,0.7717254
Gloria,0.79210395,0.6493069,0.7392094,0.60880333,0.80665505,0.6201863,0.8116878,0.7016399,0.75859845,0.7483478
Diana,0.7637331,0.6673497,0.72260886,0.6221888,0.806185,0.5952635,0.80478364,0.7242143,0.6994206,0.75853246
Clara,0.75340664,0.6236361,0.7194029,0.58313555,0.80804706,0.5605029,0.78864485,0.69533646,0.71740174,0.73311675
Paula,0.75101894,0.67203164,0.7435346,0.60016674,0.7787994,0.57879233,0.7692196,0.71182066,0.7073184,0.7527643
Norma,0.7327299,0.64494216,0.7302897,0.634414,0.769848,0.58424526,0.77595925,0.7293999,0.69943154,0.74519837
