,term,contrast,estimate,null.value,conf.low,conf.high,adj.p.value,TestName,Model
1,Gender,F-M,-0.008426199,0,-0.033183387,0.016330989,0.503809682,NC,BERT_base_cased
2,Gender,F-M,-0.01994113,0,-0.050723241,0.010840982,0.203559849,SC,BERT_base_cased
3,Gender,F-M,-0.008316101,0,-0.033553655,0.016921453,0.517485575,PG,BERT_base_cased
4,Gender,F-M,-0.010567382,0,-0.032506073,0.011371309,0.34423835,UG,BERT_base_cased
5,Race,Chinese-White,-0.143011316,0,-0.180130581,-0.105892051,0,PR,BERT_base_cased
6,Race,Latinx-White,0.007288426,0,-0.029830839,0.044407691,0.957777533,PR,BERT_base_cased
7,Race,Black-White,-0.197738353,0,-0.234857618,-0.160619088,0,PR,BERT_base_cased
8,Race,Latinx-Chinese,0.150299742,0,0.113180477,0.187419007,0,PR,BERT_base_cased
9,Race,Black-Chinese,-0.054727037,0,-0.091846302,-0.017607772,0.000909826,PR,BERT_base_cased
10,Race,Black-Latinx,-0.205026779,0,-0.242146044,-0.167907514,0,PR,BERT_base_cased
11,Race,Chinese-White,-0.140029791,0,-0.17749578,-0.102563801,0,UR,BERT_base_cased
12,Race,Latinx-White,0.011521705,0,-0.025944284,0.048987695,0.85823202,UR,BERT_base_cased
13,Race,Black-White,-0.212745334,0,-0.250211323,-0.175279344,0,UR,BERT_base_cased
14,Race,Latinx-Chinese,0.151551496,0,0.114085506,0.189017486,0,UR,BERT_base_cased
15,Race,Black-Chinese,-0.072715543,0,-0.110181533,-0.035249553,4.27E-06,UR,BERT_base_cased
16,Race,Black-Latinx,-0.224267039,0,-0.261733029,-0.18680105,0,UR,BERT_base_cased
