,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Reginald,0.54648113,0.5134589,0.52309376,0.44329375,0.52125543,0.4842093,0.57707816,0.45901644,0.5215744,0.53213143
Kameron,0.464728,0.39091372,0.55441606,0.51916087,0.45795074,0.45477188,0.5292261,0.39950937,0.488328,0.5086882
Kendrick,0.57847464,0.50259906,0.46626723,0.4331657,0.5652733,0.55557156,0.596462,0.50735813,0.57934874,0.6245687
Javon,0.599532,0.47106862,0.58668727,0.5031332,0.5505665,0.54016215,0.6074191,0.44245112,0.5086199,0.56941956
Tyrell,0.5009515,0.46634045,0.5980724,0.47658008,0.5421734,0.5066745,0.581815,0.4153398,0.5131551,0.55154645
Jamar,0.5000913,0.40206,0.5688998,0.48102555,0.47677225,0.45140582,0.550375,0.40897566,0.481922,0.47838777
Camron,0.5766991,0.45645088,0.64184046,0.50573605,0.571578,0.53137857,0.5898153,0.4720112,0.5510225,0.59131044
Tyree,0.5158057,0.48580813,0.568148,0.45095176,0.53189695,0.47244197,0.54513633,0.4087391,0.52547073,0.5198521
Jamari,0.47416288,0.37771666,0.50664175,0.4514073,0.42839336,0.40727136,0.5131898,0.39652818,0.47255546,0.45564622
Reggie,0.6134739,0.44621804,0.5004793,0.38830468,0.51527464,0.5137923,0.58246136,0.4120894,0.5587909,0.5416326
Jada,0.6221911,0.43384507,0.6356513,0.5004236,0.576483,0.57016814,0.6266883,0.45583332,0.5818815,0.5739234
Latoya,0.5084928,0.433205,0.57350194,0.4537434,0.47184783,0.4861272,0.56315005,0.41242284,0.46925163,0.50237894
Jayla,0.599776,0.44545946,0.5036757,0.38511544,0.5243635,0.5076572,0.5480795,0.48281038,0.54332423,0.5531924
Tamika,0.49558565,0.3871887,0.58972937,0.447451,0.45304406,0.43144542,0.5412445,0.38346964,0.46530187,0.45501444
Latoyna,0.41195765,0.38123626,0.46555638,0.4058429,0.3998276,0.4258894,0.46357432,0.36227494,0.3967282,0.44896647
Journey,0.5806066,0.4580696,0.49521196,0.4817707,0.6187077,0.5515654,0.5629531,0.55962974,0.6547485,0.66606164
Tameka,0.4636609,0.37361783,0.546208,0.41869769,0.45490628,0.4206527,0.51398915,0.3608089,0.49142382,0.48637027
Journee,0.5040337,0.5335983,0.5576526,0.55613923,0.5580598,0.53050053,0.6072856,0.54121697,0.49207926,0.59394044
Lawanda,0.46074313,0.3803359,0.4858613,0.39742628,0.4189942,0.44121832,0.5045153,0.38533726,0.4718837,0.42958182
Janiya,0.48778906,0.4051938,0.59654,0.45325842,0.45041358,0.42947322,0.5251401,0.39781877,0.47688192,0.51079595
