,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Reginald,0.44812468,0.41789305,0.3711131,0.4699211,0.4268795,0.39362544,0.5032897,0.5114879,0.50432867,0.52699697
Kameron,0.48454055,0.48192307,0.31073612,0.47510004,0.49524894,0.3947832,0.3791147,0.48106018,0.4713116,0.59332186
Kendrick,0.44878086,0.44468242,0.40570915,0.47232234,0.40875965,0.3997044,0.5351187,0.56259376,0.5547353,0.5166322
Javon,0.5058553,0.4954699,0.3873376,0.5770421,0.4258164,0.36582416,0.47256055,0.57236373,0.59683263,0.58073604
Tyrell,0.5145472,0.46712947,0.3630233,0.5221746,0.42109194,0.37462035,0.4608127,0.51442003,0.5672132,0.58308446
Jamar,0.5113919,0.4978811,0.34349138,0.50030506,0.43660393,0.38013297,0.46982804,0.49898505,0.56757534,0.52253926
Camron,0.5241791,0.49236098,0.3678444,0.5503689,0.4056914,0.37570554,0.49040914,0.56667304,0.5834602,0.6403828
Tyree,0.5332346,0.47708708,0.39024988,0.5181552,0.42578068,0.38562173,0.42290926,0.5534079,0.54024684,0.5846924
Jamari,0.49368817,0.41519004,0.36389637,0.45955244,0.4083163,0.39495844,0.42876345,0.44199774,0.47842276,0.47930127
Reggie,0.4243676,0.44716513,0.3445169,0.47758687,0.37616226,0.37872648,0.46945632,0.554877,0.53990436,0.5082091
Jada,0.545697,0.5959046,0.36227846,0.61001545,0.48402452,0.41615438,0.44395757,0.57237405,0.641839,0.6038963
Latoya,0.5219518,0.52582884,0.37065062,0.5282113,0.3757918,0.34600613,0.46456748,0.49456704,0.50780475,0.53737587
Jayla,0.42348534,0.46632904,0.3715234,0.4617806,0.4065109,0.3714397,0.41508645,0.50777173,0.55104756,0.50013494
Tamika,0.51614153,0.47869867,0.32424575,0.49858218,0.40156913,0.34978545,0.4052185,0.48925522,0.50597924,0.52076966
Latoyna,0.45944184,0.5478365,0.3333089,0.45343715,0.31928968,0.2991407,0.4060719,0.4145522,0.3955419,0.43050793
Journey,0.43766844,0.44075382,0.41674525,0.4783808,0.3840714,0.3485868,0.55173683,0.53954303,0.54574955,0.5401532
Tameka,0.5300822,0.45280337,0.28701413,0.47918501,0.38936454,0.38036808,0.38482383,0.51153946,0.50697887,0.51079005
Journee,0.45913532,0.5567712,0.47666815,0.5015662,0.3165503,0.42779428,0.5874737,0.5313089,0.56163657,0.508608
Lawanda,0.48915538,0.42606553,0.35420835,0.46625072,0.4354409,0.3927372,0.4167531,0.41606694,0.46677125,0.4913653
Janiya,0.54897726,0.50701916,0.3557886,0.51414734,0.43243906,0.34290475,0.4196183,0.4799789,0.51109946,0.5687314
