"Name","Gender","Career","CosineSimilarity","STEM"
"James","M","Software.Developer",0.45408675,"Yes"
"James","M","Nurse.Practitioner",0.4435532,"Yes"
"James","M","Health.Services.Manager",0.4804548,"Yes"
"James","M","Physicians.Assistant",0.38360578,"Yes"
"James","M","Security.Analyst",0.4440378,"Yes"
"James","M","IT.Manager",0.50733525,"Yes"
"James","M","Web.Developer",0.43802756,"Yes"
"James","M","Dentist",0.57361335,"Yes"
"James","M","Orthodontist",0.47162455,"Yes"
"James","M","Computer.Systems.Analyst",0.41492724,"Yes"
"John","M","Software.Developer",0.4279796,"Yes"
"John","M","Nurse.Practitioner",0.46231115,"Yes"
"John","M","Health.Services.Manager",0.5034952,"Yes"
"John","M","Physicians.Assistant",0.44100836,"Yes"
"John","M","Security.Analyst",0.44537765,"Yes"
"John","M","IT.Manager",0.53361225,"Yes"
"John","M","Web.Developer",0.4200852,"Yes"
"John","M","Dentist",0.57669806,"Yes"
"John","M","Orthodontist",0.50987864,"Yes"
"John","M","Computer.Systems.Analyst",0.41902822,"Yes"
"Robert","M","Software.Developer",0.38138986,"Yes"
"Robert","M","Nurse.Practitioner",0.42112553,"Yes"
"Robert","M","Health.Services.Manager",0.46476048,"Yes"
"Robert","M","Physicians.Assistant",0.4143936,"Yes"
"Robert","M","Security.Analyst",0.42208713,"Yes"
"Robert","M","IT.Manager",0.4943229,"Yes"
"Robert","M","Web.Developer",0.3450409,"Yes"
"Robert","M","Dentist",0.54402554,"Yes"
"Robert","M","Orthodontist",0.48764884,"Yes"
"Robert","M","Computer.Systems.Analyst",0.3918777,"Yes"
"Michael","M","Software.Developer",0.44124842,"Yes"
"Michael","M","Nurse.Practitioner",0.49041718,"Yes"
"Michael","M","Health.Services.Manager",0.48778424,"Yes"
"Michael","M","Physicians.Assistant",0.43647408,"Yes"
"Michael","M","Security.Analyst",0.4440432,"Yes"
"Michael","M","IT.Manager",0.5078434,"Yes"
"Michael","M","Web.Developer",0.43844157,"Yes"
"Michael","M","Dentist",0.5776464,"Yes"
"Michael","M","Orthodontist",0.49458602,"Yes"
"Michael","M","Computer.Systems.Analyst",0.4330812,"Yes"
"William","M","Software.Developer",0.37733877,"Yes"
