"Name","Race","Word","CosineSimilarity","Good_or_Bad"
"Reginald","Black","happy",0.54648113,"Good"
"Reginald","Black","agreeable",0.5134589,"Good"
"Reginald","Black","polite",0.52309376,"Good"
"Reginald","Black","civil",0.44329375,"Good"
"Reginald","Black","charming",0.52125543,"Good"
"Reginald","Black","gracious",0.4842093,"Good"
"Reginald","Black","gentle",0.57707816,"Good"
"Reginald","Black","approachable",0.45901644,"Good"
"Reginald","Black","love",0.5215744,"Good"
"Reginald","Black","cool",0.53213143,"Good"
"Kameron","Black","happy",0.464728,"Good"
"Kameron","Black","agreeable",0.39091372,"Good"
"Kameron","Black","polite",0.55441606,"Good"
"Kameron","Black","civil",0.51916087,"Good"
"Kameron","Black","charming",0.45795074,"Good"
"Kameron","Black","gracious",0.45477188,"Good"
"Kameron","Black","gentle",0.5292261,"Good"
"Kameron","Black","approachable",0.39950937,"Good"
"Kameron","Black","love",0.488328,"Good"
"Kameron","Black","cool",0.5086882,"Good"
"Kendrick","Black","happy",0.57847464,"Good"
"Kendrick","Black","agreeable",0.50259906,"Good"
"Kendrick","Black","polite",0.46626723,"Good"
"Kendrick","Black","civil",0.4331657,"Good"
"Kendrick","Black","charming",0.5652733,"Good"
"Kendrick","Black","gracious",0.55557156,"Good"
"Kendrick","Black","gentle",0.596462,"Good"
"Kendrick","Black","approachable",0.50735813,"Good"
"Kendrick","Black","love",0.57934874,"Good"
"Kendrick","Black","cool",0.6245687,"Good"
"Javon","Black","happy",0.599532,"Good"
"Javon","Black","agreeable",0.47106862,"Good"
"Javon","Black","polite",0.58668727,"Good"
"Javon","Black","civil",0.5031332,"Good"
"Javon","Black","charming",0.5505665,"Good"
"Javon","Black","gracious",0.54016215,"Good"
"Javon","Black","gentle",0.6074191,"Good"
"Javon","Black","approachable",0.44245112,"Good"
"Javon","Black","love",0.5086199,"Good"
"Javon","Black","cool",0.56941956,"Good"
"Tyrell","Black","happy",0.5009515,"Good"
"Tyrell","Black","agreeable",0.46634045,"Good"
"Tyrell","Black","polite",0.5980724,"Good"
"Tyrell","Black","civil",0.47658008,"Good"
"Tyrell","Black","charming",0.5421734,"Good"
"Tyrell","Black","gracious",0.5066745,"Good"
"Tyrell","Black","gentle",0.581815,"Good"
"Tyrell","Black","approachable",0.4153398,"Good"
"Tyrell","Black","love",0.5131551,"Good"
"Tyrell","Black","cool",0.55154645,"Good"
"Jamar","Black","happy",0.5000913,"Good"
"Jamar","Black","agreeable",0.40206,"Good"
"Jamar","Black","polite",0.5688998,"Good"
"Jamar","Black","civil",0.48102555,"Good"
"Jamar","Black","charming",0.47677225,"Good"
"Jamar","Black","gracious",0.45140582,"Good"
"Jamar","Black","gentle",0.550375,"Good"
"Jamar","Black","approachable",0.40897566,"Good"
"Jamar","Black","love",0.481922,"Good"
"Jamar","Black","cool",0.47838777,"Good"
"Camron","Black","happy",0.5766991,"Good"
"Camron","Black","agreeable",0.45645088,"Good"
"Camron","Black","polite",0.64184046,"Good"
"Camron","Black","civil",0.50573605,"Good"
"Camron","Black","charming",0.571578,"Good"
"Camron","Black","gracious",0.53137857,"Good"
"Camron","Black","gentle",0.5898153,"Good"
"Camron","Black","approachable",0.4720112,"Good"
"Camron","Black","love",0.5510225,"Good"
"Camron","Black","cool",0.59131044,"Good"
"Tyree","Black","happy",0.5158057,"Good"
"Tyree","Black","agreeable",0.48580813,"Good"
"Tyree","Black","polite",0.568148,"Good"
"Tyree","Black","civil",0.45095176,"Good"
"Tyree","Black","charming",0.53189695,"Good"
"Tyree","Black","gracious",0.47244197,"Good"
"Tyree","Black","gentle",0.54513633,"Good"
"Tyree","Black","approachable",0.4087391,"Good"
"Tyree","Black","love",0.52547073,"Good"
"Tyree","Black","cool",0.5198521,"Good"
"Jamari","Black","happy",0.47416288,"Good"
"Jamari","Black","agreeable",0.37771666,"Good"
"Jamari","Black","polite",0.50664175,"Good"
"Jamari","Black","civil",0.4514073,"Good"
"Jamari","Black","charming",0.42839336,"Good"
"Jamari","Black","gracious",0.40727136,"Good"
"Jamari","Black","gentle",0.5131898,"Good"
"Jamari","Black","approachable",0.39652818,"Good"
"Jamari","Black","love",0.47255546,"Good"
"Jamari","Black","cool",0.45564622,"Good"
"Reggie","Black","happy",0.6134739,"Good"
"Reggie","Black","agreeable",0.44621804,"Good"
"Reggie","Black","polite",0.5004793,"Good"
"Reggie","Black","civil",0.38830468,"Good"
"Reggie","Black","charming",0.51527464,"Good"
"Reggie","Black","gracious",0.5137923,"Good"
"Reggie","Black","gentle",0.58246136,"Good"
"Reggie","Black","approachable",0.4120894,"Good"
"Reggie","Black","love",0.5587909,"Good"
"Reggie","Black","cool",0.5416326,"Good"
"Jada","Black","happy",0.6221911,"Good"
"Jada","Black","agreeable",0.43384507,"Good"
"Jada","Black","polite",0.6356513,"Good"
"Jada","Black","civil",0.5004236,"Good"
"Jada","Black","charming",0.576483,"Good"
"Jada","Black","gracious",0.57016814,"Good"
"Jada","Black","gentle",0.6266883,"Good"
"Jada","Black","approachable",0.45583332,"Good"
"Jada","Black","love",0.5818815,"Good"
"Jada","Black","cool",0.5739234,"Good"
"Latoya","Black","happy",0.5084928,"Good"
"Latoya","Black","agreeable",0.433205,"Good"
"Latoya","Black","polite",0.57350194,"Good"
"Latoya","Black","civil",0.4537434,"Good"
"Latoya","Black","charming",0.47184783,"Good"
"Latoya","Black","gracious",0.4861272,"Good"
"Latoya","Black","gentle",0.56315005,"Good"
"Latoya","Black","approachable",0.41242284,"Good"
"Latoya","Black","love",0.46925163,"Good"
"Latoya","Black","cool",0.50237894,"Good"
"Jayla","Black","happy",0.599776,"Good"
"Jayla","Black","agreeable",0.44545946,"Good"
"Jayla","Black","polite",0.5036757,"Good"
"Jayla","Black","civil",0.38511544,"Good"
"Jayla","Black","charming",0.5243635,"Good"
"Jayla","Black","gracious",0.5076572,"Good"
"Jayla","Black","gentle",0.5480795,"Good"
"Jayla","Black","approachable",0.48281038,"Good"
"Jayla","Black","love",0.54332423,"Good"
"Jayla","Black","cool",0.5531924,"Good"
"Tamika","Black","happy",0.49558565,"Good"
"Tamika","Black","agreeable",0.3871887,"Good"
"Tamika","Black","polite",0.58972937,"Good"
"Tamika","Black","civil",0.447451,"Good"
"Tamika","Black","charming",0.45304406,"Good"
"Tamika","Black","gracious",0.43144542,"Good"
"Tamika","Black","gentle",0.5412445,"Good"
"Tamika","Black","approachable",0.38346964,"Good"
"Tamika","Black","love",0.46530187,"Good"
"Tamika","Black","cool",0.45501444,"Good"
