,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Lian,0.47361684,0.37895036,0.51070666,0.41912195,0.51085794,0.43678695,0.5009712,0.3692441,0.46898508,0.48215577
Shan,0.55357814,0.4641406,0.60190916,0.442679,0.5809233,0.5068811,0.53843623,0.46379274,0.56270534,0.5835753
Lew,0.5248368,0.49277002,0.5829562,0.51602715,0.52996296,0.5034931,0.60603917,0.5058846,0.53794,0.5810245
Long,0.6690513,0.48323378,0.5531149,0.48093578,0.55011266,0.5823767,0.62266624,0.43941063,0.56872094,0.5309199
Quan,0.48995695,0.4069054,0.5604037,0.46442,0.54178095,0.4460009,0.55040175,0.44246018,0.5237152,0.5837437
Jun,0.49716675,0.3146478,0.42044193,0.3713827,0.42414343,0.41773903,0.4961683,0.33177578,0.48757732,0.4646178
Tou,0.55591,0.43342713,0.5696398,0.48697397,0.5015458,0.48927984,0.6260958,0.45018393,0.5940985,0.5280202
Jin,0.5603038,0.4048434,0.55794096,0.48274255,0.51167023,0.48458907,0.58449185,0.4153595,0.56145847,0.57780814
Cai,0.4973654,0.3707723,0.5321305,0.4262323,0.5003558,0.46613404,0.48180306,0.36172342,0.47586635,0.51959366
Chan,0.45607162,0.45952448,0.5703962,0.5180974,0.5217396,0.44459906,0.52221256,0.4801917,0.50645113,0.5886531
Lue,0.5260492,0.40905675,0.60283387,0.50382555,0.48701227,0.49885654,0.6493099,0.40668663,0.53700924,0.53902495
China,0.38912934,0.40299764,0.3023976,0.40982854,0.4298987,0.3909626,0.36344928,0.42727584,0.48856127,0.43775922
Lu,0.5623678,0.4299376,0.6137675,0.4992671,0.5253581,0.52623886,0.62732065,0.4207706,0.5525749,0.5417642
Maylee,0.6395169,0.48223937,0.47985762,0.44585195,0.5431304,0.5571363,0.58929574,0.50281477,0.6223042,0.5405828
Tennie,0.55580044,0.4729036,0.6200373,0.4645038,0.52846277,0.5204569,0.596568,0.42190927,0.46988353,0.5392239
Maylin,0.5534584,0.4291497,0.5247413,0.44336385,0.5306604,0.5256313,0.49066865,0.3864211,0.50249946,0.45526487
Chynna,0.47222197,0.39400908,0.59843576,0.4461837,0.5042636,0.46020275,0.5148971,0.38117832,0.49744207,0.4951554
Jia,0.44912922,0.3596072,0.5452666,0.43856385,0.46795785,0.40969408,0.49161965,0.3724489,0.42548645,0.47543254
Mei,0.47014463,0.35944647,0.5665906,0.42479777,0.47793907,0.41908252,0.4838184,0.36060983,0.44514847,0.47515568
Tylee,0.5677155,0.5007343,0.58088136,0.45673996,0.54670185,0.5264705,0.6150099,0.4623447,0.54343784,0.559901
