,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.52721447,0.5315811,0.45275563,0.6001047,0.44989124,0.42789522,0.60451686,0.58453983,0.58692646,0.58824897
John,0.52856094,0.5243348,0.4246892,0.5970118,0.45763904,0.43162525,0.571057,0.6058352,0.5824188,0.61614
Robert,0.49548152,0.4949187,0.3739261,0.52935517,0.41068712,0.410763,0.54431003,0.5678166,0.56625396,0.5578922
Michael,0.5125965,0.5453346,0.36889917,0.5574477,0.44296685,0.41489023,0.52320015,0.582427,0.575435,0.5718117
William,0.4918624,0.504436,0.4129993,0.56062317,0.4405809,0.46483976,0.55146116,0.54229414,0.53778654,0.5665221
David,0.4509082,0.51418316,0.42172462,0.5401904,0.42566493,0.4400455,0.5367534,0.54412687,0.54952186,0.53706896
Joseph,0.5006703,0.5045805,0.4270154,0.5665753,0.4243906,0.4508636,0.57140183,0.5860495,0.5759018,0.5513142
Richard,0.48781633,0.49769223,0.41734564,0.5244482,0.41902912,0.4303476,0.5337546,0.5886824,0.56694925,0.5699065
Charles,0.45762074,0.5036223,0.42641845,0.53425527,0.41024014,0.4307604,0.57359964,0.56671417,0.53050846,0.5490704
Thomas,0.5667966,0.52133346,0.42903864,0.5791548,0.4282633,0.42871758,0.608639,0.618383,0.6047663,0.6168767
Mary,0.45487583,0.49088314,0.39948094,0.5274979,0.4230991,0.34791967,0.4785051,0.61009586,0.5705278,0.5974002
Elizabeth,0.41278684,0.4286701,0.39863467,0.45502827,0.40897554,0.40152106,0.45763814,0.54020333,0.49298444,0.5564217
Patricia,0.41679752,0.4202417,0.3785727,0.48312148,0.43121582,0.37854815,0.44887725,0.5711708,0.53138113,0.53753775
Jennifer,0.3803962,0.36389846,0.3417076,0.4905982,0.39698398,0.42499268,0.4343871,0.5550994,0.53109694,0.4942925
Linda,0.4084698,0.46544242,0.36309516,0.5175904,0.40839764,0.37709713,0.3926379,0.5315839,0.5585743,0.5323286
Barbara,0.42710274,0.49785048,0.43139833,0.49875087,0.42141342,0.38803834,0.46084806,0.58467937,0.52794015,0.57859105
Margaret,0.33323246,0.36876118,0.32182294,0.41756108,0.42273888,0.34355795,0.4054225,0.54044104,0.5037657,0.517549
Susan,0.4298442,0.44263428,0.4013395,0.5103073,0.4335599,0.37833738,0.50264394,0.62761045,0.5736248,0.57583386
Sarah,0.48965687,0.5033391,0.4337834,0.5881778,0.488764,0.41009575,0.5719901,0.6517214,0.65294707,0.6171278
Jessica,0.41524094,0.44029704,0.37824565,0.52910626,0.4358234,0.3804864,0.48902738,0.60337067,0.55358183,0.5593636
