,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Mary,0.62009645,0.48784733,0.5841735,0.47864977,0.5352191,0.5586526,0.6121098,0.46516997,0.55785257,0.5606429
Elizabeth,0.5595735,0.517246,0.47571486,0.43059286,0.5071173,0.5028393,0.5663433,0.4766581,0.52258,0.54441404
Patricia,0.57748854,0.49216968,0.54196984,0.4510592,0.5287397,0.49828315,0.5347112,0.45517814,0.5421624,0.543347
Jennifer,0.61265177,0.44333142,0.43791914,0.37930566,0.5305444,0.54251415,0.5458044,0.43136424,0.5742438,0.5528643
Linda,0.62404585,0.45360476,0.535867,0.41874033,0.52586937,0.5332273,0.57549834,0.46363357,0.57654333,0.5763922
Barbara,0.6155422,0.52410865,0.5650328,0.48893017,0.53156626,0.5348003,0.5937122,0.5008036,0.55555147,0.59076166
Margaret,0.5584958,0.44003463,0.4247911,0.3782977,0.46949232,0.48424077,0.49980205,0.39308405,0.50237393,0.45890912
Susan,0.627746,0.53520167,0.5189862,0.4559751,0.54399365,0.5536984,0.58708274,0.4751684,0.56016207,0.547861
Dorothy,0.65901643,0.51296246,0.51232594,0.4270258,0.5316039,0.5504236,0.601105,0.46155566,0.562747,0.50896335
Sarah,0.67649704,0.53837645,0.63487303,0.5284395,0.61745036,0.60981584,0.65428853,0.5423077,0.6331216,0.6179259
Jessica,0.65515804,0.48261744,0.53880215,0.44605282,0.56047964,0.5821148,0.5725863,0.50153506,0.61245394,0.599666
Helen,0.6113156,0.52102625,0.48125786,0.44530955,0.5238737,0.54383636,0.58905345,0.481802,0.57001406,0.54866445
Nancy,0.65142775,0.5587468,0.63430655,0.5362559,0.5862882,0.6007072,0.6310732,0.4786833,0.61413145,0.57298416
Betty,0.70573765,0.5637915,0.6487001,0.55911434,0.6050618,0.62710196,0.69637764,0.5426986,0.611699,0.66298926
Karen,0.67221266,0.49182287,0.5622189,0.46119368,0.56006336,0.5930271,0.61500293,0.48291612,0.63169956,0.580403
Lisa,0.67555666,0.50556684,0.58442265,0.4690894,0.5519117,0.5774012,0.6344605,0.5353068,0.6337861,0.60491604
Anna,0.5370759,0.5093765,0.59293026,0.50288236,0.5156565,0.489056,0.5895873,0.5138202,0.5234029,0.60362744
Sandra,0.63918364,0.51556396,0.6491759,0.5292461,0.5968723,0.56143594,0.624215,0.5201864,0.60106117,0.6242089
Emily,0.6861073,0.50789297,0.5465851,0.5010315,0.58127856,0.6169381,0.6304817,0.49037445,0.60267985,0.59402335
Ashley,0.6113551,0.44933715,0.44856015,0.37995923,0.5459336,0.543228,0.55141276,0.4412092,0.56989443,0.5680256
