,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Mary,0.45487583,0.49088314,0.39948094,0.5274979,0.4230991,0.34791967,0.4785051,0.61009586,0.5705278,0.5974002
Elizabeth,0.41278684,0.4286701,0.39863467,0.45502827,0.40897554,0.40152106,0.45763814,0.54020333,0.49298444,0.5564217
Patricia,0.41679752,0.4202417,0.3785727,0.48312148,0.43121582,0.37854815,0.44887725,0.5711708,0.53138113,0.53753775
Jennifer,0.3803962,0.36389846,0.3417076,0.4905982,0.39698398,0.42499268,0.4343871,0.5550994,0.53109694,0.4942925
Linda,0.4084698,0.46544242,0.36309516,0.5175904,0.40839764,0.37709713,0.3926379,0.5315839,0.5585743,0.5323286
Barbara,0.42710274,0.49785048,0.43139833,0.49875087,0.42141342,0.38803834,0.46084806,0.58467937,0.52794015,0.57859105
Margaret,0.33323246,0.36876118,0.32182294,0.41756108,0.42273888,0.34355795,0.4054225,0.54044104,0.5037657,0.517549
Susan,0.4298442,0.44263428,0.4013395,0.5103073,0.4335599,0.37833738,0.50264394,0.62761045,0.5736248,0.57583386
Dorothy,0.41531473,0.44765675,0.38773066,0.51869607,0.4104207,0.4178063,0.4811864,0.6012738,0.60140413,0.5732528
Sarah,0.48965687,0.5033391,0.4337834,0.5881778,0.488764,0.41009575,0.5719901,0.6517214,0.65294707,0.6171278
Jessica,0.41524094,0.44029704,0.37824565,0.52910626,0.4358234,0.3804864,0.48902738,0.60337067,0.55358183,0.5593636
Helen,0.41135257,0.43867683,0.4070469,0.5212779,0.43628955,0.39126396,0.48193726,0.5435398,0.55673504,0.55852735
Nancy,0.5133536,0.48777774,0.40837044,0.5948937,0.46503958,0.39424896,0.5600799,0.66129595,0.6321795,0.5983419
Betty,0.5154103,0.52969074,0.48293713,0.563722,0.46137178,0.44211403,0.58772373,0.66150343,0.64368534,0.63695073
Karen,0.4776436,0.48153087,0.3766948,0.5605493,0.48923314,0.38386202,0.49030346,0.6340833,0.6283359,0.61579406
Lisa,0.45317072,0.5277452,0.41388413,0.54633325,0.4581295,0.41034704,0.5073352,0.5876006,0.59473926,0.5805335
Anna,0.48573825,0.51819485,0.4244318,0.48251283,0.40819043,0.4182827,0.46811366,0.5017055,0.49779153,0.57172024
Sandra,0.4982245,0.50805336,0.43119496,0.5629331,0.49708757,0.44148606,0.50834715,0.59632266,0.5968129,0.57605976
Emily,0.48236483,0.4561544,0.40732044,0.5294862,0.4677632,0.40054065,0.5118451,0.62617576,0.6287569,0.5732589
Ashley,0.38886172,0.3927437,0.3563286,0.45766562,0.38444135,0.3759684,0.4461519,0.56410235,0.52487504,0.5166962
