,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Paul,0.6141679,0.51939124,0.673579,0.53817403,0.56534445,0.55382115,0.67015135,0.52824914,0.5660765,0.67390394
Vincent,0.52899206,0.4461705,0.5929572,0.5135174,0.4979884,0.5282646,0.57830954,0.3847522,0.48407173,0.54745835
Victor,0.5836521,0.49873024,0.58780074,0.54998505,0.56767195,0.5765767,0.59916,0.44494763,0.5396756,0.5623684
Adrian,0.5720589,0.50987583,0.5609572,0.47913507,0.5347881,0.51292133,0.5956562,0.55133164,0.55595547,0.64759296
Marcus,0.59442943,0.4724345,0.6097237,0.54409236,0.56095666,0.5617279,0.62795997,0.43580508,0.54095006,0.593015
Leo,0.6619925,0.5432391,0.61557144,0.56533,0.5850905,0.5837799,0.71773887,0.5637513,0.6144149,0.6584077
Miles,0.65848005,0.46682698,0.5300042,0.4785653,0.5784444,0.6159122,0.6095876,0.4651025,0.6045264,0.57996845
Roman,0.56271285,0.51852465,0.636646,0.59382296,0.5819148,0.5394074,0.59787816,0.5100928,0.5517602,0.6257377
Sergio,0.49329692,0.38891417,0.5434525,0.4448902,0.47572634,0.48906177,0.5582006,0.37027678,0.45883828,0.5106054
Felix,0.6399756,0.55510336,0.60394025,0.5682689,0.6294432,0.60958314,0.673275,0.5552256,0.61822927,0.6819851
Patricia,0.57748854,0.49216968,0.54196984,0.4510592,0.5287397,0.49828315,0.5347112,0.45517814,0.5421624,0.543347
Laura,0.61130416,0.47401103,0.52864766,0.4313812,0.5253849,0.4907685,0.59912956,0.45771483,0.554222,0.5499054
Amanda,0.651564,0.5376689,0.60770047,0.54176,0.58704233,0.5668933,0.64662683,0.5251762,0.6198144,0.63944614
Victoria,0.47981238,0.49327102,0.4834782,0.52842814,0.46001253,0.50066507,0.5201021,0.42213166,0.48047155,0.4811731
Julia,0.64110094,0.5222223,0.57084846,0.48908755,0.59581685,0.59244287,0.6479002,0.51964784,0.6105832,0.60756254
Gloria,0.6217736,0.4605925,0.588433,0.4740106,0.50980556,0.5937297,0.5868451,0.40912956,0.54815435,0.50890815
Diana,0.6262198,0.49045476,0.6031101,0.5097867,0.5432143,0.56178516,0.61164653,0.4616273,0.568262,0.5732459
Clara,0.621778,0.47949958,0.6053444,0.46550345,0.55698586,0.5697148,0.6130973,0.49590436,0.5683023,0.59948826
Paula,0.5871625,0.43572402,0.5496866,0.4493345,0.51153076,0.5067501,0.5703026,0.44516617,0.5504128,0.57168245
Norma,0.61066234,0.4860203,0.6525812,0.5287274,0.55700296,0.5660174,0.6686177,0.47284895,0.5618197,0.6104081
