"","term","contrast","estimate","null.value","conf.low","conf.high","adj.p.value","TestName","Model"
"1","Gender","F-M",-0.0781375889480747,0,-0.0998507485680873,-0.056424429328062,0,"NC","BERT_base_multi_cased"
"2","Gender","F-M",-0.0311629405559082,0,-0.0508233139456324,-0.011502567166184,0.00196519335069612,"SC","BERT_base_multi_cased"
"3","Gender","F-M",-0.0634785186648352,0,-0.0862342354800544,-0.040722801849616,7.39744167033152e-08,"PG","BERT_base_multi_cased"
"4","Gender","F-M",-0.0572855834037082,0,-0.086539473918762,-0.0280316928886543,0.000137719777504985,"UG","BERT_base_multi_cased"
"5","Race","Chinese-White",-0.115011041589732,0,-0.148583597010599,-0.0814384861688649,0,"PR","BERT_base_multi_cased"
"6","Race","Latinx-White",-0.00419910749098162,0,-0.0377716629118486,0.0293734479298854,0.988454427811916,"PR","BERT_base_multi_cased"
"7","Race","Black-White",-0.107083450204111,0,-0.140656005624978,-0.0735108947832444,0,"PR","BERT_base_multi_cased"
"8","Race","Latinx-Chinese",0.11081193409875,0,0.0772393786778832,0.144384489519617,0,"PR","BERT_base_multi_cased"
"9","Race","Black-Chinese",0.00792759138562049,0,-0.0256449640352465,0.0415001468064875,0.929571702543897,"PR","BERT_base_multi_cased"
"10","Race","Black-Latinx",-0.10288434271313,0,-0.136456898133997,-0.0693117872922628,0,"PR","BERT_base_multi_cased"
"11","Race","Chinese-White",-0.0612287501062904,0,-0.100914247177262,-0.0215432530353188,0.000450758685261565,"UR","BERT_base_multi_cased"
"12","Race","Latinx-White",-0.0074922000632458,0,-0.0471776971342174,0.0321932970077258,0.962202320536992,"UR","BERT_base_multi_cased"
"13","Race","Black-White",-0.0525193606168215,0,-0.0922048576877931,-0.0128338635458499,0.00384269339947874,"UR","BERT_base_multi_cased"
"14","Race","Latinx-Chinese",0.0537365500430446,0,0.014051052972073,0.0934220471140162,0.00290261355364496,"UR","BERT_base_multi_cased"
"15","Race","Black-Chinese",0.00870938948946887,0,-0.0309761075815027,0.0483948865604405,0.942410643069624,"UR","BERT_base_multi_cased"
"16","Race","Black-Latinx",-0.0450271605535757,0,-0.0847126576245473,-0.00534166348260409,0.0187825294214443,"UR","BERT_base_multi_cased"
