,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Reginald,0.813476,0.8598256,0.85639006,0.83158255,0.88419515,0.87141603,0.88070077,0.8453575,0.8831561,0.88618714
Kameron,0.746608,0.8509969,0.85048735,0.79905474,0.8791518,0.8640443,0.862466,0.847432,0.8402779,0.83908117
Kendrick,0.7924581,0.85051847,0.8498517,0.84347963,0.89391935,0.90058255,0.8849775,0.84572923,0.9123277,0.9136672
Javon,0.7717792,0.8648532,0.87226886,0.80070376,0.8917395,0.88012445,0.87637275,0.86107564,0.8485935,0.8531549
Tyrell,0.77821183,0.8766421,0.88032055,0.820768,0.9100627,0.9061376,0.9017597,0.8651557,0.8979182,0.8917009
Jamar,0.73928,0.8458283,0.8617611,0.79580665,0.8697679,0.8687116,0.8698579,0.8408194,0.8611047,0.84752536
Camron,0.7462008,0.8520187,0.8631096,0.8036418,0.8887157,0.8656668,0.8711861,0.85849655,0.84307575,0.8305785
Tyree,0.7707171,0.88336515,0.9025403,0.82116485,0.905084,0.90308166,0.9133191,0.87244123,0.8955669,0.8859904
Jamari,0.75851095,0.85432553,0.8654062,0.7950552,0.88124466,0.8803781,0.8823952,0.8462835,0.8734069,0.8586212
Reggie,0.78506446,0.8821894,0.8806655,0.82096225,0.9221159,0.9171597,0.9152254,0.8707836,0.90404254,0.89833915
Jada,0.766997,0.8706285,0.89217937,0.8177415,0.8897989,0.9005228,0.88752043,0.86660165,0.8773577,0.8766513
Latoya,0.77130735,0.8552903,0.87390804,0.80597425,0.88694257,0.8880016,0.8796644,0.8586197,0.87886524,0.86048865
Jayla,0.78519773,0.8674593,0.8675935,0.8215225,0.90383685,0.8977762,0.8908689,0.86449444,0.89006674,0.88541704
Tamika,0.7631269,0.85776967,0.8727677,0.8104564,0.8842158,0.8758495,0.8744563,0.85100627,0.8569331,0.8552489
Latoyna,0.7516782,0.85251564,0.8888105,0.80013436,0.8880347,0.88046837,0.8809161,0.8524801,0.8709266,0.86263716
Journey,0.82576686,0.8716828,0.86113304,0.8364539,0.91181266,0.9034771,0.8985006,0.8788861,0.9274548,0.912474
Tameka,0.7408606,0.83539647,0.85132873,0.8031648,0.8573184,0.8505182,0.8490136,0.82077646,0.8351488,0.834043
Journee,0.76794314,0.8520124,0.8687115,0.8440517,0.8704041,0.85874546,0.8616357,0.8488818,0.8673141,0.8617415
Lawanda,0.7916819,0.89023423,0.8950432,0.8234909,0.9131689,0.8996607,0.89855295,0.89880717,0.8811501,0.86796045
Janiya,0.72148955,0.8365327,0.86203456,0.8135579,0.86073685,0.859167,0.8608656,0.8417522,0.8443723,0.84368694
