"Name","Gender","Word","CosineSimilarity","Good_or_Bad"
"James","M","happy",0.78008866,"Good"
"James","M","agreeable",0.87823445,"Good"
"James","M","polite",0.90413475,"Good"
"James","M","civil",0.8325353,"Good"
"James","M","charming",0.91404176,"Good"
"James","M","gracious",0.9096564,"Good"
"James","M","gentle",0.91631824,"Good"
"James","M","approachable",0.8723599,"Good"
"James","M","love",0.91113883,"Good"
"James","M","cool",0.9044969,"Good"
"John","M","happy",0.86129594,"Good"
"John","M","agreeable",0.80310655,"Good"
"John","M","polite",0.84093237,"Good"
"John","M","civil",0.75170827,"Good"
"John","M","charming",0.84523034,"Good"
"John","M","gracious",0.8536249,"Good"
"John","M","gentle",0.84691787,"Good"
"John","M","approachable",0.80655164,"Good"
"John","M","love",0.8390252,"Good"
"John","M","cool",0.84082794,"Good"
"Robert","M","happy",0.793135,"Good"
"Robert","M","agreeable",0.85087496,"Good"
"Robert","M","polite",0.8781851,"Good"
"Robert","M","civil",0.83883643,"Good"
"Robert","M","charming",0.89507985,"Good"
"Robert","M","gracious",0.88500124,"Good"
"Robert","M","gentle",0.89338994,"Good"
"Robert","M","approachable",0.85531324,"Good"
"Robert","M","love",0.8895476,"Good"
"Robert","M","cool",0.9023131,"Good"
"Michael","M","happy",0.8373375,"Good"
"Michael","M","agreeable",0.8439441,"Good"
"Michael","M","polite",0.87345415,"Good"
"Michael","M","civil",0.7858297,"Good"
"Michael","M","charming",0.8905103,"Good"
"Michael","M","gracious",0.8937559,"Good"
"Michael","M","gentle",0.88495004,"Good"
"Michael","M","approachable",0.8423084,"Good"
"Michael","M","love",0.88119745,"Good"
"Michael","M","cool",0.88185275,"Good"
"William","M","happy",0.8318572,"Good"
"William","M","agreeable",0.7568011,"Good"
"William","M","polite",0.80363774,"Good"
"William","M","civil",0.7132306,"Good"
"William","M","charming",0.8142487,"Good"
"William","M","gracious",0.81298476,"Good"
"William","M","gentle",0.81606185,"Good"
"William","M","approachable",0.7652221,"Good"
"William","M","love",0.7868269,"Good"
"William","M","cool",0.79571974,"Good"
"David","M","happy",0.79423034,"Good"
"David","M","agreeable",0.87168527,"Good"
"David","M","polite",0.90078056,"Good"
"David","M","civil",0.8388202,"Good"
"David","M","charming",0.90544075,"Good"
"David","M","gracious",0.9020065,"Good"
"David","M","gentle",0.9040655,"Good"
"David","M","approachable",0.8700326,"Good"
"David","M","love",0.9039873,"Good"
"David","M","cool",0.9037556,"Good"
"Joseph","M","happy",0.8557898,"Good"
"Joseph","M","agreeable",0.77328134,"Good"
"Joseph","M","polite",0.80921525,"Good"
"Joseph","M","civil",0.7613942,"Good"
"Joseph","M","charming",0.8237666,"Good"
"Joseph","M","gracious",0.8234425,"Good"
"Joseph","M","gentle",0.81727344,"Good"
"Joseph","M","approachable",0.76361424,"Good"
"Joseph","M","love",0.8133023,"Good"
"Joseph","M","cool",0.8130944,"Good"
"Richard","M","happy",0.78951097,"Good"
"Richard","M","agreeable",0.73873544,"Good"
"Richard","M","polite",0.769094,"Good"
"Richard","M","civil",0.7119328,"Good"
"Richard","M","charming",0.79409206,"Good"
"Richard","M","gracious",0.76844233,"Good"
"Richard","M","gentle",0.78383017,"Good"
"Richard","M","approachable",0.75261563,"Good"
"Richard","M","love",0.7688626,"Good"
"Richard","M","cool",0.76539546,"Good"
"Charles","M","happy",0.7895663,"Good"
"Charles","M","agreeable",0.8687281,"Good"
"Charles","M","polite",0.90326166,"Good"
"Charles","M","civil",0.83045506,"Good"
"Charles","M","charming",0.9012609,"Good"
"Charles","M","gracious",0.90208197,"Good"
"Charles","M","gentle",0.9042775,"Good"
"Charles","M","approachable",0.8598578,"Good"
"Charles","M","love",0.8997967,"Good"
"Charles","M","cool",0.88780946,"Good"
"Thomas","M","happy",0.8181616,"Good"
"Thomas","M","agreeable",0.78995,"Good"
"Thomas","M","polite",0.8264209,"Good"
"Thomas","M","civil",0.7378973,"Good"
"Thomas","M","charming",0.8367138,"Good"
"Thomas","M","gracious",0.842518,"Good"
"Thomas","M","gentle",0.83814514,"Good"
"Thomas","M","approachable",0.7934389,"Good"
"Thomas","M","love",0.8209946,"Good"
"Thomas","M","cool",0.8185997,"Good"
"Christopher","M","happy",0.6079756,"Good"
"Christopher","M","agreeable",0.520277,"Good"
"Christopher","M","polite",0.54678315,"Good"
"Christopher","M","civil",0.5504514,"Good"
"Christopher","M","charming",0.5792801,"Good"
"Christopher","M","gracious",0.5386832,"Good"
"Christopher","M","gentle",0.5611762,"Good"
"Christopher","M","approachable",0.5095531,"Good"
"Christopher","M","love",0.5590128,"Good"
"Christopher","M","cool",0.5518403,"Good"
"Daniel","M","happy",0.83480895,"Good"
"Daniel","M","agreeable",0.8525772,"Good"
"Daniel","M","polite",0.8665948,"Good"
"Daniel","M","civil",0.80041176,"Good"
"Daniel","M","charming",0.8843206,"Good"
"Daniel","M","gracious",0.8889326,"Good"
"Daniel","M","gentle",0.88254446,"Good"
"Daniel","M","approachable",0.8513113,"Good"
"Daniel","M","love",0.8738551,"Good"
"Daniel","M","cool",0.8749757,"Good"
"Matthew","M","happy",0.8144129,"Good"
"Matthew","M","agreeable",0.8830647,"Good"
"Matthew","M","polite",0.8998223,"Good"
"Matthew","M","civil",0.8324768,"Good"
"Matthew","M","charming",0.90766263,"Good"
"Matthew","M","gracious",0.9114855,"Good"
"Matthew","M","gentle",0.9085251,"Good"
"Matthew","M","approachable",0.8792242,"Good"
"Matthew","M","love",0.905868,"Good"
"Matthew","M","cool",0.8952693,"Good"
"George","M","happy",0.82367903,"Good"
"George","M","agreeable",0.8744956,"Good"
"George","M","polite",0.90119964,"Good"
"George","M","civil",0.81503934,"Good"
"George","M","charming",0.9018388,"Good"
"George","M","gracious",0.9115355,"Good"
"George","M","gentle",0.9080421,"Good"
"George","M","approachable",0.86396235,"Good"
"George","M","love",0.90105057,"Good"
"George","M","cool",0.8885683,"Good"
"Anthony","M","happy",0.8552983,"Good"
"Anthony","M","agreeable",0.8142717,"Good"
"Anthony","M","polite",0.840469,"Good"
"Anthony","M","civil",0.74868196,"Good"
"Anthony","M","charming",0.8589252,"Good"
"Anthony","M","gracious",0.8671579,"Good"
"Anthony","M","gentle",0.8513783,"Good"
"Anthony","M","approachable",0.8099526,"Good"
"Anthony","M","love",0.84665066,"Good"
"Anthony","M","cool",0.8447979,"Good"
"Donald","M","happy",0.7573433,"Good"
"Donald","M","agreeable",0.85340333,"Good"
"Donald","M","polite",0.87445384,"Good"
"Donald","M","civil",0.8242498,"Good"
"Donald","M","charming",0.8761455,"Good"
"Donald","M","gracious",0.87933123,"Good"
"Donald","M","gentle",0.87301683,"Good"
"Donald","M","approachable",0.84184325,"Good"
"Donald","M","love",0.87596107,"Good"
"Donald","M","cool",0.88085485,"Good"
"Paul","M","happy",0.8507873,"Good"
"Paul","M","agreeable",0.8009747,"Good"
"Paul","M","polite",0.8327849,"Good"
"Paul","M","civil",0.75177157,"Good"
"Paul","M","charming",0.8471488,"Good"
"Paul","M","gracious",0.85120386,"Good"
"Paul","M","gentle",0.8417206,"Good"
"Paul","M","approachable",0.8054324,"Good"
"Paul","M","love",0.8357083,"Good"
"Paul","M","cool",0.833388,"Good"
"Mark","M","happy",0.8367554,"Good"
"Mark","M","agreeable",0.7935486,"Good"
"Mark","M","polite",0.81030583,"Good"
"Mark","M","civil",0.73947954,"Good"
"Mark","M","charming",0.83115816,"Good"
"Mark","M","gracious",0.83415604,"Good"
"Mark","M","gentle",0.82855296,"Good"
"Mark","M","approachable",0.7882445,"Good"
"Mark","M","love",0.8173045,"Good"
"Mark","M","cool",0.825494,"Good"
"Andrew","M","happy",0.77927804,"Good"
"Andrew","M","agreeable",0.88857126,"Good"
"Andrew","M","polite",0.9166586,"Good"
"Andrew","M","civil",0.8308819,"Good"
"Andrew","M","charming",0.9159414,"Good"
"Andrew","M","gracious",0.9200475,"Good"
"Andrew","M","gentle",0.9175019,"Good"
"Andrew","M","approachable",0.8788189,"Good"
"Andrew","M","love",0.91691566,"Good"
"Andrew","M","cool",0.90563506,"Good"
"Edward","M","happy",0.7786114,"Good"
"Edward","M","agreeable",0.8889225,"Good"
"Edward","M","polite",0.9118131,"Good"
"Edward","M","civil",0.8281768,"Good"
"Edward","M","charming",0.9169687,"Good"
"Edward","M","gracious",0.9155931,"Good"
"Edward","M","gentle",0.92075527,"Good"
"Edward","M","approachable",0.884004,"Good"
"Edward","M","love",0.9091243,"Good"
"Edward","M","cool",0.90175784,"Good"
"Mary","F","happy",0.7724118,"Good"
"Mary","F","agreeable",0.8874496,"Good"
"Mary","F","polite",0.9144498,"Good"
"Mary","F","civil",0.8182267,"Good"
"Mary","F","charming",0.9154945,"Good"
"Mary","F","gracious",0.91819465,"Good"
"Mary","F","gentle",0.92286813,"Good"
"Mary","F","approachable",0.87784433,"Good"
"Mary","F","love",0.9213349,"Good"
"Mary","F","cool",0.894519,"Good"
"Elizabeth","F","happy",0.7914065,"Good"
"Elizabeth","F","agreeable",0.87891686,"Good"
"Elizabeth","F","polite",0.8888477,"Good"
"Elizabeth","F","civil",0.8260982,"Good"
"Elizabeth","F","charming",0.9011875,"Good"
"Elizabeth","F","gracious",0.9033483,"Good"
