"Name","Race","Word","CosineSimilarity","Good_or_Bad"
"Reginald","Black","happy",0.813476,"Good"
"Reginald","Black","agreeable",0.8598256,"Good"
"Reginald","Black","polite",0.85639006,"Good"
"Reginald","Black","civil",0.83158255,"Good"
"Reginald","Black","charming",0.88419515,"Good"
"Reginald","Black","gracious",0.87141603,"Good"
"Reginald","Black","gentle",0.88070077,"Good"
"Reginald","Black","approachable",0.8453575,"Good"
"Reginald","Black","love",0.8831561,"Good"
"Reginald","Black","cool",0.88618714,"Good"
"Kameron","Black","happy",0.746608,"Good"
"Kameron","Black","agreeable",0.8509969,"Good"
"Kameron","Black","polite",0.85048735,"Good"
"Kameron","Black","civil",0.79905474,"Good"
"Kameron","Black","charming",0.8791518,"Good"
"Kameron","Black","gracious",0.8640443,"Good"
"Kameron","Black","gentle",0.862466,"Good"
"Kameron","Black","approachable",0.847432,"Good"
"Kameron","Black","love",0.8402779,"Good"
"Kameron","Black","cool",0.83908117,"Good"
"Kendrick","Black","happy",0.7924581,"Good"
"Kendrick","Black","agreeable",0.85051847,"Good"
"Kendrick","Black","polite",0.8498517,"Good"
"Kendrick","Black","civil",0.84347963,"Good"
"Kendrick","Black","charming",0.89391935,"Good"
"Kendrick","Black","gracious",0.90058255,"Good"
"Kendrick","Black","gentle",0.8849775,"Good"
"Kendrick","Black","approachable",0.84572923,"Good"
"Kendrick","Black","love",0.9123277,"Good"
"Kendrick","Black","cool",0.9136672,"Good"
"Javon","Black","happy",0.7717792,"Good"
"Javon","Black","agreeable",0.8648532,"Good"
"Javon","Black","polite",0.87226886,"Good"
"Javon","Black","civil",0.80070376,"Good"
"Javon","Black","charming",0.8917395,"Good"
"Javon","Black","gracious",0.88012445,"Good"
"Javon","Black","gentle",0.87637275,"Good"
"Javon","Black","approachable",0.86107564,"Good"
"Javon","Black","love",0.8485935,"Good"
"Javon","Black","cool",0.8531549,"Good"
"Tyrell","Black","happy",0.77821183,"Good"
"Tyrell","Black","agreeable",0.8766421,"Good"
"Tyrell","Black","polite",0.88032055,"Good"
"Tyrell","Black","civil",0.820768,"Good"
"Tyrell","Black","charming",0.9100627,"Good"
