,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Lian,0.7530316,0.82751685,0.8426753,0.80269444,0.84967345,0.84645975,0.8537996,0.82595825,0.839995,0.84420955
Shan,0.7739129,0.8174178,0.82418376,0.8131416,0.8516784,0.8333211,0.833819,0.81296855,0.8401315,0.854797
Lew,0.79156053,0.8537741,0.86643994,0.85562885,0.8761785,0.86569107,0.87283397,0.8460711,0.8824731,0.88090813
Long,0.8084416,0.8733217,0.8490621,0.86933446,0.87578815,0.8749252,0.8840853,0.87088937,0.88908684,0.8910138
Quan,0.71030986,0.62988067,0.6628253,0.682914,0.6810272,0.68410087,0.66899097,0.64415264,0.6601405,0.68938625
Jun,0.68179715,0.630989,0.64314616,0.63071984,0.64546144,0.6439148,0.65519917,0.6348229,0.6416985,0.6630426
Tou,0.7708732,0.81786263,0.82930946,0.80267704,0.83674306,0.8159896,0.83392084,0.80831283,0.84325004,0.85852504
Jin,0.66634965,0.6168953,0.61965144,0.607348,0.6502489,0.62708974,0.6371648,0.6082849,0.63890857,0.66798806
Cai,0.7416496,0.81165075,0.8131384,0.84181136,0.8265158,0.82722485,0.81710196,0.8119606,0.8220346,0.83807445
Chan,0.80209994,0.78214693,0.79638106,0.7932443,0.8182658,0.80565405,0.7907276,0.7866767,0.81702566,0.8352256
Lue,0.72879267,0.8060634,0.84853345,0.80480736,0.82671165,0.8432927,0.8406106,0.7989299,0.8334284,0.8483783
China,0.7808627,0.82186687,0.8136026,0.8285895,0.84098256,0.82992184,0.81760806,0.82449645,0.8329932,0.8533685
Lu,0.65372705,0.71465594,0.7351309,0.7401048,0.724969,0.7479384,0.7283059,0.70548445,0.7392059,0.76236296
Maylee,0.7986569,0.88632536,0.86610436,0.84253854,0.9088752,0.89109623,0.9111218,0.87888575,0.88743985,0.8872279
Tennie,0.77585787,0.85483074,0.8639674,0.8199527,0.8650223,0.8678856,0.8776183,0.8372538,0.865425,0.8709313
Maylin,0.79859275,0.87357736,0.87108445,0.8541031,0.90033,0.8842515,0.89294434,0.8671186,0.8699004,0.88716006
Chynna,0.7423718,0.82314324,0.84136045,0.76880187,0.8509736,0.8339083,0.839777,0.8161414,0.82425725,0.8160658
Jia,0.7362305,0.7018148,0.701475,0.65143263,0.7283355,0.70551986,0.71126723,0.68835354,0.7189848,0.7431829
Mei,0.7633789,0.7918346,0.7943624,0.7897738,0.80759263,0.80160046,0.8147263,0.77395266,0.82814586,0.8505104
Tylee,0.7972119,0.8781326,0.85787535,0.82251686,0.89765525,0.8776946,0.899367,0.86661476,0.88813376,0.8806111
