,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Lian,0.68262094,0.81971073,0.68127084,0.80745924,0.75373054,0.789353,0.68943965,0.79945076,0.82292825,0.7524942
Shan,0.6840879,0.80243653,0.6714731,0.7842932,0.7467749,0.81986094,0.7112229,0.7754661,0.78924555,0.7702704
Lew,0.7286211,0.82792497,0.6592699,0.7789223,0.78998876,0.86338216,0.7499198,0.79546297,0.81892145,0.7944114
Long,0.72867703,0.78795666,0.6987959,0.77137506,0.7485224,0.8723999,0.795129,0.8363105,0.8313824,0.824185
Quan,0.64621,0.6922953,0.52016056,0.66267526,0.69687784,0.67163813,0.6378201,0.6552891,0.6775435,0.6378952
Jun,0.6239594,0.6264167,0.5514276,0.61459166,0.666319,0.6262845,0.5988209,0.6313417,0.639639,0.6143212
Tou,0.700191,0.79308736,0.6602528,0.8075795,0.72188056,0.83234715,0.70541734,0.760965,0.78623295,0.7722559
Jin,0.6169277,0.60863847,0.5262628,0.5792132,0.60029316,0.62078243,0.58160865,0.5728965,0.60410243,0.6031488
Cai,0.70219105,0.79058725,0.65264034,0.77603185,0.7601094,0.7884139,0.7212939,0.76667595,0.7658705,0.7543305
Chan,0.71891785,0.79108596,0.64851373,0.7565574,0.7470195,0.79776573,0.7242167,0.76567423,0.7723658,0.7912405
Lue,0.69423205,0.80454016,0.68611383,0.7971878,0.7239552,0.7989975,0.6685725,0.7530515,0.7961794,0.7402975
China,0.7201742,0.80216753,0.6975169,0.7959504,0.76767075,0.814054,0.74191636,0.79239726,0.7935588,0.8017161
Lu,0.65166575,0.7467728,0.61007786,0.75005305,0.691432,0.7269811,0.62636876,0.6983444,0.7251574,0.6935737
Maylee,0.7177108,0.80692005,0.7454944,0.8106189,0.7480259,0.85554385,0.7589866,0.8007494,0.8430855,0.8132646
Tennie,0.713966,0.8672427,0.6797279,0.8260841,0.7756513,0.83127946,0.71313703,0.80515766,0.818813,0.76455855
Maylin,0.7295392,0.8274729,0.73418635,0.8280144,0.77996397,0.8410648,0.75479734,0.8243104,0.8541525,0.8135948
Chynna,0.66842794,0.79818475,0.6659565,0.78356504,0.6951501,0.7657312,0.6611562,0.73303974,0.7953044,0.70935756
Jia,0.6222123,0.66408455,0.6040441,0.65221596,0.6123475,0.7005787,0.6174606,0.6164135,0.6551459,0.67234343
Mei,0.7421362,0.8005276,0.6539053,0.76968175,0.7697352,0.823195,0.72047096,0.7646384,0.7845185,0.77848953
Tylee,0.6997223,0.79318154,0.73161244,0.79532963,0.7271613,0.85817087,0.7577035,0.77848935,0.82332766,0.81040394
