,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
James,0.8896167,0.8493551,0.9019431,0.8227378,0.88418645,0.90031224,0.6493362,0.88986886,0.8800188,0.81691843
John,0.8209924,0.79087985,0.8318229,0.81145346,0.798131,0.8310927,0.7461276,0.82658696,0.8329884,0.83978546
Robert,0.8854751,0.8379935,0.8840964,0.8533112,0.88373375,0.90289396,0.6776911,0.87817645,0.87279177,0.858647
Michael,0.86365604,0.83511305,0.8711977,0.8326841,0.84857,0.8733437,0.6954856,0.8706297,0.8594739,0.85465693
William,0.7632301,0.7424152,0.79029536,0.7500292,0.739292,0.7701045,0.71915513,0.77590364,0.7911546,0.7832364
David,0.88905305,0.85499346,0.90032876,0.84802556,0.89206475,0.9050572,0.6812335,0.89341146,0.88063455,0.85004437
Joseph,0.8145426,0.75514984,0.8107125,0.82812095,0.779067,0.8016195,0.76856536,0.7928229,0.80289024,0.8441938
Richard,0.7480623,0.7267381,0.769952,0.7433919,0.71979624,0.7535787,0.70718986,0.75361705,0.7541498,0.7729934
Charles,0.88860804,0.8472374,0.8986838,0.8395566,0.88321733,0.8958142,0.66031945,0.8826097,0.8778363,0.8345249
Thomas,0.80499274,0.77972233,0.81950784,0.79643583,0.7845291,0.813763,0.69987035,0.80696654,0.81859696,0.8147751
Christopher,0.5837313,0.56342137,0.5617484,0.54651564,0.54933596,0.5760252,0.53840953,0.5829626,0.5468913,0.56529707
Daniel,0.86230147,0.8306243,0.8699303,0.84056365,0.84666586,0.8683423,0.71798027,0.8657172,0.86057246,0.85296446
Matthew,0.8945614,0.84879416,0.9013004,0.8502396,0.8807756,0.90887874,0.707964,0.89100575,0.8793451,0.8619957
George,0.87981176,0.84429646,0.8907797,0.8377024,0.871039,0.8919244,0.6963695,0.88134813,0.87858176,0.84575534
Anthony,0.8286601,0.7971036,0.8417685,0.80727375,0.8013942,0.8346379,0.7181237,0.8286521,0.8468416,0.8409419
Donald,0.8690405,0.8345953,0.8791138,0.8337046,0.86424494,0.8761928,0.6489246,0.86556405,0.8539875,0.81817335
Paul,0.81649595,0.77876294,0.82409835,0.80250275,0.78968185,0.8295541,0.7305604,0.8148133,0.82667625,0.8336706
Mark,0.8039506,0.77678794,0.8138734,0.77739835,0.77810234,0.8125403,0.7215998,0.80759215,0.8116602,0.82242966
Andrew,0.9026327,0.86577624,0.91476023,0.83443236,0.8941984,0.9093033,0.64687544,0.90311825,0.89483297,0.82902235
Edward,0.8917711,0.8624227,0.9089296,0.8218986,0.8922812,0.9082092,0.65313625,0.8978428,0.8993124,0.8279044
