,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.78008866,0.87823445,0.90413475,0.8325353,0.91404176,0.9096564,0.91631824,0.8723599,0.91113883,0.9044969
John,0.86129594,0.80310655,0.84093237,0.75170827,0.84523034,0.8536249,0.84691787,0.80655164,0.8390252,0.84082794
Robert,0.793135,0.85087496,0.8781851,0.83883643,0.89507985,0.88500124,0.89338994,0.85531324,0.8895476,0.9023131
Michael,0.8373375,0.8439441,0.87345415,0.7858297,0.8905103,0.8937559,0.88495004,0.8423084,0.88119745,0.88185275
William,0.8318572,0.7568011,0.80363774,0.7132306,0.8142487,0.81298476,0.81606185,0.7652221,0.7868269,0.79571974
David,0.79423034,0.87168527,0.90078056,0.8388202,0.90544075,0.9020065,0.9040655,0.8700326,0.9039873,0.9037556
Joseph,0.8557898,0.77328134,0.80921525,0.7613942,0.8237666,0.8234425,0.81727344,0.76361424,0.8133023,0.8130944
Richard,0.78951097,0.73873544,0.769094,0.7119328,0.79409206,0.76844233,0.78383017,0.75261563,0.7688626,0.76539546
Charles,0.7895663,0.8687281,0.90326166,0.83045506,0.9012609,0.90208197,0.9042775,0.8598578,0.8997967,0.88780946
Thomas,0.8181616,0.78995,0.8264209,0.7378973,0.8367138,0.842518,0.83814514,0.7934389,0.8209946,0.8185997
Christopher,0.6079756,0.520277,0.54678315,0.5504514,0.5792801,0.5386832,0.5611762,0.5095531,0.5590128,0.5518403
Daniel,0.83480895,0.8525772,0.8665948,0.80041176,0.8843206,0.8889326,0.88254446,0.8513113,0.8738551,0.8749757
Matthew,0.8144129,0.8830647,0.8998223,0.8324768,0.90766263,0.9114855,0.9085251,0.8792242,0.905868,0.8952693
George,0.82367903,0.8744956,0.90119964,0.81503934,0.9018388,0.9115355,0.9080421,0.86396235,0.90105057,0.8885683
Anthony,0.8552983,0.8142717,0.840469,0.74868196,0.8589252,0.8671579,0.8513783,0.8099526,0.84665066,0.8447979
Donald,0.7573433,0.85340333,0.87445384,0.8242498,0.8761455,0.87933123,0.87301683,0.84184325,0.87596107,0.88085485
Paul,0.8507873,0.8009747,0.8327849,0.75177157,0.8471488,0.85120386,0.8417206,0.8054324,0.8357083,0.833388
Mark,0.8367554,0.7935486,0.81030583,0.73947954,0.83115816,0.83415604,0.82855296,0.7882445,0.8173045,0.825494
Andrew,0.77927804,0.88857126,0.9166586,0.8308819,0.9159414,0.9200475,0.9175019,0.8788189,0.91691566,0.90563506
Edward,0.7786114,0.8889225,0.9118131,0.8281768,0.9169687,0.9155931,0.92075527,0.884004,0.9091243,0.90175784
