,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.6570705,0.77796024,0.66996676,0.76504004,0.72296363,0.8114816,0.70416087,0.75037026,0.7911817,0.7457278
John,0.70798004,0.73809934,0.6505866,0.7172647,0.7150691,0.77702445,0.7229245,0.7020949,0.74206674,0.74042654
Robert,0.7033335,0.79371476,0.6909277,0.7657211,0.7640028,0.8204707,0.75651956,0.76439404,0.8020084,0.78618705
Michael,0.7022811,0.77701503,0.6869482,0.76025677,0.7554318,0.8104068,0.73658794,0.75012183,0.7815405,0.7605889
William,0.6671713,0.70196325,0.6183456,0.68860865,0.6657597,0.73040235,0.661468,0.6559901,0.7155212,0.6864294
David,0.6952733,0.78518707,0.6947653,0.769382,0.7659022,0.82056195,0.7402708,0.7646421,0.81320214,0.7777831
Joseph,0.72355604,0.73698795,0.63362205,0.7207844,0.72918195,0.77582467,0.7436193,0.7045746,0.7376084,0.74552727
Richard,0.62957406,0.6796021,0.59561884,0.6508138,0.6667644,0.7126577,0.6562532,0.64549017,0.7088442,0.6628398
Charles,0.6748708,0.7909116,0.6685505,0.77057564,0.74500906,0.80563486,0.71781653,0.748188,0.7959024,0.74490964
Thomas,0.6917145,0.73004425,0.62578475,0.7152691,0.7105342,0.7454497,0.69035614,0.6907575,0.73808455,0.6970473
Christopher,0.5166423,0.51338476,0.4239443,0.50542307,0.50149906,0.540053,0.4970497,0.5306006,0.53163123,0.53026855
Daniel,0.6996138,0.7745793,0.68954384,0.75216246,0.7627106,0.7927623,0.72425103,0.74345064,0.7838496,0.76328707
Matthew,0.6971561,0.7796614,0.6873164,0.7699856,0.7526257,0.8291359,0.74786437,0.768926,0.79958093,0.7767137
George,0.6922939,0.7783227,0.6799772,0.76437813,0.74614334,0.81343764,0.7157765,0.75162214,0.79347897,0.7524147
Anthony,0.6876806,0.73880583,0.660647,0.7294818,0.7007176,0.77320576,0.7119821,0.7057347,0.7486274,0.736055
Donald,0.68436605,0.77328396,0.66883445,0.7605402,0.72095084,0.8015079,0.72684246,0.7704149,0.8085449,0.78015757
Paul,0.68730915,0.7310966,0.64693004,0.718294,0.70482117,0.76817906,0.7239963,0.6975372,0.7299113,0.72966003
Mark,0.6911167,0.72338426,0.65168273,0.7044209,0.71372986,0.7482604,0.70877385,0.694445,0.73109186,0.72138023
Andrew,0.65830815,0.78238285,0.6906669,0.7751774,0.72645277,0.8170018,0.7085767,0.75820005,0.79300016,0.755768
Edward,0.6672722,0.78792334,0.6818228,0.7655306,0.73248136,0.8139613,0.7049333,0.74947596,0.8038715,0.74637973
