"Name","Gender","Word","CosineSimilarity","Good_or_Bad"
"James","M","happy",0.83929104,"Good"
"James","M","agreeable",0.56162333,"Good"
"James","M","polite",0.8715787,"Good"
"James","M","civil",0.84357494,"Good"
"James","M","charming",0.869548,"Good"
"James","M","gracious",0.60616475,"Good"
"James","M","gentle",0.8618463,"Good"
"James","M","approachable",0.5816494,"Good"
"James","M","love",0.8517046,"Good"
"James","M","cool",0.8419082,"Good"
"John","M","happy",0.8223663,"Good"
"John","M","agreeable",0.548379,"Good"
"John","M","polite",0.8565901,"Good"
"John","M","civil",0.83115536,"Good"
"John","M","charming",0.84876287,"Good"
"John","M","gracious",0.60493153,"Good"
"John","M","gentle",0.8474578,"Good"
"John","M","approachable",0.5619872,"Good"
"John","M","love",0.8380794,"Good"
"John","M","cool",0.82993233,"Good"
"Robert","M","happy",0.8443415,"Good"
"Robert","M","agreeable",0.5686316,"Good"
"Robert","M","polite",0.86223686,"Good"
"Robert","M","civil",0.84795666,"Good"
"Robert","M","charming",0.85435724,"Good"
"Robert","M","gracious",0.6007152,"Good"
"Robert","M","gentle",0.8708035,"Good"
"Robert","M","approachable",0.573968,"Good"
"Robert","M","love",0.84806395,"Good"
"Robert","M","cool",0.8423935,"Good"
"Michael","M","happy",0.8657097,"Good"
"Michael","M","agreeable",0.5779501,"Good"
"Michael","M","polite",0.8787667,"Good"
"Michael","M","civil",0.84514505,"Good"
"Michael","M","charming",0.8794283,"Good"
"Michael","M","gracious",0.61516076,"Good"
"Michael","M","gentle",0.8748575,"Good"
"Michael","M","approachable",0.5902147,"Good"
"Michael","M","love",0.8782169,"Good"
"Michael","M","cool",0.86497504,"Good"
"William","M","happy",0.8127796,"Good"
"William","M","agreeable",0.5460864,"Good"
"William","M","polite",0.85066795,"Good"
"William","M","civil",0.8358738,"Good"
"William","M","charming",0.8449238,"Good"
"William","M","gracious",0.59508437,"Good"
"William","M","gentle",0.8485245,"Good"
"William","M","approachable",0.5615401,"Good"
"William","M","love",0.82833874,"Good"
"William","M","cool",0.81643444,"Good"
"David","M","happy",0.83399415,"Good"
"David","M","agreeable",0.5657462,"Good"
"David","M","polite",0.8723167,"Good"
"David","M","civil",0.84032583,"Good"
"David","M","charming",0.8681361,"Good"
"David","M","gracious",0.6113882,"Good"
"David","M","gentle",0.8599576,"Good"
"David","M","approachable",0.58605075,"Good"
"David","M","love",0.85386,"Good"
"David","M","cool",0.84614533,"Good"
"Joseph","M","happy",0.8201625,"Good"
"Joseph","M","agreeable",0.5461204,"Good"
"Joseph","M","polite",0.86633134,"Good"
"Joseph","M","civil",0.83994186,"Good"
"Joseph","M","charming",0.855906,"Good"
"Joseph","M","gracious",0.59394777,"Good"
"Joseph","M","gentle",0.85128635,"Good"
"Joseph","M","approachable",0.5765831,"Good"
"Joseph","M","love",0.8297681,"Good"
"Joseph","M","cool",0.8246516,"Good"
"Richard","M","happy",0.8298619,"Good"
"Richard","M","agreeable",0.55964524,"Good"
"Richard","M","polite",0.86570686,"Good"
"Richard","M","civil",0.84590673,"Good"
"Richard","M","charming",0.86171925,"Good"
"Richard","M","gracious",0.60010207,"Good"
"Richard","M","gentle",0.8544086,"Good"
"Richard","M","approachable",0.57795936,"Good"
"Richard","M","love",0.8392671,"Good"
"Richard","M","cool",0.8357816,"Good"
"Charles","M","happy",0.81806755,"Good"
"Charles","M","agreeable",0.5362429,"Good"
"Charles","M","polite",0.8569666,"Good"
"Charles","M","civil",0.8464,"Good"
"Charles","M","charming",0.8472103,"Good"
"Charles","M","gracious",0.59393847,"Good"
"Charles","M","gentle",0.8508565,"Good"
"Charles","M","approachable",0.5655877,"Good"
"Charles","M","love",0.82758504,"Good"
"Charles","M","cool",0.81390744,"Good"
"Thomas","M","happy",0.80959684,"Good"
"Thomas","M","agreeable",0.55081284,"Good"
"Thomas","M","polite",0.8591827,"Good"
"Thomas","M","civil",0.84218323,"Good"
"Thomas","M","charming",0.85282683,"Good"
"Thomas","M","gracious",0.5868546,"Good"
"Thomas","M","gentle",0.8427287,"Good"
"Thomas","M","approachable",0.5754045,"Good"
"Thomas","M","love",0.8198671,"Good"
"Thomas","M","cool",0.8146467,"Good"
"Christopher","M","happy",0.84664106,"Good"
"Christopher","M","agreeable",0.5640323,"Good"
"Christopher","M","polite",0.87288326,"Good"
"Christopher","M","civil",0.85600895,"Good"
"Christopher","M","charming",0.8730547,"Good"
"Christopher","M","gracious",0.6074343,"Good"
"Christopher","M","gentle",0.86311334,"Good"
"Christopher","M","approachable",0.5898444,"Good"
"Christopher","M","love",0.85631317,"Good"
"Christopher","M","cool",0.84720504,"Good"
"Daniel","M","happy",0.8468795,"Good"
"Daniel","M","agreeable",0.57318455,"Good"
"Daniel","M","polite",0.87465537,"Good"
"Daniel","M","civil",0.84752077,"Good"
"Daniel","M","charming",0.87234354,"Good"
"Daniel","M","gracious",0.6143163,"Good"
"Daniel","M","gentle",0.86937517,"Good"
"Daniel","M","approachable",0.5873652,"Good"
"Daniel","M","love",0.85733247,"Good"
"Daniel","M","cool",0.85061264,"Good"
"Matthew","M","happy",0.74621135,"Good"
"Matthew","M","agreeable",0.5015337,"Good"
"Matthew","M","polite",0.7509898,"Good"
"Matthew","M","civil",0.7524269,"Good"
"Matthew","M","charming",0.74997556,"Good"
"Matthew","M","gracious",0.5249961,"Good"
"Matthew","M","gentle",0.75343716,"Good"
"Matthew","M","approachable",0.49256516,"Good"
"Matthew","M","love",0.74425346,"Good"
