,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Mary,0.83134407,0.53313035,0.86094403,0.8284357,0.85575753,0.6092495,0.8631059,0.56345063,0.8524302,0.8182375
Elizabeth,0.8355022,0.5495655,0.868753,0.8401546,0.86835814,0.609205,0.8610078,0.5723699,0.85022974,0.8325436
Patricia,0.8424681,0.5601843,0.8785898,0.8538179,0.8680661,0.6056102,0.86805016,0.58502805,0.84452575,0.8473286
Jennifer,0.8458917,0.5581375,0.87393004,0.8413437,0.8720119,0.6035202,0.86619264,0.5806009,0.850879,0.8520662
Linda,0.84432733,0.55839926,0.86874896,0.82878447,0.86536807,0.604087,0.8591207,0.57494265,0.85228246,0.8523129
Barbara,0.8377208,0.550121,0.8697689,0.83762777,0.8665048,0.60155046,0.8627899,0.5786021,0.84559375,0.83938813
Margaret,0.83696204,0.55172837,0.8698924,0.83943987,0.8681731,0.5981766,0.8619834,0.57583654,0.8487379,0.8263216
Susan,0.8439024,0.5608333,0.88021135,0.83752275,0.8753717,0.6118474,0.870597,0.58504516,0.85853463,0.8492643
Dorothy,0.8429589,0.55211765,0.8787222,0.8422749,0.8744436,0.6066381,0.8699792,0.57915246,0.84721684,0.8366725
Sarah,0.84445494,0.54846615,0.87156284,0.83356446,0.87169,0.6165974,0.8708009,0.57311,0.8564974,0.84947956
Jessica,0.8442545,0.5657485,0.8711108,0.8360231,0.87605345,0.59835833,0.8648324,0.588993,0.8573869,0.85454184
Helen,0.8425413,0.5535173,0.8741896,0.8354281,0.87165,0.60445404,0.8649309,0.5825756,0.8549896,0.8413879
Nancy,0.8479532,0.55382574,0.8707207,0.84628564,0.8690231,0.60661644,0.869063,0.5737902,0.8550171,0.8545499
Betty,0.839845,0.5445593,0.87771624,0.8387432,0.87373513,0.59616727,0.8698826,0.5763281,0.84966713,0.83511734
Karen,0.8520183,0.5668201,0.88284236,0.8458827,0.88807714,0.6093758,0.8731521,0.59116286,0.87018687,0.8661767
Lisa,0.8411983,0.5531854,0.8680241,0.82337976,0.8715924,0.59590465,0.86288923,0.5783048,0.8595721,0.8552844
Anna,0.8328515,0.55335844,0.8662039,0.83308667,0.8669595,0.59813476,0.85757583,0.5776375,0.8482053,0.84087163
Sandra,0.8422373,0.5562119,0.87212336,0.8359165,0.86783284,0.6043708,0.866384,0.572069,0.8482713,0.84127134
Emily,0.85096735,0.56524646,0.8819103,0.8490341,0.8853149,0.6055876,0.8699147,0.5898891,0.8627851,0.8614567
Ashley,0.8594366,0.6001315,0.8634475,0.8503143,0.87530845,0.5912079,0.8670567,0.59956616,0.86400676,0.86864597
