,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Paul,0.83171505,0.56587005,0.87939435,0.8497182,0.8691423,0.6125272,0.86518526,0.58914673,0.85665333,0.848968
Vincent,0.82426995,0.56734866,0.8608449,0.8447055,0.8529907,0.59562325,0.84949994,0.5875919,0.8310519,0.8213923
Victor,0.8453305,0.5730054,0.8793407,0.85073924,0.87320215,0.6109893,0.8666615,0.59306496,0.8521187,0.8463424
Adrian,0.8583698,0.58462334,0.8762436,0.8620235,0.8722835,0.5993985,0.8679584,0.5990927,0.85446805,0.85607606
Marcus,0.85755986,0.57829654,0.87277454,0.8547307,0.8744066,0.6059665,0.8751414,0.59550893,0.85705143,0.8539725
Leo,0.8510465,0.5705041,0.87355644,0.85318774,0.86875415,0.6072208,0.86677104,0.58922225,0.8589036,0.8548316
Miles,0.776315,0.5114755,0.82581294,0.7867855,0.8082739,0.5377628,0.812825,0.5369454,0.79238707,0.7900477
Roman,0.8746225,0.554875,0.9044372,0.9143466,0.87869424,0.5995444,0.91077924,0.59624255,0.8276746,0.8491764
Sergio,0.8390669,0.5827647,0.8695267,0.8392154,0.8628665,0.5998068,0.8585154,0.58945817,0.84651005,0.85214925
Felix,0.8323848,0.5538251,0.85694677,0.82800573,0.8612663,0.59691113,0.8511107,0.57462335,0.84024715,0.84447193
Patricia,0.8424681,0.5601843,0.8785898,0.8538179,0.8680661,0.6056102,0.86805016,0.58502805,0.84452575,0.8473286
Laura,0.8357285,0.5525604,0.8641531,0.8288426,0.8651533,0.6015155,0.8550833,0.5751479,0.8551264,0.8426563
Amanda,0.84755963,0.5735272,0.88071984,0.83843833,0.88386846,0.59847873,0.8696626,0.5938863,0.86316437,0.86266965
Victoria,0.8301011,0.56855625,0.8453361,0.83136237,0.83794045,0.5698437,0.8440369,0.583305,0.8252051,0.8128247
Julia,0.84637654,0.5510315,0.87243116,0.8365285,0.874457,0.610806,0.8660675,0.57850486,0.8603527,0.8450787
Gloria,0.8268879,0.54105306,0.8653751,0.83328,0.8559606,0.603252,0.859045,0.56843776,0.85878754,0.82583594
Diana,0.8421318,0.560379,0.8729205,0.8338104,0.8746628,0.5982239,0.8611345,0.5842127,0.85918546,0.85666806
Clara,0.84555864,0.5510476,0.8803025,0.84125763,0.8731858,0.6061328,0.8722818,0.5884165,0.84891105,0.82958996
Paula,0.84644294,0.57360196,0.8675224,0.8422637,0.86454433,0.60715985,0.8655079,0.58621573,0.857847,0.85082036
Norma,0.851218,0.56487054,0.87610024,0.8549655,0.86793125,0.5958089,0.87052524,0.5813496,0.8530703,0.8482984
