,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
James,0.5895788,0.56263375,0.5729183,0.5772545,0.57965916,0.59833926,0.59339166,0.87904507,0.55929327,0.55399454
John,0.5737841,0.54351765,0.5543462,0.5547063,0.55791926,0.58749557,0.57689714,0.8539428,0.5405885,0.53592616
Robert,0.57080424,0.54579103,0.55872834,0.56871676,0.5626405,0.5776355,0.5741044,0.8561021,0.54326016,0.5415783
Michael,0.5902845,0.5608346,0.5727312,0.5751462,0.58283585,0.61062324,0.59657604,0.8965593,0.56225485,0.5531816
William,0.57244956,0.5496321,0.5596781,0.5636455,0.5626385,0.57617074,0.57326037,0.84835744,0.54562825,0.5405044
David,0.6000343,0.56796277,0.5795716,0.57906723,0.5867965,0.615692,0.6031016,0.8853924,0.56750137,0.55883384
Joseph,0.5760835,0.5474068,0.55448896,0.5633889,0.5664433,0.58840495,0.5771518,0.87058145,0.55193484,0.5407282
Richard,0.58579147,0.5563128,0.57109845,0.57630926,0.57251835,0.59208107,0.58910936,0.870402,0.55525005,0.5488925
Charles,0.5759901,0.5504218,0.5581224,0.5666201,0.56524664,0.57918197,0.5734217,0.85542804,0.54883736,0.543664
Thomas,0.5945387,0.5670678,0.57267904,0.5844635,0.58075714,0.5887765,0.5957385,0.8721214,0.55819666,0.55850005
Christopher,0.59809,0.5671684,0.57520807,0.58666486,0.58127964,0.6019653,0.60276884,0.88127506,0.5654141,0.55547774
Daniel,0.5931601,0.56735307,0.57671416,0.5796019,0.5797213,0.6068083,0.59683007,0.8875591,0.5673071,0.5523477
Matthew,0.49911743,0.47115377,0.48466232,0.48864973,0.489198,0.49713972,0.5015989,0.7543513,0.4705609,0.4747039
George,0.58020705,0.5515965,0.56698376,0.5683428,0.57052386,0.5917155,0.5779942,0.87456656,0.5509091,0.5428451
Anthony,0.59998906,0.57514346,0.58514845,0.5951395,0.59202856,0.60309225,0.6045521,0.88858503,0.56890607,0.5609016
Donald,0.5727915,0.54172957,0.5593802,0.56187695,0.5672011,0.5875273,0.5763522,0.8721141,0.54671204,0.54294723
Paul,0.59917533,0.56456417,0.5731867,0.5788044,0.5839515,0.6144205,0.60152465,0.88905245,0.5620604,0.55841994
Mark,0.5952038,0.5633537,0.57603693,0.5750751,0.5848369,0.60852957,0.6020218,0.89725757,0.5671697,0.55690265
Andrew,0.6010551,0.5711747,0.5841513,0.5899603,0.5879134,0.6112746,0.60685426,0.8908539,0.5704278,0.55909765
Edward,0.6048998,0.5779829,0.5916159,0.5966931,0.5984978,0.60707396,0.6055403,0.8949686,0.57851887,0.5676825
