,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.8587727,0.86320454,0.5964031,0.6152889,0.84964067,0.86342055,0.8427671,0.8775589,0.8626227,0.8931391
John,0.84489506,0.8426406,0.57637626,0.60721546,0.83143127,0.8372833,0.8277454,0.8526334,0.83912116,0.8698632
Robert,0.8493913,0.8605236,0.5984151,0.60744935,0.85858643,0.8665094,0.84480244,0.8755805,0.8579788,0.89089644
Michael,0.87573296,0.87018406,0.61478484,0.6307825,0.8822487,0.8908649,0.84518605,0.8966059,0.881928,0.90846634
William,0.8369364,0.84311604,0.57978773,0.59682584,0.8282047,0.8394849,0.83219767,0.8591204,0.83816934,0.871226
David,0.8617764,0.85696745,0.59881157,0.62041724,0.84839505,0.8598308,0.83793116,0.87303126,0.8541781,0.8890748
Joseph,0.84758157,0.85307664,0.5855216,0.60436374,0.8324766,0.8451112,0.8416681,0.8629713,0.849063,0.8797797
Richard,0.85423577,0.8583751,0.59655225,0.60900885,0.8438792,0.8552726,0.84627974,0.877367,0.8539509,0.88728565
Charles,0.8328111,0.8481176,0.5707613,0.5999925,0.8207021,0.8392882,0.8375603,0.8549334,0.83494717,0.87145275
Thomas,0.83582646,0.8469344,0.5871648,0.6010628,0.8314695,0.8359124,0.8423163,0.86314124,0.84435475,0.8677293
Christopher,0.8621211,0.8635224,0.6002112,0.6135898,0.8562703,0.8638733,0.84872735,0.87516516,0.8634331,0.8906278
Daniel,0.8648886,0.86294216,0.6067282,0.6218698,0.8649891,0.87132996,0.8421278,0.88534945,0.86695623,0.90017384
Matthew,0.73106676,0.74289834,0.51323736,0.5146663,0.74397093,0.750301,0.73388296,0.76163656,0.75691766,0.7653766
George,0.8539155,0.86971176,0.59290737,0.6152455,0.8500014,0.86565864,0.8517698,0.87946814,0.8608365,0.8906509
Anthony,0.84926796,0.8559845,0.6054912,0.61446154,0.8498506,0.8524997,0.8409033,0.8719144,0.85522616,0.8786634
Donald,0.84673876,0.8729913,0.5920605,0.6099868,0.8624045,0.8789487,0.8549848,0.878228,0.8578621,0.8845157
Paul,0.8687413,0.8669011,0.6012561,0.62366754,0.8491466,0.8700152,0.84515035,0.8745597,0.86310875,0.88901556
Mark,0.874385,0.8731605,0.6127845,0.62855935,0.87635976,0.88063186,0.8390954,0.8904074,0.8770962,0.89814204
Andrew,0.8657743,0.86941105,0.616028,0.6256101,0.86754215,0.8705577,0.84898835,0.8854841,0.8721202,0.9010498
Edward,0.85992897,0.874644,0.61448216,0.6289151,0.87348926,0.8734212,0.8608255,0.88943005,0.8752307,0.8997103
