"","term","contrast","estimate","null.value","conf.low","conf.high","adj.p.value","TestName","Model"
"1","Gender","F-M",0.0257551032372608,0,-0.0342359774202839,0.0857461838948055,0.399171050443431,"NC","ERNIE"
"2","Gender","F-M",0.010447745497297,0,-0.0298221378353897,0.0507176288299837,0.610298969760664,"SC","ERNIE"
"3","Gender","F-M",0.0160438919171029,0,-0.0381056959879161,0.0701934798221218,0.560569337796008,"PG","ERNIE"
"4","Gender","F-M",0.011934845603073,0,-0.0331321439493429,0.0570018351554889,0.60291418755206,"UG","ERNIE"
"5","Race","Chinese-White",-0.129475624763392,0,-0.201643204506577,-0.0573080450202061,2.66454900372803e-05,"PR","ERNIE"
"6","Race","Latinx-White",0.00627876790786508,0,-0.0658888118353206,0.0784463476510508,0.996035504499089,"PR","ERNIE"
"7","Race","Black-White",-0.207866419345545,0,-0.28003399908873,-0.135698839602359,0,"PR","ERNIE"
"8","Race","Latinx-Chinese",0.135754392671257,0,0.0635868129280712,0.207921972414443,9.14104490046252e-06,"PR","ERNIE"
"9","Race","Black-Chinese",-0.0783907945821529,0,-0.150558374325339,-0.00622321483896718,0.0271037450763634,"PR","ERNIE"
"10","Race","Black-Latinx",-0.21414518725341,0,-0.286312766996595,-0.141977607510224,0,"PR","ERNIE"
"11","Race","Chinese-White",-0.1762829672498,0,-0.243238947230255,-0.109326987269345,0,"UR","ERNIE"
"12","Race","Latinx-White",0.00838229808010416,0,-0.0585736819003507,0.075338278060559,0.988423219519676,"UR","ERNIE"
"13","Race","Black-White",-0.291435240187048,0,-0.358391220167503,-0.224479260206593,0,"UR","ERNIE"
"14","Race","Latinx-Chinese",0.184665265329904,0,0.117709285349449,0.251621245310359,0,"UR","ERNIE"
"15","Race","Black-Chinese",-0.115152272937248,0,-0.182108252917703,-0.0481962929567929,6.40336116897178e-05,"UR","ERNIE"
"16","Race","Black-Latinx",-0.299817538267152,0,-0.366773518247607,-0.232861558286697,0,"UR","ERNIE"
