,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Reginald,0.8983234,0.9123066,0.9143807,0.9123622,0.9161281,0.88375634,0.9026539,0.86406493,0.9056256,0.9120324
Kameron,0.9159605,0.95526254,0.9629412,0.946802,0.9681148,0.90355474,0.9418948,0.8818684,0.95613253,0.95865756
Kendrick,0.8960242,0.90376985,0.91426563,0.9084389,0.91667056,0.87206197,0.90084636,0.8514838,0.90604496,0.91085076
Javon,0.8913471,0.87521595,0.8773712,0.8811041,0.88961554,0.9015765,0.88618535,0.89098465,0.8609919,0.86766255
Tyrell,0.90987074,0.9460844,0.9506203,0.9336238,0.9568724,0.9039163,0.9382484,0.88648224,0.9386316,0.94094384
Jamar,0.9223731,0.9563658,0.9559711,0.94432616,0.9613938,0.9199715,0.9449671,0.89747286,0.94525695,0.9500415
Camron,0.9082488,0.94922596,0.95579386,0.93804055,0.9590481,0.8959972,0.93147707,0.87910026,0.94550985,0.950499
Tyree,0.9112789,0.94992524,0.95531917,0.93572974,0.9607721,0.90435576,0.94281316,0.8880827,0.9409164,0.9445125
Jamari,0.92111146,0.9589751,0.95909894,0.9439503,0.96581364,0.91906023,0.9443122,0.8949024,0.94601464,0.9504427
Reggie,0.9331469,0.9524838,0.9585029,0.9439129,0.9619893,0.9314383,0.9503077,0.91782385,0.94015217,0.94648796
Jada,0.9125358,0.89574754,0.89834183,0.8950588,0.9134908,0.94132054,0.90673155,0.931521,0.87447935,0.8831281
Latoya,0.8969281,0.94386244,0.9533743,0.9315849,0.9536825,0.8918798,0.9269161,0.8702399,0.94407475,0.9490251
Jayla,0.9066793,0.9522922,0.95224416,0.9383492,0.95839804,0.88842666,0.9345405,0.8708302,0.952171,0.95451623
Tamika,0.91847026,0.95394003,0.9622181,0.9447362,0.96464056,0.9041558,0.94024986,0.8845751,0.9513607,0.95620686
Latoyna,0.9001707,0.9149589,0.9232843,0.9146198,0.92388976,0.8953976,0.9106065,0.8730525,0.907908,0.91390896
Journey,0.9034859,0.94622946,0.9512937,0.933781,0.9585086,0.8905486,0.9222912,0.8673265,0.9473125,0.9496534
Tameka,0.8994002,0.9236128,0.9307894,0.92342865,0.92895865,0.8738914,0.90450555,0.8536648,0.9272747,0.9317008
Journee,0.8867207,0.91483855,0.92022586,0.9102293,0.92080057,0.8676256,0.89878875,0.8454698,0.9107734,0.9154495
Lawanda,0.8988731,0.9473787,0.95147526,0.92844397,0.9544148,0.8990885,0.92911977,0.88168234,0.9361831,0.9377555
Janiya,0.9147725,0.91962296,0.92298496,0.9255452,0.9292255,0.89558566,0.910447,0.8756653,0.9187088,0.92311895
