,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Reginald,0.9225811,0.91797394,0.9111015,0.91263866,0.84688425,0.90657914,0.91139615,0.8907722,0.8971811,0.9001325
Kameron,0.96183306,0.9657107,0.91626614,0.9490613,0.8658835,0.959467,0.956723,0.9201411,0.9377942,0.9296477
Kendrick,0.9161613,0.91795325,0.91004896,0.90568906,0.8458762,0.90755063,0.9097287,0.8841988,0.8952678,0.89363813
Javon,0.8945174,0.88819283,0.86735356,0.9008114,0.89125955,0.85950696,0.86821645,0.89967895,0.8992572,0.89191
Tyrell,0.954524,0.95417666,0.9076319,0.94558084,0.86568326,0.940716,0.9400852,0.9177666,0.93289024,0.9272374
Jamar,0.9624711,0.95916617,0.90955055,0.9495467,0.87956476,0.94766057,0.94954526,0.9268007,0.9460772,0.93796813
Camron,0.95672,0.95248586,0.9127264,0.9377594,0.8548459,0.94847167,0.9478402,0.90935296,0.9285791,0.9193707
Tyree,0.9587161,0.95777494,0.90895504,0.94710493,0.86524427,0.9448546,0.9445573,0.9214306,0.93485695,0.93306106
Jamari,0.9664528,0.96021134,0.909734,0.95064324,0.8772202,0.9487396,0.950681,0.92858773,0.947644,0.93886095
Reggie,0.9640662,0.9643132,0.9066833,0.96255827,0.8974104,0.9416269,0.94542843,0.94177234,0.95157397,0.94291997
Jada,0.9180727,0.91027486,0.8498996,0.93053365,0.9366154,0.87304825,0.88206,0.9305188,0.920946,0.9186673
Latoya,0.9510735,0.9560219,0.9059403,0.9373437,0.84248495,0.9496247,0.9466961,0.89883846,0.9202404,0.91462195
Jayla,0.95159227,0.9587947,0.90924156,0.9358293,0.85431886,0.95545775,0.9510074,0.90711707,0.9259132,0.921338
Tamika,0.9610409,0.9628446,0.9148645,0.9477968,0.8671129,0.95482403,0.95469356,0.92205346,0.9372299,0.92722607
Latoyna,0.9287203,0.92764235,0.9078403,0.92057073,0.8554544,0.91032267,0.91431606,0.8985412,0.90924644,0.90881145
Journey,0.9554491,0.9518633,0.91517055,0.9370919,0.8511165,0.95137495,0.94776696,0.90249413,0.911729,0.9129364
Tameka,0.9313245,0.9339094,0.9219095,0.9181464,0.8356179,0.93114555,0.93038315,0.8867068,0.8991335,0.89497083
Journee,0.92549706,0.92346424,0.9272867,0.9104716,0.83205944,0.9138016,0.91406924,0.8800711,0.8907084,0.88897026
Lawanda,0.9486598,0.95344883,0.8987806,0.94094515,0.8536819,0.9391775,0.93752503,0.9058467,0.9328331,0.9221205
Janiya,0.93138456,0.92728895,0.91650397,0.9225646,0.8658246,0.9198402,0.9235571,0.9041805,0.91541964,0.90904754
