,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Lian,0.91916305,0.9147288,0.92330885,0.91715366,0.93211603,0.93354666,0.93231887,0.9188041,0.90058213,0.90725446
Shan,0.8684571,0.8477017,0.8495328,0.8465469,0.8631037,0.91376305,0.88059145,0.9085111,0.81926996,0.8280179
Lew,0.9688089,0.8985944,0.9073721,0.95821357,0.91939914,0.9192229,0.9100502,0.89659417,0.93434745,0.94164807
Long,0.92118883,0.8189406,0.824404,0.88894105,0.84493244,0.8844388,0.8461593,0.88354135,0.8474748,0.85936415
Quan,0.8968263,0.879736,0.8833653,0.8803473,0.89146334,0.9247863,0.90644,0.9251928,0.85244364,0.8605303
Jun,0.95153356,0.8718062,0.87782294,0.932706,0.89301133,0.9123812,0.89001364,0.8947259,0.9009339,0.9093792
Tou,0.9304749,0.9490016,0.9545622,0.94602525,0.9624733,0.9253621,0.9432665,0.9034424,0.9440747,0.9500108
Jin,0.87352467,0.84284693,0.848783,0.84576935,0.86070323,0.9080039,0.8778829,0.90453076,0.8178499,0.82535475
Cai,0.9398487,0.9418974,0.9488782,0.94181365,0.9583233,0.9429514,0.949607,0.9258316,0.92944103,0.9369464
Chan,0.9532033,0.939895,0.9486798,0.9804892,0.95234275,0.88328606,0.92447567,0.8619602,0.98944485,0.9910078
Lue,0.9254622,0.94183403,0.9513941,0.93543386,0.9545383,0.93685216,0.9486461,0.91975206,0.92673254,0.9318843
China,0.9304087,0.84220034,0.84559673,0.90599734,0.8624274,0.8846832,0.85791373,0.8782324,0.86397445,0.8760038
Lu,0.95515835,0.8747726,0.882704,0.93834865,0.89796335,0.91566914,0.8919585,0.8977368,0.90940356,0.9166625
Maylee,0.93045723,0.94462425,0.94699067,0.93938947,0.95693475,0.9308157,0.9503988,0.9155144,0.93256474,0.93876773
Tennie,0.9003418,0.89969206,0.89654195,0.8875716,0.9117566,0.93242717,0.9215394,0.91489726,0.8671878,0.8762355
Maylin,0.9244837,0.95123523,0.9563642,0.94123,0.96411765,0.92823845,0.9554435,0.9092968,0.9384977,0.9430034
Chynna,0.9022361,0.9212457,0.9287491,0.9245468,0.93533766,0.8746986,0.9064458,0.8512258,0.92541164,0.92975867
Jia,0.8905788,0.87312615,0.8750512,0.8734776,0.88929975,0.9161311,0.89858425,0.9046468,0.84825075,0.8562288
Mei,0.90031755,0.8909921,0.8897944,0.8826187,0.9019487,0.9326674,0.91286504,0.9173475,0.86182797,0.86914855
Tylee,0.8994052,0.9247266,0.9319443,0.92594725,0.9314888,0.8667021,0.90753746,0.8454472,0.93453115,0.9381826
