,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Mary,0.9511098,0.868435,0.8716683,0.9272408,0.8911122,0.91306555,0.8838703,0.8913649,0.89865935,0.90588874
Elizabeth,0.96619856,0.8917717,0.8969016,0.9528675,0.91320723,0.91507995,0.9017036,0.8938887,0.9267395,0.9338981
Patricia,0.8959669,0.94561833,0.9535138,0.92997044,0.95276946,0.879491,0.9199834,0.85901135,0.94796085,0.9491133
Jennifer,0.96316034,0.94042975,0.94556695,0.9818404,0.9532763,0.89432544,0.92749333,0.8717046,0.9829854,0.98655117
Linda,0.9150921,0.95140743,0.96397847,0.9418767,0.96226436,0.9059124,0.9377157,0.88155353,0.9512572,0.9528773
Barbara,0.90219617,0.9516399,0.9565375,0.9328566,0.9580025,0.89386094,0.9336024,0.87229145,0.9464356,0.9488151
Margaret,0.93047744,0.93264556,0.93526024,0.9250301,0.94437057,0.9437756,0.9469589,0.92714214,0.9130697,0.9189326
Susan,0.974907,0.93460417,0.93850565,0.9806486,0.9500313,0.90871626,0.93002164,0.8843882,0.9735901,0.97926205
Dorothy,0.8821201,0.9161004,0.91993177,0.9076589,0.9173908,0.85389185,0.8911071,0.82863885,0.9179505,0.92128646
Sarah,0.94464266,0.85882235,0.8632608,0.91810775,0.8832441,0.9013865,0.87823766,0.88104063,0.8908519,0.89878947
Jessica,0.9665983,0.89038813,0.8956529,0.9492733,0.9125153,0.90992606,0.90188617,0.88694274,0.92671806,0.9343812
Helen,0.93062264,0.935873,0.9381646,0.93145216,0.95008093,0.9346812,0.948509,0.919394,0.9227575,0.9288361
Nancy,0.9340204,0.9473081,0.9510708,0.9372354,0.9599278,0.9441852,0.9504972,0.9207876,0.9303873,0.9368685
Betty,0.9294137,0.939857,0.942344,0.9290884,0.95119554,0.9363897,0.94172746,0.9155931,0.9194331,0.92580277
Karen,0.93348837,0.937518,0.944243,0.9369055,0.9570376,0.93951285,0.94701254,0.921865,0.926653,0.93231064
Lisa,0.96228373,0.94338334,0.94934523,0.98143387,0.9565692,0.8966441,0.9296062,0.8737178,0.9853358,0.988665
Anna,0.95837796,0.87313825,0.876595,0.9332559,0.8966982,0.90590346,0.8902198,0.8838188,0.9077244,0.91492766
Sandra,0.93427205,0.9439347,0.9480525,0.9381788,0.95711285,0.9345567,0.94506216,0.91734374,0.9305808,0.9358461
Emily,0.975576,0.9303657,0.9351989,0.9779391,0.94735485,0.90884537,0.9268218,0.8853379,0.9708787,0.9768355
Ashley,0.9249059,0.9335363,0.93315184,0.92086744,0.94365656,0.92931324,0.9415424,0.90904164,0.91477877,0.91940105
