,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Paul,0.94989926,0.8644051,0.8697513,0.9224633,0.88648295,0.91098547,0.88455635,0.8862294,0.8943562,0.902827
Vincent,0.9112636,0.9519957,0.9647743,0.94367856,0.96211267,0.90335387,0.9366423,0.8812359,0.95521545,0.95738924
Victor,0.9305584,0.9415032,0.9409071,0.93073833,0.9510238,0.9435136,0.9476485,0.92273873,0.91671264,0.925433
Adrian,0.89968264,0.9442693,0.95499635,0.93266034,0.95371544,0.88371474,0.92846376,0.8646907,0.95000607,0.94999135
Marcus,0.9629011,0.8798351,0.8839799,0.94363683,0.90177125,0.91143775,0.8948602,0.89160955,0.9115189,0.9216267
Leo,0.93249714,0.9242555,0.92913085,0.9219279,0.93610346,0.95040756,0.9416063,0.9343735,0.90412754,0.91189826
Miles,0.9146435,0.90249085,0.9067625,0.9045472,0.9185337,0.9441017,0.9199011,0.93413997,0.8818674,0.8919237
Roman,0.97385246,0.93756473,0.94457245,0.98633313,0.9524758,0.9106967,0.93233544,0.8874009,0.9755026,0.98340666
Sergio,0.89941657,0.9219394,0.9293368,0.92380697,0.9297713,0.8698179,0.9034119,0.8500047,0.9292039,0.9333881
Felix,0.9151471,0.95661956,0.9662905,0.9452301,0.9646832,0.90116924,0.9385086,0.87956464,0.95618844,0.95971644
Patricia,0.8959669,0.94561833,0.9535138,0.92997044,0.95276946,0.879491,0.9199834,0.85901135,0.94796085,0.9491133
Laura,0.96631384,0.9425513,0.94848275,0.9830951,0.9560454,0.9024565,0.931568,0.87897,0.9832807,0.98731804
Amanda,0.92561996,0.9268849,0.93010503,0.9200628,0.9405761,0.93477046,0.9345378,0.9165563,0.90829575,0.9132543
Victoria,0.9689844,0.9336382,0.9420497,0.9803482,0.9487249,0.9011162,0.9269101,0.8776017,0.9769892,0.97990185
Julia,0.92718226,0.94426507,0.9449586,0.9339679,0.951211,0.9253471,0.94633275,0.91243476,0.9272311,0.93253696
Gloria,0.89770854,0.9199157,0.92433584,0.9215341,0.9286794,0.86755806,0.9032533,0.8414644,0.9273241,0.9301654
Diana,0.90440226,0.95258725,0.96123254,0.9375895,0.9610394,0.89691025,0.93411595,0.8706226,0.9532815,0.95530903
Clara,0.9263104,0.9339113,0.9370217,0.9228151,0.9464825,0.9395221,0.9441141,0.92340845,0.9091738,0.916123
Paula,0.9269665,0.9369092,0.9365509,0.92669564,0.9462662,0.9319415,0.942126,0.91332364,0.91779464,0.92507625
Norma,0.9192883,0.9572909,0.9582321,0.9447492,0.9629378,0.90933,0.9407435,0.88719094,0.9506165,0.95591134
