,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.950052,0.85883147,0.8623915,0.92505014,0.88155884,0.9063067,0.87510467,0.8905456,0.88761383,0.89736736
John,0.95247984,0.8663894,0.8702163,0.92960626,0.8889471,0.9122704,0.88265693,0.8933061,0.89458525,0.90478015
Robert,0.9580733,0.87704116,0.87945926,0.93744624,0.89719594,0.9199742,0.88987386,0.8991643,0.90392554,0.91415703
Michael,0.94707704,0.8640921,0.8665529,0.9216752,0.8848574,0.90938663,0.8796595,0.89098763,0.89014053,0.8989047
William,0.9774418,0.91588295,0.9205233,0.97131383,0.93451726,0.9197991,0.9207058,0.8954867,0.9488694,0.95791554
David,0.9407029,0.8552195,0.85818356,0.91260374,0.8772645,0.9086169,0.87345237,0.8861613,0.8825942,0.88979554
Joseph,0.9566086,0.8767494,0.8813472,0.9371421,0.89900315,0.91870934,0.8903397,0.89478385,0.9048482,0.9152619
Richard,0.97098386,0.89423704,0.8968951,0.9528456,0.91435033,0.9217366,0.9053623,0.899897,0.9241476,0.9332524
Charles,0.9595844,0.8748711,0.8782805,0.9377143,0.89755523,0.91709435,0.89019865,0.89642555,0.90463334,0.913345
Thomas,0.9481549,0.8570331,0.8590117,0.919206,0.8791455,0.90920347,0.8760823,0.89445233,0.8829474,0.8929863
Christopher,0.9589338,0.8721671,0.8759372,0.9350363,0.895354,0.9147812,0.89001095,0.89476234,0.90201974,0.91173685
Daniel,0.9506222,0.861709,0.8671474,0.9239434,0.88393164,0.9082131,0.88386315,0.8873396,0.89291096,0.90136945
Matthew,0.95338356,0.8660781,0.8690032,0.92867655,0.889496,0.91020274,0.88366246,0.8910147,0.89685166,0.9068069
George,0.95640576,0.873761,0.8777555,0.93319654,0.89415723,0.91407925,0.8894727,0.89147604,0.9030549,0.9118621
Anthony,0.95223737,0.8630558,0.86826384,0.92334956,0.8862586,0.90963197,0.88197696,0.88728327,0.8950505,0.90321934
Donald,0.9731773,0.9017035,0.9068295,0.9616133,0.92118645,0.9172375,0.9112198,0.8970125,0.935033,0.94438875
Paul,0.94989926,0.8644051,0.8697513,0.9224633,0.88648295,0.91098547,0.88455635,0.8862294,0.8943562,0.902827
Mark,0.9529177,0.8702726,0.87346953,0.9289793,0.8905536,0.91466945,0.8871547,0.89817375,0.8967025,0.9069201
Andrew,0.9440887,0.85493505,0.8594782,0.91680795,0.8789444,0.90768266,0.87564564,0.8877491,0.8853087,0.89487207
Edward,0.97363603,0.9175953,0.92274374,0.97258604,0.93558794,0.91593146,0.92173374,0.8919459,0.95312804,0.9608534
