,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
James,0.845814,0.83554196,0.8672434,0.8693686,0.8583555,0.8980652,0.84045947,0.85703,0.8184832,0.86472815
John,0.8557257,0.8372772,0.8661454,0.87325513,0.8657142,0.8985449,0.84898335,0.865398,0.8234283,0.8664042
Robert,0.8663266,0.84112644,0.8716881,0.8818077,0.87558335,0.90524215,0.8604634,0.8750507,0.8318141,0.8727813
Michael,0.85138613,0.8325793,0.86404717,0.869172,0.8620994,0.89623463,0.8459147,0.8585111,0.81557804,0.8603754
William,0.910072,0.84416234,0.8703685,0.89755046,0.9155601,0.9071562,0.9044314,0.9067233,0.8521209,0.87856925
David,0.8396312,0.83139914,0.85954386,0.86162376,0.85158485,0.8920974,0.83575284,0.8517985,0.8121606,0.8539921
Joseph,0.8663799,0.8394419,0.87106764,0.8797606,0.87584895,0.9020993,0.861456,0.8744868,0.82958627,0.86989486
Richard,0.88311756,0.84330356,0.8709516,0.8877404,0.8915549,0.90704596,0.8775661,0.8869854,0.8389979,0.87529546
Charles,0.86463934,0.8362958,0.8672711,0.8769836,0.8740426,0.90146327,0.8585654,0.8724755,0.82848585,0.87074983
Thomas,0.8422351,0.8421589,0.87097675,0.8717287,0.8555556,0.90138394,0.8374051,0.85624063,0.82196575,0.8667659
Christopher,0.8611758,0.8361168,0.86571515,0.87486005,0.8706575,0.9005082,0.8569343,0.86957175,0.82562935,0.8669782
Daniel,0.8509598,0.8295483,0.8600836,0.86553115,0.85990936,0.89473736,0.84671265,0.8594345,0.8151148,0.85892314
Matthew,0.85631126,0.8286685,0.86150753,0.8695664,0.8652113,0.896174,0.85157365,0.8632139,0.81730425,0.86057776
George,0.8607592,0.8337894,0.8649716,0.8728466,0.8701824,0.9007677,0.8559261,0.86771125,0.8246521,0.86547357
Anthony,0.85026205,0.8268743,0.85669756,0.8640447,0.859974,0.89284796,0.8468098,0.8593645,0.8151456,0.85487574
Donald,0.8949563,0.83841777,0.8668412,0.88837594,0.90172964,0.9037982,0.8905904,0.8946689,0.84225506,0.87543887
Paul,0.85120416,0.8284681,0.8569189,0.8651755,0.8595649,0.8927855,0.8485478,0.8596301,0.8151268,0.85518306
Mark,0.8565932,0.840428,0.86624336,0.8726741,0.8659996,0.9005504,0.8529502,0.86683357,0.82183594,0.8644802
Andrew,0.84250045,0.83117044,0.86093867,0.8636496,0.85407937,0.89499193,0.84000504,0.8534051,0.81285954,0.8559157
Edward,0.91434306,0.83744,0.86414784,0.8932928,0.9185923,0.9035307,0.9088891,0.90910167,0.84981227,0.87353337
