,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.87794393,0.87294066,0.83120245,0.89529276,0.88894254,0.8861437,0.90209985,0.9008862,0.88054687,0.883886
John,0.8872858,0.8816745,0.83589447,0.9030488,0.88944167,0.89434755,0.9098358,0.9081517,0.8868511,0.8905168
Robert,0.89676446,0.8899315,0.84413815,0.9093907,0.8892003,0.9041258,0.9197165,0.910583,0.894741,0.89872885
Michael,0.88116074,0.87681705,0.83181053,0.8956522,0.89005053,0.8891439,0.9035135,0.90502,0.8844331,0.8880023
William,0.9300663,0.927333,0.8808538,0.93481743,0.88589096,0.9498583,0.96098435,0.9274421,0.92171305,0.92182416
David,0.8740807,0.8692399,0.82360613,0.88821805,0.8908888,0.87875485,0.89237565,0.9030729,0.881255,0.88471484
Joseph,0.89655924,0.89005303,0.84420395,0.9079499,0.88763386,0.90564895,0.9207721,0.91173667,0.89459586,0.8974505
Richard,0.9107234,0.90671504,0.8608977,0.9212474,0.8914883,0.9236766,0.93725,0.9186048,0.90806323,0.90980685
Charles,0.8937288,0.88947105,0.84465367,0.91026634,0.89036036,0.9040886,0.9193735,0.9114931,0.893908,0.8972069
Thomas,0.87549114,0.8714733,0.82990384,0.8949839,0.8941646,0.88137096,0.8972854,0.9007159,0.8829657,0.8839542
Christopher,0.89067644,0.88537186,0.8407609,0.9047539,0.88736165,0.90166396,0.9174726,0.9064211,0.89244044,0.89587
Daniel,0.88224804,0.8766216,0.82970434,0.8969473,0.88486105,0.8913664,0.90694624,0.90317,0.8845676,0.8877033
Matthew,0.88533676,0.87970227,0.83338505,0.8990239,0.8839531,0.89598185,0.9113284,0.9027018,0.8879706,0.8886024
George,0.8909801,0.8858998,0.8411815,0.90369755,0.8874792,0.9018401,0.9161703,0.90973026,0.89106816,0.8971215
Anthony,0.8826611,0.8780395,0.8309774,0.8968532,0.8903068,0.8930851,0.9074045,0.90563595,0.8870106,0.8885824
Donald,0.9179198,0.9139185,0.86893344,0.925549,0.8856887,0.937196,0.94988984,0.91905636,0.91007125,0.91184175
Paul,0.8822897,0.8786623,0.83106345,0.89636433,0.8884596,0.8919366,0.90603137,0.9039445,0.88643277,0.8900557
Mark,0.88697886,0.8848772,0.8392551,0.9042699,0.8920709,0.89476526,0.90967447,0.9054802,0.8909796,0.89070237
Andrew,0.87416756,0.8709949,0.8240751,0.8914178,0.88623583,0.88282806,0.89777255,0.899609,0.882192,0.8834215
Edward,0.93152946,0.92926866,0.88205135,0.93443084,0.87725526,0.953799,0.96457976,0.92410946,0.9190416,0.9200246
