"Name","Gender","Word","CosineSimilarity","Good_or_Bad"
"James","M","happy",0.950052,"Good"
"James","M","agreeable",0.85883147,"Good"
"James","M","polite",0.8623915,"Good"
"James","M","civil",0.92505014,"Good"
"James","M","charming",0.88155884,"Good"
"James","M","gracious",0.9063067,"Good"
"James","M","gentle",0.87510467,"Good"
"James","M","approachable",0.8905456,"Good"
"James","M","love",0.88761383,"Good"
"James","M","cool",0.89736736,"Good"
"John","M","happy",0.95247984,"Good"
"John","M","agreeable",0.8663894,"Good"
"John","M","polite",0.8702163,"Good"
"John","M","civil",0.92960626,"Good"
"John","M","charming",0.8889471,"Good"
"John","M","gracious",0.9122704,"Good"
"John","M","gentle",0.88265693,"Good"
"John","M","approachable",0.8933061,"Good"
"John","M","love",0.89458525,"Good"
"John","M","cool",0.90478015,"Good"
"Robert","M","happy",0.9580733,"Good"
"Robert","M","agreeable",0.87704116,"Good"
"Robert","M","polite",0.87945926,"Good"
"Robert","M","civil",0.93744624,"Good"
"Robert","M","charming",0.89719594,"Good"
"Robert","M","gracious",0.9199742,"Good"
"Robert","M","gentle",0.88987386,"Good"
"Robert","M","approachable",0.8991643,"Good"
"Robert","M","love",0.90392554,"Good"
"Robert","M","cool",0.91415703,"Good"
"Michael","M","happy",0.94707704,"Good"
"Michael","M","agreeable",0.8640921,"Good"
"Michael","M","polite",0.8665529,"Good"
"Michael","M","civil",0.9216752,"Good"
"Michael","M","charming",0.8848574,"Good"
"Michael","M","gracious",0.90938663,"Good"
"Michael","M","gentle",0.8796595,"Good"
"Michael","M","approachable",0.89098763,"Good"
"Michael","M","love",0.89014053,"Good"
"Michael","M","cool",0.8989047,"Good"
"William","M","happy",0.9774418,"Good"
"William","M","agreeable",0.91588295,"Good"
"William","M","polite",0.9205233,"Good"
"William","M","civil",0.97131383,"Good"
"William","M","charming",0.93451726,"Good"
"William","M","gracious",0.9197991,"Good"
"William","M","gentle",0.9207058,"Good"
"William","M","approachable",0.8954867,"Good"
"William","M","love",0.9488694,"Good"
"William","M","cool",0.95791554,"Good"
"David","M","happy",0.9407029,"Good"
"David","M","agreeable",0.8552195,"Good"
"David","M","polite",0.85818356,"Good"
"David","M","civil",0.91260374,"Good"
"David","M","charming",0.8772645,"Good"
"David","M","gracious",0.9086169,"Good"
"David","M","gentle",0.87345237,"Good"
"David","M","approachable",0.8861613,"Good"
"David","M","love",0.8825942,"Good"
"David","M","cool",0.88979554,"Good"
