"Name","Race","Word","CosineSimilarity","Good_or_Bad"
"Reginald","Black","happy",0.8983234,"Good"
"Reginald","Black","agreeable",0.9123066,"Good"
"Reginald","Black","polite",0.9143807,"Good"
"Reginald","Black","civil",0.9123622,"Good"
"Reginald","Black","charming",0.9161281,"Good"
"Reginald","Black","gracious",0.88375634,"Good"
"Reginald","Black","gentle",0.9026539,"Good"
"Reginald","Black","approachable",0.86406493,"Good"
"Reginald","Black","love",0.9056256,"Good"
"Reginald","Black","cool",0.9120324,"Good"
"Kameron","Black","happy",0.9159605,"Good"
"Kameron","Black","agreeable",0.95526254,"Good"
"Kameron","Black","polite",0.9629412,"Good"
"Kameron","Black","civil",0.946802,"Good"
"Kameron","Black","charming",0.9681148,"Good"
"Kameron","Black","gracious",0.90355474,"Good"
"Kameron","Black","gentle",0.9418948,"Good"
"Kameron","Black","approachable",0.8818684,"Good"
"Kameron","Black","love",0.95613253,"Good"
"Kameron","Black","cool",0.95865756,"Good"
"Kendrick","Black","happy",0.8960242,"Good"
"Kendrick","Black","agreeable",0.90376985,"Good"
"Kendrick","Black","polite",0.91426563,"Good"
"Kendrick","Black","civil",0.9084389,"Good"
"Kendrick","Black","charming",0.91667056,"Good"
"Kendrick","Black","gracious",0.87206197,"Good"
"Kendrick","Black","gentle",0.90084636,"Good"
"Kendrick","Black","approachable",0.8514838,"Good"
"Kendrick","Black","love",0.90604496,"Good"
"Kendrick","Black","cool",0.91085076,"Good"
"Javon","Black","happy",0.8913471,"Good"
"Javon","Black","agreeable",0.87521595,"Good"
"Javon","Black","polite",0.8773712,"Good"
"Javon","Black","civil",0.8811041,"Good"
"Javon","Black","charming",0.88961554,"Good"
"Javon","Black","gracious",0.9015765,"Good"
"Javon","Black","gentle",0.88618535,"Good"
"Javon","Black","approachable",0.89098465,"Good"
"Javon","Black","love",0.8609919,"Good"
"Javon","Black","cool",0.86766255,"Good"
"Tyrell","Black","happy",0.90987074,"Good"
"Tyrell","Black","agreeable",0.9460844,"Good"
"Tyrell","Black","polite",0.9506203,"Good"
"Tyrell","Black","civil",0.9336238,"Good"
"Tyrell","Black","charming",0.9568724,"Good"
"Tyrell","Black","gracious",0.9039163,"Good"
"Tyrell","Black","gentle",0.9382484,"Good"
"Tyrell","Black","approachable",0.88648224,"Good"
"Tyrell","Black","love",0.9386316,"Good"
"Tyrell","Black","cool",0.94094384,"Good"
"Jamar","Black","happy",0.9223731,"Good"
"Jamar","Black","agreeable",0.9563658,"Good"
"Jamar","Black","polite",0.9559711,"Good"
"Jamar","Black","civil",0.94432616,"Good"
"Jamar","Black","charming",0.9613938,"Good"
"Jamar","Black","gracious",0.9199715,"Good"
"Jamar","Black","gentle",0.9449671,"Good"
"Jamar","Black","approachable",0.89747286,"Good"
"Jamar","Black","love",0.94525695,"Good"
"Jamar","Black","cool",0.9500415,"Good"
"Camron","Black","happy",0.9082488,"Good"
"Camron","Black","agreeable",0.94922596,"Good"
"Camron","Black","polite",0.95579386,"Good"
"Camron","Black","civil",0.93804055,"Good"
"Camron","Black","charming",0.9590481,"Good"
"Camron","Black","gracious",0.8959972,"Good"
"Camron","Black","gentle",0.93147707,"Good"
"Camron","Black","approachable",0.87910026,"Good"
"Camron","Black","love",0.94550985,"Good"
"Camron","Black","cool",0.950499,"Good"
"Tyree","Black","happy",0.9112789,"Good"
"Tyree","Black","agreeable",0.94992524,"Good"
"Tyree","Black","polite",0.95531917,"Good"
"Tyree","Black","civil",0.93572974,"Good"
"Tyree","Black","charming",0.9607721,"Good"
"Tyree","Black","gracious",0.90435576,"Good"
"Tyree","Black","gentle",0.94281316,"Good"
"Tyree","Black","approachable",0.8880827,"Good"
"Tyree","Black","love",0.9409164,"Good"
"Tyree","Black","cool",0.9445125,"Good"
"Jamari","Black","happy",0.92111146,"Good"
"Jamari","Black","agreeable",0.9589751,"Good"
"Jamari","Black","polite",0.95909894,"Good"
"Jamari","Black","civil",0.9439503,"Good"
"Jamari","Black","charming",0.96581364,"Good"
"Jamari","Black","gracious",0.91906023,"Good"
"Jamari","Black","gentle",0.9443122,"Good"
"Jamari","Black","approachable",0.8949024,"Good"
"Jamari","Black","love",0.94601464,"Good"
"Jamari","Black","cool",0.9504427,"Good"
"Reggie","Black","happy",0.9331469,"Good"
"Reggie","Black","agreeable",0.9524838,"Good"
"Reggie","Black","polite",0.9585029,"Good"
"Reggie","Black","civil",0.9439129,"Good"
"Reggie","Black","charming",0.9619893,"Good"
"Reggie","Black","gracious",0.9314383,"Good"
"Reggie","Black","gentle",0.9503077,"Good"
"Reggie","Black","approachable",0.91782385,"Good"
"Reggie","Black","love",0.94015217,"Good"
"Reggie","Black","cool",0.94648796,"Good"
"Jada","Black","happy",0.9125358,"Good"
"Jada","Black","agreeable",0.89574754,"Good"
"Jada","Black","polite",0.89834183,"Good"
"Jada","Black","civil",0.8950588,"Good"
"Jada","Black","charming",0.9134908,"Good"
"Jada","Black","gracious",0.94132054,"Good"
"Jada","Black","gentle",0.90673155,"Good"
"Jada","Black","approachable",0.931521,"Good"
"Jada","Black","love",0.87447935,"Good"
"Jada","Black","cool",0.8831281,"Good"
"Latoya","Black","happy",0.8969281,"Good"
"Latoya","Black","agreeable",0.94386244,"Good"
