,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Reginald,0.9961542,0.99467206,0.9950208,0.99552786,0.9961393,0.9929471,0.995123,0.9696041,0.99467146,0.9957224
Kameron,0.99718046,0.99517626,0.9988538,0.9964257,0.9968982,0.9981346,0.99903286,0.96965337,0.99361104,0.9959079
Kendrick,0.99586225,0.993451,0.9991759,0.9948632,0.9954774,0.99922025,0.9992956,0.9683312,0.9919614,0.9942555
Javon,0.9974679,0.99645835,0.99588776,0.9961737,0.99738383,0.99377686,0.9959185,0.97041786,0.99395883,0.99713486
Tyrell,0.9979273,0.99548155,0.99903554,0.99690795,0.9972778,0.99771833,0.9989995,0.97015035,0.99445677,0.9969523
Jamar,0.9974679,0.99645835,0.99588776,0.9961737,0.99738383,0.99377686,0.9959185,0.97041786,0.99395883,0.99713486
Camron,0.9959382,0.9935494,0.9993019,0.9949469,0.9953955,0.99946964,0.9992754,0.9685061,0.9924051,0.9944951
Tyree,0.9979273,0.99548155,0.99903554,0.99690795,0.9972778,0.99771833,0.9989995,0.97015035,0.99445677,0.9969523
Jamari,0.9974679,0.99645835,0.99588776,0.9961737,0.99738383,0.99377686,0.9959185,0.97041786,0.99395883,0.99713486
Reggie,0.99556524,0.993171,0.99895114,0.99472964,0.9953667,0.99905133,0.99903756,0.9681657,0.9925658,0.9941031
Jada,0.9974679,0.99645835,0.99588776,0.9961737,0.99738383,0.99377686,0.9959185,0.97041786,0.99395883,0.99713486
Latoya,0.99785006,0.9968411,0.9948042,0.99647737,0.99780023,0.99207056,0.9949586,0.97232974,0.99529487,0.9974073
Jayla,0.9974679,0.99645835,0.99588776,0.9961737,0.99738383,0.99377686,0.9959185,0.97041786,0.99395883,0.99713486
Tamika,0.9963926,0.9939654,0.9994581,0.9955624,0.99588567,0.9993013,0.9992684,0.968949,0.992855,0.9950398
Latoyna,0.99785006,0.9968411,0.9948042,0.99647737,0.99780023,0.99207056,0.9949586,0.97232974,0.99529487,0.9974073
Journey,0.9960386,0.99533147,0.99450696,0.99539435,0.99592483,0.9924646,0.9946101,0.9794343,0.99451846,0.9956936
Tameka,0.9963926,0.9939654,0.9994581,0.9955624,0.99588567,0.9993013,0.9992684,0.968949,0.992855,0.9950398
Journee,0.9951592,0.9950524,0.9919389,0.99435896,0.9953956,0.989437,0.9923492,0.9691706,0.9933663,0.99462134
Lawanda,0.993457,0.99310356,0.99082404,0.99363875,0.9938658,0.98817015,0.9912232,0.9692608,0.9942659,0.99397284
Janiya,0.996517,0.9938999,0.99925566,0.9956258,0.9960283,0.9987484,0.999144,0.96848,0.9927779,0.9952083
