,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Lian,0.9986072,0.99616975,0.9973254,0.9972998,0.99790204,0.9953173,0.9973757,0.97107816,0.994929,0.99765235
Shan,0.9946273,0.99181575,0.99847484,0.99354166,0.99385816,0.9984854,0.99832594,0.9662574,0.99026567,0.99308777
Lew,0.99812603,0.9962349,0.99525464,0.99655473,0.9975909,0.9926381,0.9953893,0.9713582,0.9952809,0.99727106
Long,0.9942385,0.991474,0.99832743,0.99312556,0.993664,0.99864167,0.9983289,0.9665238,0.990413,0.99257517
Quan,0.99365574,0.9909747,0.9986286,0.9927441,0.99306095,0.9995746,0.9984269,0.9666974,0.98967856,0.99187666
Jun,0.99512506,0.9924492,0.9992485,0.99415857,0.9944684,0.999654,0.99898237,0.96781474,0.99097663,0.99328023
Tou,0.9985667,0.99649477,0.99793404,0.9970593,0.99766445,0.9962043,0.99790156,0.9714559,0.99478936,0.9975184
Jin,0.9983869,0.99604005,0.99847436,0.9973179,0.9978212,0.996824,0.99857056,0.9701859,0.99428004,0.99727917
Cai,0.99752516,0.9954404,0.9979108,0.996286,0.9971348,0.99636996,0.99771756,0.96970016,0.99340224,0.99640524
Chan,0.9956892,0.99301195,0.99934965,0.9945962,0.99495816,0.9993563,0.9991928,0.96791625,0.99129385,0.9939505
Lue,0.99638116,0.99529207,0.99497205,0.9956593,0.99622166,0.9926943,0.9948174,0.97069865,0.99501693,0.9960884
China,0.99121225,0.99129534,0.9890249,0.99040294,0.9915289,0.9866314,0.9890559,0.98570734,0.9898897,0.99089926
Lu,0.9979871,0.99575996,0.9989707,0.996933,0.997616,0.99774826,0.99907047,0.9706768,0.9941613,0.9967963
Maylee,0.99774617,0.9966447,0.99543935,0.9969171,0.9973698,0.9930499,0.99566394,0.9715733,0.99538857,0.9972828
Tennie,0.9696989,0.96988785,0.9694821,0.96814543,0.97002983,0.968158,0.96956176,0.99525654,0.9682372,0.967726
Maylin,0.99774617,0.9966447,0.99543935,0.9969171,0.9973698,0.9930499,0.99566394,0.9715733,0.99538857,0.9972828
Chynna,0.99587846,0.99324584,0.9984772,0.99501306,0.995229,0.99786156,0.9986219,0.967085,0.9919185,0.99464226
Jia,0.9958084,0.9933696,0.9992049,0.9948435,0.9953766,0.9993621,0.9991294,0.96840966,0.9919435,0.9941558
Mei,0.9941681,0.99138707,0.99894756,0.99333745,0.99363196,0.9994009,0.9985475,0.9669216,0.9907295,0.9926673
Tylee,0.99769425,0.9957004,0.99884665,0.99661475,0.99732,0.9982218,0.9992339,0.97087055,0.9943875,0.9964646
