,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.964522,0.9683462,0.992667,0.9676526,0.9662784,0.9677614,0.96826357,0.9674177,0.96885324,0.96174216
John,0.96468234,0.97037786,0.9906579,0.9688786,0.96648055,0.96831733,0.96946144,0.9692408,0.96958774,0.9641727
Robert,0.9986499,0.9942713,0.9624001,0.9961341,0.99884844,0.9986048,0.9955757,0.9955815,0.9952684,0.98848504
Michael,0.9937606,0.99666405,0.9659863,0.9962668,0.994724,0.9959081,0.99702704,0.99718684,0.99686474,0.99200344
William,0.994602,0.9959737,0.9665617,0.9963356,0.9955592,0.99647593,0.9971148,0.99694717,0.99598724,0.99154145
David,0.9705133,0.9757854,0.9895233,0.97334176,0.97219014,0.97406924,0.9753777,0.97458637,0.975592,0.96913534
Joseph,0.9652297,0.969787,0.9899637,0.968069,0.96676296,0.96844554,0.96960163,0.9684214,0.96900177,0.96327144
Richard,0.9947571,0.99590033,0.96436894,0.9964082,0.9956613,0.99630815,0.99681145,0.9970095,0.9962277,0.99060607
Charles,0.9631544,0.9604349,0.98972666,0.9605396,0.9635315,0.9640865,0.960856,0.96034557,0.9609333,0.9531924
Thomas,0.99651945,0.9958167,0.96328014,0.9973303,0.99728715,0.9976998,0.9969417,0.99713653,0.99650544,0.990325
Mary,0.9945209,0.9957753,0.9635666,0.9964055,0.995624,0.9964819,0.99696225,0.99711,0.9961787,0.990847
Elizabeth,0.9953779,0.9953654,0.96238756,0.9963209,0.9963292,0.99685603,0.99670273,0.9972391,0.99617773,0.9904094
Patricia,0.99438876,0.99605405,0.9649755,0.99604565,0.9952627,0.99622625,0.9969087,0.99670273,0.99612385,0.9916639
Jennifer,0.99551004,0.9964243,0.9637863,0.9969782,0.996373,0.9971735,0.99732673,0.9973633,0.9963254,0.991584
Linda,0.99472207,0.99687684,0.9642451,0.9971606,0.9958795,0.9966545,0.99751526,0.99789435,0.99732256,0.99150157
Barbara,0.99537563,0.99601215,0.9634684,0.99681896,0.99627674,0.99679095,0.9966478,0.997021,0.9962988,0.99064344
Margaret,0.996066,0.99660736,0.9646911,0.9970514,0.9969871,0.99762636,0.9972127,0.9975144,0.9968274,0.9910105
Susan,0.99931204,0.99401116,0.9621379,0.9954352,0.9990073,0.9989168,0.9952557,0.9953057,0.995045,0.9879531
Sarah,0.9953911,0.996151,0.9629315,0.99708956,0.9961659,0.9968223,0.99724406,0.99693584,0.9960975,0.9915548
Jessica,0.9990648,0.99325687,0.961587,0.99487233,0.9990953,0.9987179,0.9947791,0.9948261,0.99443084,0.9869535
