,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
Mary,0.9956583,0.99741733,0.9970033,0.9904161,0.9970236,0.996565,0.99705184,0.9974547,0.9947356,0.99669033
Elizabeth,0.9955413,0.99756634,0.99690795,0.9893936,0.9970445,0.997319,0.9978707,0.997494,0.99554497,0.9970108
Patricia,0.99567175,0.99723625,0.99641955,0.9903687,0.997188,0.99626875,0.99724656,0.9971511,0.9944947,0.99652857
Jennifer,0.99588984,0.9981735,0.99680924,0.99007595,0.9970999,0.99717385,0.9980645,0.99800724,0.9956254,0.99716103
Linda,0.9960518,0.99789983,0.9968373,0.98978657,0.99692744,0.9965927,0.9978079,0.9979181,0.9950776,0.99703294
Barbara,0.99575377,0.9980153,0.9961079,0.9890741,0.99644536,0.9973245,0.9977512,0.99769026,0.99598646,0.9971888
Margaret,0.9957314,0.9983314,0.996706,0.98994625,0.9973764,0.997801,0.998317,0.998251,0.9963758,0.99760526
Susan,0.99334,0.997355,0.99498105,0.98754984,0.9954495,0.9984618,0.9968529,0.99766886,0.9988782,0.9954185
Dorothy,0.99588466,0.9984844,0.99674124,0.989995,0.99690855,0.99841887,0.9983984,0.99847955,0.9974278,0.9973002
Sarah,0.995732,0.99823266,0.9973769,0.9892798,0.997452,0.9971483,0.99794084,0.9977429,0.9954074,0.99687546
Jessica,0.9927242,0.99688375,0.9944915,0.9871272,0.99499166,0.99851257,0.99635106,0.9971625,0.9989079,0.9950198
Helen,0.9907744,0.99499565,0.9921394,0.9856624,0.99287397,0.9973704,0.99453014,0.99505585,0.9983121,0.9930544
Nancy,0.9933232,0.9971775,0.9947745,0.98744833,0.9953137,0.9987768,0.996534,0.99722844,0.9990734,0.9953379
Betty,0.9959023,0.9981186,0.9976905,0.99016374,0.9974542,0.9978948,0.9983006,0.9981758,0.99656236,0.9969885
Karen,0.99594766,0.9987911,0.996807,0.9899139,0.99740046,0.99881744,0.99864656,0.99886304,0.99792296,0.99740946
Lisa,0.99580216,0.9987859,0.996843,0.98990625,0.99748087,0.99915504,0.9982556,0.9986298,0.9984073,0.99745786
Anna,0.9962864,0.99863046,0.99690914,0.989793,0.9975584,0.9975836,0.9985659,0.9987822,0.99616116,0.9973178
Sandra,0.99264205,0.9967766,0.9943,0.9869091,0.9947627,0.99815583,0.9962416,0.9969177,0.99869174,0.9946426
Emily,0.9955756,0.9976384,0.9966999,0.9899332,0.9971904,0.9971367,0.9976469,0.9976802,0.9954872,0.99694484
Ashley,0.99433666,0.99518895,0.9953313,0.990771,0.9959798,0.99432033,0.99527276,0.9953328,0.9923468,0.9952017
