,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Mary,0.9945209,0.9957753,0.9635666,0.9964055,0.995624,0.9964819,0.99696225,0.99711,0.9961787,0.990847
Elizabeth,0.9953779,0.9953654,0.96238756,0.9963209,0.9963292,0.99685603,0.99670273,0.9972391,0.99617773,0.9904094
Patricia,0.99438876,0.99605405,0.9649755,0.99604565,0.9952627,0.99622625,0.9969087,0.99670273,0.99612385,0.9916639
Jennifer,0.99551004,0.9964243,0.9637863,0.9969782,0.996373,0.9971735,0.99732673,0.9973633,0.9963254,0.991584
Linda,0.99472207,0.99687684,0.9642451,0.9971606,0.9958795,0.9966545,0.99751526,0.99789435,0.99732256,0.99150157
Barbara,0.99537563,0.99601215,0.9634684,0.99681896,0.99627674,0.99679095,0.9966478,0.997021,0.9962988,0.99064344
Margaret,0.996066,0.99660736,0.9646911,0.9970514,0.9969871,0.99762636,0.9972127,0.9975144,0.9968274,0.9910105
Susan,0.99931204,0.99401116,0.9621379,0.9954352,0.9990073,0.9989168,0.9952557,0.9953057,0.995045,0.9879531
Dorothy,0.99703807,0.9959639,0.9637444,0.99746317,0.99784446,0.99816394,0.9969056,0.9970904,0.9967315,0.99017406
Sarah,0.9953911,0.996151,0.9629315,0.99708956,0.9961659,0.9968223,0.99724406,0.99693584,0.9960975,0.9915548
Jessica,0.9990648,0.99325687,0.961587,0.99487233,0.9990953,0.9987179,0.9947791,0.9948261,0.99443084,0.9869535
Helen,0.99770665,0.99115765,0.9607649,0.9932894,0.99774843,0.99688816,0.9923323,0.992326,0.99253404,0.9854025
Nancy,0.99878854,0.9935093,0.9621186,0.99527407,0.99895716,0.99857783,0.994847,0.9949539,0.9946669,0.9874899
Betty,0.99603206,0.99609387,0.9638102,0.99737555,0.99731004,0.9977466,0.9974363,0.9977775,0.9965778,0.9903991
Karen,0.99760014,0.9962832,0.964309,0.9972169,0.99831784,0.9986684,0.997514,0.99745786,0.99687386,0.990463
Lisa,0.99766356,0.99584323,0.9646163,0.9971532,0.99855983,0.9987227,0.99718726,0.99708855,0.9965145,0.990008
Anna,0.9961934,0.99690413,0.9638204,0.99709904,0.9970262,0.9977266,0.9976552,0.99787164,0.9974433,0.9915642
Sandra,0.99941427,0.99302644,0.9603518,0.9948378,0.99869907,0.99821407,0.99415624,0.99433184,0.9941224,0.98709315
Emily,0.9953337,0.9958929,0.9640971,0.9966504,0.9964069,0.9970294,0.9973988,0.9972899,0.9962076,0.9904512
Ashley,0.9921273,0.9945997,0.96502656,0.9948366,0.99341726,0.9942361,0.99537927,0.99583393,0.99522424,0.9899065
