,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Paul,0.9939983,0.9958504,0.9663521,0.99608314,0.99499786,0.99584246,0.9967002,0.99681425,0.99637705,0.9912161
Vincent,0.9951255,0.99585587,0.9651833,0.99656373,0.99600756,0.9968288,0.99697924,0.9965364,0.99671763,0.9912464
Victor,0.9987405,0.9941085,0.9624372,0.9956038,0.9989891,0.99883854,0.99536353,0.99539983,0.9952949,0.988157
Adrian,0.9946906,0.996313,0.96482134,0.99655634,0.9956623,0.99642605,0.9972073,0.9970263,0.9968143,0.9916617
Marcus,0.9957258,0.99610627,0.96436083,0.99682033,0.99650294,0.99703175,0.99695784,0.9971812,0.996488,0.9903018
Leo,0.9984899,0.9925279,0.9620222,0.99448305,0.99892026,0.9983998,0.9942081,0.99410075,0.99386644,0.986404
Miles,0.9979665,0.99628365,0.9644819,0.99748254,0.9988231,0.99919444,0.99721587,0.997448,0.99692255,0.9905308
Roman,0.9981525,0.99557316,0.9639948,0.9971231,0.9990036,0.99902636,0.9969858,0.9971472,0.9963217,0.98954445
Sergio,0.9954702,0.9959777,0.963662,0.99664676,0.99639344,0.9970676,0.9971842,0.99683934,0.99649394,0.9907669
Felix,0.99783766,0.99616885,0.9637169,0.99738383,0.9981849,0.9984686,0.99719447,0.99739283,0.996466,0.9905248
Patricia,0.99438876,0.99605405,0.9649755,0.99604565,0.9952627,0.99622625,0.9969087,0.99670273,0.99612385,0.9916639
Laura,0.9946854,0.99638885,0.9635248,0.9969603,0.99579054,0.9965334,0.9967988,0.997053,0.9970561,0.990525
Amanda,0.9946932,0.9964241,0.96331483,0.99681026,0.9957299,0.99652475,0.99732184,0.99717826,0.9965509,0.99195975
Victoria,0.9945141,0.99580646,0.96056855,0.996248,0.9951511,0.99581724,0.99661237,0.99690306,0.9956621,0.9904702
Julia,0.9969861,0.9960816,0.9637987,0.9972531,0.9979431,0.9982777,0.99738646,0.99737674,0.9966388,0.9903568
Gloria,0.99510145,0.9961969,0.96368504,0.9972321,0.99616504,0.996794,0.99695,0.9974631,0.9966885,0.9908828
Diana,0.9988321,0.9932783,0.9623134,0.9951337,0.999166,0.9987596,0.99492776,0.9948354,0.9945489,0.98718554
Clara,0.9972911,0.99688345,0.96464425,0.9975395,0.9980282,0.99845845,0.9977859,0.9979757,0.99717087,0.99085826
Paula,0.99815434,0.9950836,0.964247,0.9965,0.99893945,0.99897367,0.9964566,0.99653167,0.99603176,0.9892127
Norma,0.998863,0.99322236,0.9617722,0.99484926,0.9989303,0.9985206,0.99448574,0.99453527,0.9945082,0.98722565
