,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
James,0.96671784,0.96806526,0.9666618,0.9668874,0.96867377,0.9676071,0.96739656,0.9687078,0.96649337,0.9675354
John,0.96842885,0.96875936,0.9676896,0.9683935,0.96905106,0.96782565,0.9676917,0.9696347,0.9668712,0.9687581
Robert,0.9939963,0.997752,0.99541706,0.9883199,0.9958701,0.99895024,0.9973911,0.99771744,0.9990939,0.996008
Michael,0.99532276,0.99712324,0.9963397,0.9909206,0.9964937,0.9955095,0.9965973,0.9972484,0.99390453,0.9964745
William,0.99583125,0.9970675,0.997004,0.9911104,0.99715066,0.99656874,0.9972047,0.99723905,0.9948249,0.9966849
David,0.97382706,0.9742795,0.9728157,0.97344,0.97448754,0.97339094,0.97338605,0.97533524,0.9723444,0.97456443
Joseph,0.96812856,0.96910703,0.9673487,0.96914625,0.96927744,0.9680938,0.96793324,0.9696467,0.9671349,0.9685528
Richard,0.99521655,0.9974253,0.99654543,0.9902497,0.9967801,0.9964841,0.9971875,0.99695003,0.99491894,0.9967493
Charles,0.9587379,0.96211463,0.95953745,0.95730674,0.9616412,0.9630392,0.96126497,0.96275747,0.9639157,0.96010923
Thomas,0.995479,0.99834377,0.997098,0.9893692,0.9969894,0.9981755,0.9980559,0.99794686,0.9968412,0.99700534
Christopher,0.9947491,0.9980262,0.9961571,0.9891677,0.99646735,0.9990235,0.9975086,0.9983343,0.99897826,0.99655926
Daniel,0.9959558,0.9971363,0.99601686,0.9903979,0.99631363,0.9954269,0.9965437,0.99732953,0.9939789,0.9960528
Matthew,0.995953,0.99699295,0.99644715,0.99107075,0.9964784,0.9958917,0.99696684,0.99713075,0.994204,0.99655867
George,0.9930361,0.99708635,0.99453,0.98737407,0.99502766,0.99864334,0.9964247,0.99732345,0.99912494,0.99522257
Anthony,0.995785,0.9979143,0.9969956,0.9897019,0.9970138,0.99713546,0.997623,0.9979355,0.9957684,0.9967094
Donald,0.99290985,0.99676037,0.99464536,0.98745584,0.99504733,0.9985494,0.9963056,0.9972224,0.9991221,0.9951269
Paul,0.9957449,0.99700004,0.99606204,0.99146825,0.9962321,0.9962229,0.99656326,0.9967899,0.9946557,0.9967769
Mark,0.9952255,0.9980198,0.9968265,0.9894183,0.99716896,0.9970305,0.99825436,0.99773544,0.99534035,0.9968586
Andrew,0.9954067,0.99733204,0.9963615,0.9902441,0.996749,0.9968378,0.9973619,0.9972739,0.9954234,0.99686515
Edward,0.9956774,0.9980337,0.9966937,0.9898713,0.9971868,0.9974638,0.9979501,0.9979815,0.9959542,0.99769527
