"Name","Gender","Career","CosineSimilarity","STEM"
"James","M","Software.Developer",0.96671784,"Yes"
"James","M","Nurse.Practitioner",0.96806526,"Yes"
"James","M","Health.Services.Manager",0.9666618,"Yes"
"James","M","Physicians.Assistant",0.9668874,"Yes"
"James","M","Security.Analyst",0.96867377,"Yes"
"James","M","IT.Manager",0.9676071,"Yes"
"James","M","Web.Developer",0.96739656,"Yes"
"James","M","Dentist",0.9687078,"Yes"
"James","M","Orthodontist",0.96649337,"Yes"
"James","M","Computer.Systems.Analyst",0.9675354,"Yes"
"John","M","Software.Developer",0.96842885,"Yes"
"John","M","Nurse.Practitioner",0.96875936,"Yes"
"John","M","Health.Services.Manager",0.9676896,"Yes"
"John","M","Physicians.Assistant",0.9683935,"Yes"
"John","M","Security.Analyst",0.96905106,"Yes"
"John","M","IT.Manager",0.96782565,"Yes"
"John","M","Web.Developer",0.9676917,"Yes"
"John","M","Dentist",0.9696347,"Yes"
"John","M","Orthodontist",0.9668712,"Yes"
"John","M","Computer.Systems.Analyst",0.9687581,"Yes"
"Robert","M","Software.Developer",0.9939963,"Yes"
"Robert","M","Nurse.Practitioner",0.997752,"Yes"
"Robert","M","Health.Services.Manager",0.99541706,"Yes"
"Robert","M","Physicians.Assistant",0.9883199,"Yes"
"Robert","M","Security.Analyst",0.9958701,"Yes"
"Robert","M","IT.Manager",0.99895024,"Yes"
"Robert","M","Web.Developer",0.9973911,"Yes"
"Robert","M","Dentist",0.99771744,"Yes"
"Robert","M","Orthodontist",0.9990939,"Yes"
"Robert","M","Computer.Systems.Analyst",0.996008,"Yes"
"Michael","M","Software.Developer",0.99532276,"Yes"
"Michael","M","Nurse.Practitioner",0.99712324,"Yes"
"Michael","M","Health.Services.Manager",0.9963397,"Yes"
"Michael","M","Physicians.Assistant",0.9909206,"Yes"
"Michael","M","Security.Analyst",0.9964937,"Yes"
"Michael","M","IT.Manager",0.9955095,"Yes"
"Michael","M","Web.Developer",0.9965973,"Yes"
"Michael","M","Dentist",0.9972484,"Yes"
"Michael","M","Orthodontist",0.99390453,"Yes"
"Michael","M","Computer.Systems.Analyst",0.9964745,"Yes"
"William","M","Software.Developer",0.99583125,"Yes"
"William","M","Nurse.Practitioner",0.9970675,"Yes"
"William","M","Health.Services.Manager",0.997004,"Yes"
"William","M","Physicians.Assistant",0.9911104,"Yes"
"William","M","Security.Analyst",0.99715066,"Yes"
"William","M","IT.Manager",0.99656874,"Yes"
"William","M","Web.Developer",0.9972047,"Yes"
"William","M","Dentist",0.99723905,"Yes"
"William","M","Orthodontist",0.9948249,"Yes"
"William","M","Computer.Systems.Analyst",0.9966849,"Yes"
"David","M","Software.Developer",0.97382706,"Yes"
"David","M","Nurse.Practitioner",0.9742795,"Yes"
"David","M","Health.Services.Manager",0.9728157,"Yes"
"David","M","Physicians.Assistant",0.97344,"Yes"
"David","M","Security.Analyst",0.97448754,"Yes"
"David","M","IT.Manager",0.97339094,"Yes"
"David","M","Web.Developer",0.97338605,"Yes"
"David","M","Dentist",0.97533524,"Yes"
"David","M","Orthodontist",0.9723444,"Yes"
"David","M","Computer.Systems.Analyst",0.97456443,"Yes"
"Joseph","M","Software.Developer",0.96812856,"Yes"
"Joseph","M","Nurse.Practitioner",0.96910703,"Yes"
"Joseph","M","Health.Services.Manager",0.9673487,"Yes"
"Joseph","M","Physicians.Assistant",0.96914625,"Yes"
"Joseph","M","Security.Analyst",0.96927744,"Yes"
"Joseph","M","IT.Manager",0.9680938,"Yes"
"Joseph","M","Web.Developer",0.96793324,"Yes"
"Joseph","M","Dentist",0.9696467,"Yes"
"Joseph","M","Orthodontist",0.9671349,"Yes"
"Joseph","M","Computer.Systems.Analyst",0.9685528,"Yes"
"Richard","M","Software.Developer",0.99521655,"Yes"
"Richard","M","Nurse.Practitioner",0.9974253,"Yes"
"Richard","M","Health.Services.Manager",0.99654543,"Yes"
"Richard","M","Physicians.Assistant",0.9902497,"Yes"
"Richard","M","Security.Analyst",0.9967801,"Yes"
"Richard","M","IT.Manager",0.9964841,"Yes"
"Richard","M","Web.Developer",0.9971875,"Yes"
"Richard","M","Dentist",0.99695003,"Yes"
"Richard","M","Orthodontist",0.99491894,"Yes"
"Richard","M","Computer.Systems.Analyst",0.9967493,"Yes"
"Charles","M","Software.Developer",0.9587379,"Yes"
"Charles","M","Nurse.Practitioner",0.96211463,"Yes"
"Charles","M","Health.Services.Manager",0.95953745,"Yes"
"Charles","M","Physicians.Assistant",0.95730674,"Yes"
"Charles","M","Security.Analyst",0.9616412,"Yes"
"Charles","M","IT.Manager",0.9630392,"Yes"
"Charles","M","Web.Developer",0.96126497,"Yes"
"Charles","M","Dentist",0.96275747,"Yes"
"Charles","M","Orthodontist",0.9639157,"Yes"
"Charles","M","Computer.Systems.Analyst",0.96010923,"Yes"
"Thomas","M","Software.Developer",0.995479,"Yes"
"Thomas","M","Nurse.Practitioner",0.99834377,"Yes"
"Thomas","M","Health.Services.Manager",0.997098,"Yes"
"Thomas","M","Physicians.Assistant",0.9893692,"Yes"
"Thomas","M","Security.Analyst",0.9969894,"Yes"
"Thomas","M","IT.Manager",0.9981755,"Yes"
"Thomas","M","Web.Developer",0.9980559,"Yes"
"Thomas","M","Dentist",0.99794686,"Yes"
"Thomas","M","Orthodontist",0.9968412,"Yes"
"Thomas","M","Computer.Systems.Analyst",0.99700534,"Yes"
"Christopher","M","Software.Developer",0.9947491,"Yes"
"Christopher","M","Nurse.Practitioner",0.9980262,"Yes"
"Christopher","M","Health.Services.Manager",0.9961571,"Yes"
"Christopher","M","Physicians.Assistant",0.9891677,"Yes"
"Christopher","M","Security.Analyst",0.99646735,"Yes"
"Christopher","M","IT.Manager",0.9990235,"Yes"
"Christopher","M","Web.Developer",0.9975086,"Yes"
"Christopher","M","Dentist",0.9983343,"Yes"
"Christopher","M","Orthodontist",0.99897826,"Yes"
"Christopher","M","Computer.Systems.Analyst",0.99655926,"Yes"
"Daniel","M","Software.Developer",0.9959558,"Yes"
"Daniel","M","Nurse.Practitioner",0.9971363,"Yes"
"Daniel","M","Health.Services.Manager",0.99601686,"Yes"
"Daniel","M","Physicians.Assistant",0.9903979,"Yes"
"Daniel","M","Security.Analyst",0.99631363,"Yes"
"Daniel","M","IT.Manager",0.9954269,"Yes"
"Daniel","M","Web.Developer",0.9965437,"Yes"
"Daniel","M","Dentist",0.99732953,"Yes"
"Daniel","M","Orthodontist",0.9939789,"Yes"
"Daniel","M","Computer.Systems.Analyst",0.9960528,"Yes"
"Matthew","M","Software.Developer",0.995953,"Yes"
"Matthew","M","Nurse.Practitioner",0.99699295,"Yes"
"Matthew","M","Health.Services.Manager",0.99644715,"Yes"
"Matthew","M","Physicians.Assistant",0.99107075,"Yes"
"Matthew","M","Security.Analyst",0.9964784,"Yes"
"Matthew","M","IT.Manager",0.9958917,"Yes"
"Matthew","M","Web.Developer",0.99696684,"Yes"
"Matthew","M","Dentist",0.99713075,"Yes"
"Matthew","M","Orthodontist",0.994204,"Yes"
"Matthew","M","Computer.Systems.Analyst",0.99655867,"Yes"
"George","M","Software.Developer",0.9930361,"Yes"
"George","M","Nurse.Practitioner",0.99708635,"Yes"
"George","M","Health.Services.Manager",0.99453,"Yes"
"George","M","Physicians.Assistant",0.98737407,"Yes"
"George","M","Security.Analyst",0.99502766,"Yes"
"George","M","IT.Manager",0.99864334,"Yes"
"George","M","Web.Developer",0.9964247,"Yes"
"George","M","Dentist",0.99732345,"Yes"
"George","M","Orthodontist",0.99912494,"Yes"
"George","M","Computer.Systems.Analyst",0.99522257,"Yes"
"Anthony","M","Software.Developer",0.995785,"Yes"
"Anthony","M","Nurse.Practitioner",0.9979143,"Yes"
"Anthony","M","Health.Services.Manager",0.9969956,"Yes"
"Anthony","M","Physicians.Assistant",0.9897019,"Yes"
"Anthony","M","Security.Analyst",0.9970138,"Yes"
"Anthony","M","IT.Manager",0.99713546,"Yes"
"Anthony","M","Web.Developer",0.997623,"Yes"
"Anthony","M","Dentist",0.9979355,"Yes"
