"Name","Gender","Word","CosineSimilarity","Good_or_Bad"
"James","M","happy",0.9680222,"Good"
"James","M","agreeable",0.96810734,"Good"
"James","M","polite",0.9670202,"Good"
"James","M","civil",0.96704286,"Good"
"James","M","charming",0.9684973,"Good"
"James","M","gracious",0.96524787,"Good"
"James","M","gentle",0.9668551,"Good"
"James","M","approachable",0.99500203,"Good"
"James","M","love",0.9672433,"Good"
"James","M","cool",0.96699864,"Good"
"John","M","happy",0.9689073,"Good"
"John","M","agreeable",0.969759,"Good"
"John","M","polite",0.96727467,"Good"
"John","M","civil",0.9685175,"Good"
"John","M","charming",0.96996737,"Good"
"John","M","gracious",0.96514904,"Good"
"John","M","gentle",0.967153,"Good"
"John","M","approachable",0.99421495,"Good"
"John","M","love",0.96920913,"Good"
"John","M","cool",0.96828234,"Good"
"Robert","M","happy",0.9967734,"Good"
"Robert","M","agreeable",0.99428046,"Good"
"Robert","M","polite",0.99918735,"Good"
"Robert","M","civil",0.99592036,"Good"
"Robert","M","charming",0.99609935,"Good"
"Robert","M","gracious",0.9985265,"Good"
"Robert","M","gentle",0.9992774,"Good"
"Robert","M","approachable",0.9682897,"Good"
"Robert","M","love",0.9928534,"Good"
"Robert","M","cool",0.9954638,"Good"
"Michael","M","happy",0.99692124,"Good"
"Michael","M","agreeable",0.99667597,"Good"
"Michael","M","polite",0.9946975,"Good"
"Michael","M","civil",0.996304,"Good"
"Michael","M","charming",0.9970778,"Good"
"Michael","M","gracious",0.9922546,"Good"
"Michael","M","gentle",0.99481654,"Good"
"Michael","M","approachable",0.97186714,"Good"
"Michael","M","love",0.9950992,"Good"
"Michael","M","cool",0.99680525,"Good"
"William","M","happy",0.99719393,"Good"
"William","M","agreeable",0.99599564,"Good"
"William","M","polite",0.9956294,"Good"
"William","M","civil",0.9966063,"Good"
"William","M","charming",0.9969087,"Good"
"William","M","gracious",0.99340117,"Good"
"William","M","gentle",0.9957519,"Good"
"William","M","approachable",0.9728385,"Good"
"William","M","love",0.99535507,"Good"
"William","M","cool",0.996707,"Good"
"David","M","happy",0.97435504,"Good"
"David","M","agreeable",0.9758691,"Good"
"David","M","polite",0.9728241,"Good"
"David","M","civil",0.9740354,"Good"
"David","M","charming",0.97503394,"Good"
"David","M","gracious",0.97075623,"Good"
"David","M","gentle",0.9728106,"Good"
"David","M","approachable",0.9930381,"Good"
"David","M","love",0.9749006,"Good"
"David","M","cool",0.9733666,"Good"
"Joseph","M","happy",0.9693938,"Good"
"Joseph","M","agreeable",0.9697031,"Good"
"Joseph","M","polite",0.9678681,"Good"
"Joseph","M","civil",0.96860003,"Good"
"Joseph","M","charming",0.9696118,"Good"
"Joseph","M","gracious",0.9656697,"Good"
"Joseph","M","gentle",0.9673306,"Good"
"Joseph","M","approachable",0.99390036,"Good"
"Joseph","M","love",0.9685139,"Good"
"Joseph","M","cool",0.96718943,"Good"
"Richard","M","happy",0.9971648,"Good"
"Richard","M","agreeable",0.99548143,"Good"
"Richard","M","polite",0.99571514,"Good"
"Richard","M","civil",0.9963805,"Good"
"Richard","M","charming",0.996919,"Good"
"Richard","M","gracious",0.99348086,"Good"
"Richard","M","gentle",0.9957549,"Good"
"Richard","M","approachable",0.97048247,"Good"
"Richard","M","love",0.9943267,"Good"
"Richard","M","cool",0.9966619,"Good"
"Charles","M","happy",0.9613819,"Good"
"Charles","M","agreeable",0.96003115,"Good"
"Charles","M","polite",0.96407056,"Good"
"Charles","M","civil",0.9602898,"Good"
"Charles","M","charming",0.96135104,"Good"
"Charles","M","gracious",0.9639415,"Good"
"Charles","M","gentle",0.96436083,"Good"
