,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Reginald,0.8903593,0.8407347,0.953529,0.86877656,0.9154496,0.7725941,0.8969145,0.8129729,0.85841954,0.9169125
Kameron,0.82341963,0.8192872,0.8545537,0.7818723,0.8261839,0.763924,0.828136,0.80065125,0.8077605,0.8432103
Kendrick,0.8799019,0.8632145,0.92233086,0.8299531,0.90258026,0.7929203,0.88930833,0.8401847,0.855588,0.9078341
Javon,0.8676162,0.85278493,0.8700088,0.7996909,0.8553171,0.7876187,0.8493285,0.81783426,0.83861303,0.8761505
Tyrell,0.8758002,0.8359377,0.88487434,0.82157904,0.87780523,0.7957825,0.88462293,0.7916403,0.8533298,0.89067423
Jamar,0.8207906,0.80756354,0.84856284,0.7689532,0.82267845,0.7491169,0.8222757,0.7838546,0.81180996,0.8423112
Camron,0.8539601,0.8301501,0.8801994,0.8121308,0.8579763,0.795022,0.85290843,0.81525046,0.83886427,0.871799
Tyree,0.8810701,0.8472237,0.9027386,0.829153,0.88656753,0.80973285,0.88040936,0.81259966,0.8540864,0.905751
Jamari,0.83379614,0.82065415,0.86297125,0.78298324,0.8333361,0.7500934,0.8319795,0.7905855,0.8134968,0.8487016
Reggie,0.8937049,0.8405399,0.9564967,0.8583325,0.91209996,0.7698347,0.9000904,0.8063954,0.8588374,0.9202252
Jada,0.8646683,0.845982,0.8933483,0.8102643,0.8565171,0.7849702,0.86078537,0.82378924,0.83943045,0.8819648
Latoya,0.8044617,0.8079725,0.8428991,0.776573,0.81757367,0.78851795,0.80438167,0.80937314,0.79397774,0.83513707
Jayla,0.83531207,0.8109126,0.8554775,0.77408224,0.8358711,0.7605865,0.82785964,0.77705824,0.81145984,0.8502901
Tamika,0.84526455,0.82919526,0.87603724,0.7820096,0.86705273,0.7980785,0.85817534,0.81890786,0.82899183,0.8662809
Latoyna,0.8093199,0.8138516,0.8549262,0.78830945,0.83258927,0.79886454,0.8278912,0.8092468,0.8057295,0.8424624
Journey,0.9038409,0.8402489,0.94678974,0.84061646,0.91345215,0.7695943,0.91014314,0.8269815,0.88007057,0.9133061
Tameka,0.8171489,0.8140917,0.8629544,0.76977813,0.8355993,0.76112014,0.8328008,0.79990286,0.7968153,0.8492526
Journee,0.84582067,0.8261474,0.8553626,0.7811536,0.834261,0.80993885,0.8241192,0.8022002,0.80001336,0.8648701
Lawanda,0.8492044,0.85225666,0.8921224,0.8065067,0.8532731,0.7812631,0.8599974,0.8257969,0.82552344,0.8779779
Janiya,0.84452254,0.8264891,0.8662558,0.7914777,0.83943105,0.7930101,0.83180666,0.79977924,0.8259821,0.85508764
