,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Reginald,0.93958485,0.9395483,0.85930836,0.7938992,0.89583933,0.9052198,0.9148195,0.86591333,0.9145263,0.90746343
Kameron,0.84543073,0.8401786,0.829445,0.8059753,0.8334483,0.83832014,0.8307177,0.82530236,0.84718496,0.8290608
Kendrick,0.91165763,0.915241,0.87774634,0.8319728,0.8865343,0.8949865,0.8804623,0.8725807,0.90360445,0.88492274
Javon,0.8634358,0.86304426,0.85127306,0.8458428,0.8652285,0.85900056,0.85063916,0.8437412,0.8660448,0.863803
Tyrell,0.8920381,0.8902041,0.8463789,0.83936894,0.87671274,0.8769613,0.85938853,0.8749894,0.89647007,0.8809105
Jamar,0.8340613,0.8304094,0.80918366,0.7875811,0.8597696,0.8308359,0.8228735,0.81708753,0.84063375,0.82377344
Camron,0.8740478,0.87788564,0.84585315,0.81359804,0.8602693,0.8681057,0.8564265,0.84972227,0.87405086,0.85499847
Tyree,0.8932477,0.889707,0.8562863,0.8424043,0.88241297,0.88763314,0.86650044,0.8673305,0.89425087,0.8781098
Jamari,0.8411494,0.8452424,0.8134037,0.78121436,0.86551625,0.84214795,0.8341638,0.8184195,0.85089016,0.8302159
Reggie,0.9446315,0.9476537,0.8521129,0.79622716,0.89993334,0.91007435,0.9237815,0.8715115,0.9209937,0.91517735
Jada,0.87235785,0.87591165,0.83988065,0.8150163,0.87651896,0.865552,0.864539,0.85234773,0.87152135,0.85711515
Latoya,0.81942105,0.8189254,0.80640507,0.8255878,0.82091,0.8067324,0.80713934,0.80010545,0.8253775,0.8024935
Jayla,0.8498096,0.82618195,0.8112573,0.8041067,0.85690683,0.8431605,0.82700765,0.8253287,0.84336394,0.82864857
Tamika,0.8689587,0.852099,0.83458817,0.8211439,0.87026453,0.8659529,0.84642595,0.85080624,0.87137806,0.8429109
Latoyna,0.8428508,0.8385809,0.8180074,0.83492595,0.8273114,0.82563734,0.8254105,0.82667863,0.85122633,0.82324487
Journey,0.93304807,0.93905604,0.85444885,0.79738265,0.9061992,0.9103106,0.91825014,0.8777865,0.9214196,0.90825725
Tameka,0.85168755,0.84507537,0.81671417,0.7870155,0.8359151,0.8405552,0.83143795,0.8329582,0.852264,0.83516765
Journee,0.8539089,0.8387159,0.8211816,0.8515974,0.8428838,0.8260956,0.81930566,0.82975817,0.8387728,0.8385879
Lawanda,0.8689989,0.86961406,0.8450087,0.7893212,0.8698244,0.8574016,0.86868984,0.83866465,0.8826438,0.85202587
Janiya,0.84614176,0.83639777,0.8195001,0.8070316,0.87049997,0.8517283,0.83159363,0.8122094,0.8534399,0.83461666
