,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Lian,0.8504408,0.8366457,0.88423014,0.80516875,0.855392,0.77538735,0.8553126,0.81112635,0.8342229,0.86679125
Shan,0.8957235,0.84292936,0.9624759,0.8629221,0.9167347,0.7759761,0.9035113,0.824448,0.8664638,0.92449886
Lew,0.83773,0.8191205,0.84761035,0.781387,0.8361397,0.7858191,0.84233487,0.8009303,0.829177,0.85006577
Long,0.9127543,0.8485717,0.96348584,0.857752,0.92702436,0.7854501,0.9205005,0.82199776,0.8819542,0.93251246
Quan,0.77536917,0.77206963,0.81781214,0.7508944,0.78502166,0.7599271,0.778649,0.75582254,0.7657388,0.8086239
Jun,0.8951558,0.835551,0.9619256,0.862846,0.9122331,0.7608607,0.9034945,0.8105223,0.86437124,0.92223895
Tou,0.84874815,0.8306803,0.87496406,0.7884555,0.8490595,0.7837572,0.84352124,0.81700945,0.8268238,0.86988086
Jin,0.888852,0.8386942,0.960474,0.8634864,0.91711736,0.7737801,0.89948285,0.8178534,0.8640362,0.91635203
Cai,0.8475343,0.8275092,0.88386804,0.80209494,0.8573822,0.79571843,0.8541881,0.80730987,0.82543826,0.87454534
Chan,0.8964131,0.84270006,0.95989156,0.8573966,0.9207935,0.7797519,0.90557814,0.8186692,0.86487114,0.92353636
Lue,0.8634441,0.8307539,0.88736933,0.8019084,0.8653506,0.7803914,0.86128616,0.80454475,0.8367133,0.87524974
China,0.8545283,0.81838846,0.9228859,0.8492177,0.8791072,0.7674516,0.8678608,0.8036488,0.83801603,0.8900052
Lu,0.9039328,0.84433866,0.9668683,0.85789204,0.92396915,0.779719,0.9165658,0.8252939,0.87698483,0.929024
Maylee,0.9044511,0.8509571,0.91610277,0.8281606,0.9048642,0.7944825,0.9016212,0.81276053,0.88191843,0.9156927
Tennie,0.8858061,0.82964003,0.89267075,0.80293614,0.8815175,0.7819265,0.8787037,0.7864922,0.85629976,0.89365333
Maylin,0.87434095,0.82379293,0.89003694,0.81778306,0.8791485,0.79232997,0.8803883,0.79661834,0.852329,0.8860996
Chynna,0.8094861,0.8159734,0.8361094,0.7685084,0.8312912,0.8041676,0.8191275,0.79462606,0.79898846,0.8338778
Jia,0.84222734,0.8052768,0.8724365,0.7933477,0.843716,0.76352656,0.83955497,0.7894461,0.81616783,0.8581369
Mei,0.89441144,0.8389709,0.9623176,0.8551205,0.921952,0.7761749,0.90637684,0.8166759,0.8671203,0.91921115
Tylee,0.90313166,0.8501738,0.91744995,0.8243215,0.905772,0.8007113,0.9050816,0.80757874,0.8833366,0.9176679
