,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Lian,0.8747165,0.8649401,0.837793,0.8208537,0.86731446,0.8690759,0.84931016,0.8515445,0.8711226,0.85516083
Shan,0.9417301,0.9470553,0.8549585,0.80385745,0.90029603,0.9127872,0.9139924,0.883873,0.9221421,0.90517426
Lew,0.84557414,0.84264266,0.82365,0.8510371,0.8456044,0.8482851,0.82115674,0.82686234,0.85779846,0.8318799
Long,0.9466505,0.95310795,0.8573849,0.8179461,0.9160766,0.91878176,0.9218596,0.89732265,0.93549204,0.91953087
Quan,0.8094403,0.8258251,0.7738209,0.76362985,0.79060906,0.7878241,0.79284436,0.7781012,0.80470455,0.78097355
Jun,0.94298875,0.94771117,0.851648,0.796299,0.90304595,0.91466063,0.9209343,0.88002574,0.9233818,0.9155921
Tou,0.8662634,0.87149,0.8314025,0.83480585,0.85741997,0.8621838,0.85337734,0.83440757,0.8652148,0.8465788
Jin,0.93858325,0.9384732,0.8475883,0.8002846,0.8940847,0.91268146,0.9144073,0.87921125,0.91698235,0.90639365
Cai,0.8697257,0.88280296,0.8238636,0.821824,0.8623605,0.85593444,0.8550056,0.8516977,0.87263685,0.8472369
Chan,0.9437607,0.94336736,0.8540213,0.80304575,0.90159535,0.91217756,0.9127581,0.8811202,0.9232418,0.90825987
Lue,0.8806671,0.8692056,0.825531,0.81895864,0.8787177,0.8746884,0.8566228,0.8580444,0.8767954,0.85685194
China,0.9089018,0.9127762,0.83159316,0.78128797,0.8567815,0.87964976,0.89052236,0.8487022,0.88492924,0.87176734
Lu,0.94700366,0.9485029,0.8555787,0.81076276,0.9117379,0.9210764,0.92336506,0.8900874,0.92980564,0.91630393
Maylee,0.91470075,0.894138,0.85689163,0.8402058,0.90314925,0.9125967,0.89638966,0.8782488,0.9029312,0.90231156
Tennie,0.8992027,0.8887506,0.8282248,0.8513677,0.8777548,0.8785404,0.8590199,0.8610153,0.8876343,0.8787744
Maylin,0.8912592,0.8764144,0.8306876,0.8414373,0.87907004,0.8685894,0.86946154,0.88128483,0.8898617,0.881009
Chynna,0.8261815,0.8205348,0.8292592,0.8313528,0.81717575,0.81548,0.80579925,0.8473166,0.8372102,0.80962485
Jia,0.8603199,0.8651473,0.8107325,0.78649163,0.85745734,0.8509138,0.85194856,0.83149076,0.8562578,0.8431802
Mei,0.94026375,0.9435299,0.8461896,0.8032148,0.9001747,0.912062,0.9132329,0.881141,0.9219384,0.9051514
Tylee,0.9146728,0.899737,0.85398895,0.8485911,0.9034764,0.917904,0.8899641,0.8806996,0.9080031,0.90347874
