,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.85807186,0.8213761,0.89806235,0.83572745,0.87264264,0.77368003,0.8643446,0.7976502,0.840717,0.8807596
John,0.8635542,0.8245833,0.8976092,0.8418936,0.8670938,0.76442695,0.86581403,0.7929637,0.84217983,0.8762057
Robert,0.86283135,0.82353747,0.89908457,0.8298746,0.8721949,0.768745,0.8659906,0.8037534,0.8448262,0.87901807
Michael,0.8719362,0.8272613,0.9072603,0.83390844,0.8826608,0.7693288,0.8810953,0.80429316,0.8453486,0.8923507
William,0.848526,0.8155668,0.8968009,0.8386514,0.8643421,0.7627902,0.8579632,0.7931037,0.82793957,0.8745023
David,0.70804703,0.69331,0.7322364,0.6971135,0.701117,0.6455431,0.71239626,0.6795064,0.7088541,0.73505914
Joseph,0.8645572,0.81632143,0.8979498,0.83730257,0.87053037,0.7668535,0.86791867,0.7900959,0.8430038,0.8771348
Richard,0.8601152,0.81507444,0.8937304,0.83176833,0.8692775,0.77381754,0.86578286,0.79353935,0.8349398,0.8779549
Charles,0.844787,0.8145839,0.88256025,0.8333999,0.86089706,0.7620631,0.8522279,0.7881952,0.82503295,0.86576694
Thomas,0.71625847,0.7028558,0.7398707,0.70676255,0.70917773,0.6584163,0.72027385,0.69199646,0.71568036,0.7427548
Mary,0.87185043,0.82485497,0.90017194,0.8357107,0.8724176,0.7806715,0.8754505,0.7916554,0.8555447,0.8788905
Elizabeth,0.8624633,0.816102,0.8920069,0.82762784,0.87111485,0.7602781,0.86501,0.7810184,0.84712684,0.8722106
Patricia,0.86877835,0.828936,0.9115746,0.8396854,0.88385344,0.76638114,0.8752664,0.7965678,0.8525961,0.8804111
Jennifer,0.87422276,0.82970595,0.9126953,0.8404868,0.88244814,0.7732067,0.87727976,0.79801196,0.85779715,0.8875883
Linda,0.86827654,0.8186265,0.9081399,0.8282089,0.8756937,0.7638861,0.8800254,0.7933985,0.8512809,0.885824
Barbara,0.86718047,0.8201339,0.9071253,0.83724743,0.8760272,0.7670469,0.8731048,0.78988487,0.84919125,0.8844161
Margaret,0.8653485,0.81661046,0.90722215,0.8350249,0.871734,0.7641458,0.87117094,0.78961945,0.84649163,0.8814492
Susan,0.87392235,0.8239058,0.9059969,0.8287909,0.8747848,0.7688389,0.87537163,0.79539055,0.8544934,0.88487697
Sarah,0.8757428,0.8291445,0.91028696,0.83359754,0.8816059,0.77146506,0.87896013,0.8048139,0.85463095,0.88704824
Jessica,0.8674751,0.81515276,0.9024931,0.8392149,0.8683164,0.7625493,0.8671292,0.7939303,0.8530231,0.88148344
