,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.8913814,0.8841933,0.83608234,0.8069258,0.8654313,0.86215603,0.8783711,0.8503697,0.87858784,0.867
John,0.89082134,0.8872231,0.8397199,0.79895437,0.86738384,0.8650193,0.88388705,0.84825397,0.8802123,0.87967587
Robert,0.8970888,0.8861506,0.840148,0.80689615,0.8700181,0.8717571,0.8828615,0.84631914,0.88209915,0.87336123
Michael,0.89856124,0.89402556,0.8372075,0.8027617,0.87667495,0.8727676,0.8906584,0.8567039,0.8948411,0.87971276
William,0.885792,0.880327,0.83277893,0.79625344,0.8557216,0.8532498,0.87673384,0.8448327,0.87574005,0.8659452
David,0.71998614,0.7142582,0.69920605,0.6869649,0.7163824,0.70398164,0.7248681,0.70879555,0.72385764,0.7101283
Joseph,0.88745654,0.8832569,0.82750005,0.79407275,0.8704387,0.85921323,0.8776942,0.8501048,0.87677944,0.8711115
Richard,0.8869171,0.8828427,0.8263304,0.7953534,0.86424613,0.85374093,0.8776884,0.84207344,0.8796685,0.86693823
Charles,0.8791603,0.87620944,0.83554536,0.79481715,0.85055417,0.84802824,0.86527324,0.83717436,0.868948,0.86056143
Thomas,0.72740793,0.7208017,0.7089405,0.6952322,0.7247778,0.7105368,0.7317596,0.715432,0.7305594,0.71754
Mary,0.89072335,0.8783369,0.8370617,0.8081781,0.8780418,0.87035227,0.8848655,0.8583747,0.8821469,0.87996244
Elizabeth,0.8851948,0.8695985,0.8278438,0.7940565,0.8718855,0.85994804,0.87271726,0.84447634,0.87377036,0.86573684
Patricia,0.9054831,0.888689,0.84075075,0.7999971,0.87680423,0.8720647,0.8851877,0.85381377,0.8851186,0.87556326
Jennifer,0.9034052,0.89193743,0.84014785,0.8059516,0.87984765,0.87541497,0.89178216,0.8563943,0.8899121,0.8812766
Linda,0.9014319,0.893919,0.8302872,0.79930764,0.87238437,0.87125695,0.888654,0.85549784,0.8858474,0.8775635
Barbara,0.89940727,0.89005196,0.83387023,0.79690826,0.8766068,0.87346506,0.885432,0.85364324,0.8880156,0.8759086
Margaret,0.89556587,0.8849119,0.829276,0.79668856,0.8750423,0.8684412,0.8839692,0.84820455,0.8799046,0.8752843
Susan,0.8992112,0.8903965,0.8394368,0.81189495,0.8817693,0.8765643,0.88103247,0.8594329,0.8810132,0.88069767
Sarah,0.89907753,0.891183,0.83951485,0.807678,0.8806714,0.87071615,0.8835087,0.8573115,0.89043516,0.879117
Jessica,0.89471793,0.8889991,0.8312236,0.79885274,0.8741448,0.8739774,0.88844013,0.84180224,0.8785613,0.87579554
