,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
Mary,0.94474256,0.8749703,0.874877,0.95805347,0.8527689,0.873574,0.9525567,0.9103112,0.9135943,0.94551635
Elizabeth,0.9355843,0.86340946,0.8508173,0.9550072,0.83891404,0.85594386,0.944412,0.89813876,0.901772,0.9447277
Patricia,0.9524905,0.8838798,0.8651053,0.9696793,0.8482502,0.8645353,0.9510799,0.9185977,0.9172764,0.9597536
Jennifer,0.9518376,0.8840953,0.8736137,0.96927357,0.8530196,0.8666924,0.95664537,0.92061883,0.9177027,0.95729977
Linda,0.9498333,0.8898403,0.87050235,0.96656233,0.84397376,0.86027735,0.9503503,0.9204885,0.91454965,0.95739156
Barbara,0.953545,0.8775836,0.87130094,0.97137195,0.85226095,0.86902344,0.95438415,0.9164486,0.9163542,0.9599083
Margaret,0.94478345,0.87212217,0.8680935,0.9658481,0.8482624,0.86801,0.9528589,0.908826,0.91295445,0.9547258
Susan,0.94506633,0.8790705,0.8671856,0.96462536,0.8452539,0.8628671,0.9502102,0.91304094,0.91568565,0.95112276
Dorothy,0.94662946,0.875113,0.8668915,0.96431595,0.8364551,0.85819167,0.9563949,0.9102918,0.91334164,0.9534278
Sarah,0.95141643,0.8799502,0.87247926,0.9646825,0.8548913,0.8723464,0.9622406,0.9159879,0.91791534,0.95769227
Jessica,0.94297814,0.8775695,0.87246007,0.9642095,0.85568464,0.8614908,0.94738233,0.91396284,0.9109261,0.95293975
Helen,0.94576836,0.87908685,0.8756654,0.960815,0.86025316,0.8784215,0.95100343,0.9129322,0.9174894,0.95459896
Nancy,0.9482896,0.8761167,0.86476743,0.9673139,0.8551603,0.8706361,0.9535253,0.9125011,0.91825116,0.9550961
Betty,0.94923687,0.8751219,0.8693467,0.96026456,0.8466172,0.86594105,0.9529884,0.90819514,0.9148592,0.9514178
Karen,0.9541859,0.8899255,0.8772763,0.9698377,0.8556069,0.8679732,0.95760435,0.9233574,0.9211197,0.95880574
Lisa,0.95202094,0.87648654,0.864388,0.96666783,0.852224,0.8674294,0.94521654,0.9142962,0.9207028,0.9605587
Anna,0.9473585,0.87445474,0.86824304,0.9671817,0.85495687,0.87447405,0.952394,0.912922,0.91791236,0.95399183
Sandra,0.9534826,0.8814701,0.8734281,0.97283876,0.85086596,0.86943686,0.95759004,0.9184443,0.9179481,0.9637976
Emily,0.9435237,0.86689866,0.862105,0.95683646,0.85638833,0.87160057,0.9401013,0.9075298,0.9131135,0.9483839
Ashley,0.9551677,0.8842535,0.86816615,0.97302806,0.85547894,0.8720807,0.949209,0.92300534,0.92405844,0.96568584
